,Is this the Georgian or English version?,What is the district name?,Descriptive Paragraph 1,Descriptive Paragraph 2,Population Data 1,Population Data 2,Population Data 3,Population Data 4,Size of Territory,Footer,Descriptive Paragraph 3,Is this a Tbilisi district?,Does this district have villages that are currently occupied?,,"If this district has occupied villages, please list them."
7/19/2013 15:37:34,Georgian,ჩუღურეთი,თბილისი არის საქართველოს დედაქალაქი.,"თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) - 1,081,679 ","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი - 82,586; რუსი - 32,580; იეზიდი - 17,116; აზერბაიჯანელი - 10,942; ოსი - 10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი - 3,328; ქისტი - 73",თბილისის ტერიტორია - 244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად; ჩუღურეთი  ერთ-ერთი ოლქია. ,Yes,,,
7/19/2013 15:42:49,Georgian,დიდუბე,თბილისი არის საქართველოს დედაქალაქი.,"თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) -  1,081,679","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი - 82,586; რუსი - 32,580; იეზიდი - 17,116; აზერბაიჯანელი - 10,942; ოსი - 10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი - 3,328; ქისტი - 73",თბილისის ტერიტორია -  244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად;  დიდუბე ერთ-ერთი ოლქია. ,Yes,,,
7/19/2013 15:45:07,Georgian,გლდანი,თბილისი არის საქართველოს დედაქალაქი.,"თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) -  1,081,679","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი -82,586; რუსი -32,580; იეზიდი -17,116; აზერბაიჯანელი -10,942; ოსი -10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი- 3,328; ქისტი - 73",თბილისის ტერიტორია -  244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად;  გლდანი ერთ-ერთი ოლქია. ,Yes,,,
7/19/2013 15:51:44,Georgian,ისანი,თბილისი არის საქართველოს დედაქალაქი.,"თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) - 1,081,679 ","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი - 82,586; რუსი - 32,580; იეზიდი - 17,116; აზერბაიჯანელი - 10,942; ოსი - 10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი - 3,328; ქისტი - 73",თბილისის ტერიტორია -  244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად;  ისანი ერთ-ერთი ოლქია. ,Yes,,,
7/19/2013 15:55:49,Georgian,კრწანისი,თბილისი არის საქართველოს დედაქალაქი.,"თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) - 1,081,679 ","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი - 82,586; რუსი - 32,580; იეზიდი - 17,116; აზერბაიჯანელი - 10,942; ოსი - 10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი - 3,328; ქისტი - 73",თბილისის ტერიტორია - 244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად; კრწანისი ერთ-ერთი ოლქია. ,Yes,,,
7/19/2013 16:00:03,Georgian,მთაწმინდა,თბილისი არის საქართველოს დედაქალაქი.,"თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) - 1,081,679 ","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი - 82,586; რუსი - 32,580; იეზიდი - 17,116; აზერბაიჯანელი - 10,942; ოსი - 10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი - 3,328; ქისტი - 73",თბილისის ტერიტორია - 244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად;  მთაწმინდა ერთ-ერთი ოლქია. ,Yes,,,
7/19/2013 16:03:06,Georgian,ნაძალადევი,თბილისი არის საქართველოს დედაქალაქი.,"თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) - 1,081,679 ","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი - 82,586; რუსი - 32,580; იეზიდი - 17,116; აზერბაიჯანელი - 10,942; ოსი - 10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი - 3,328; ქისტი - 73",თბილისის ტერიტორია - 244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად;  ნაძალადევი ერთ-ერთი ოლქია. ,Yes,,,
7/19/2013 16:10:00,Georgian,საბურთალო,თბილისი არის საქართველოს დედაქალაქი.,"თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) - 1,081,679 ","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი - 82,586; რუსი - 32,580; იეზიდი - 17,116; აზერბაიჯანელი - 10,942; ოსი - 10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი - 3,328; ქისტი - 73",თბილისის ტერიტორია - 244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად;  საბურთალო ერთ-ერთი ოლქია. ,Yes,,,
8/19/2013 12:07:37,Georgian,სამგორი,"თბილისი არის საქართველოს დედაქალაქი.

","თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) - 1,081,679 ","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი - 82,586; რუსი - 32,580; იეზიდი - 17,116; აზერბაიჯანელი - 10,942; ოსი - 10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი - 3,328; ქისტი - 73",თბილისის ტერიტორია - 244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად;  სამგორი ერთ-ერთი ოლქია.,Yes,,,
8/19/2013 12:10:58,Georgian,ვაკე,თბილისი არის საქართველოს დედაქალაქი.,"თბილისი დაყოფილია 6 ადმინისტრაციულ-ტერიტორიულ ერთეულად: რაიონები - ძველი თბილისი, ვაკე-საბურთალო, ისანი-სამგორი, დიდუბე-ჩუღურეთი, გლდანი-ნაძალადევი და დიდგორი. ","თბილისის მოსახლეობა (სულ) - 1,081,679 ","თბილისის მოსახლეობა სქესის მიხედვით: ქალი - 594,385; კაცი - 489,702","თბილისის მოსახლეობა დასახლების ტიპის მიხედვით: ქალაქი - 1,083,940; სოფელი - 147","თბილისის მოსახლეობა ეროვნების მიხედვით:  ქართველი - 910,712; სომეხი - 82,586; რუსი - 32,580; იეზიდი - 17,116; აზერბაიჯანელი - 10,942; ოსი - 10,268; აფხაზი - 471; ბერძენი - 3,792; უკრაინელი - 3,328; ქისტი - 73",თბილისის ტერიტორია - 244 კმ2,*რაოდენობრივი მონაცემები მითითებულია 2002 წლის საქართველოს მოსახლეობის საყოველთაო აღწერის მიხედვით. ინფორმაცია ოლქების ადმინისტრაციულ-ტერიტორიული დაყოფის შესახებ მოწოდებულია რეგიონალური განვითარებისა და ინფრასტრუქტურის სამინისტროს მიერ 2013 წლის 17 ივლისს. ,თბილისი ასევე დაყოფილია 10 საარჩევნო ოლქად;  ვაკე ერთ-ერთი ოლქია. ,Yes,,,
