shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Free Georgia,National Democratic Party of Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,Public Movement,Freedom Party,Georgian Group,New Rights,People's Party,Merab Kostava Society,Future Georgia,Labour Council of Georgia,Labour,Sportsman's Union,Georgian Dream
Country,Georgia,Georgia,2143379,59.3101,206,1830,1220,391,\N,1977,54.1792,4.6899,\N,11,0.3015,21.4545,\N,\N,\N,\N,35,22,42,99,3649,99.7267,0.4592,0.0644,41.3887,0.1961,2.304,0,0.0099,0.1925,0.6734,0,0.0332,0.0444,0.0191,0.938,0.003,53.2526
Region,Adjara,Adjara,177958,58.3603,18,138,146,44,\N,171,49.2795,3.3509,\N,1,0.2882,1,\N,\N,\N,\N,0,0,4,4,347,100.8721,0.8502,0,37.7494,0.5024,3.4154,0,0,0,0.1444,0,0.2422,0.1804,0,0.6996,0,55.8946
Region,Guria,Guria,76730,67.7205,2,78,43,15,\N,50,36.2319,1.86,\N,0,0,\N,\N,\N,\N,\N,2,0,0,2,138,100,0.3675,0,38.7723,0,1.2955,0,0,0,0.6829,0,0.1447,0,0,0.4822,0,58.1337
Region,Imereti,Imereti,348940,61.8506,44,317,199,42,\N,308,51.1628,3.9221,\N,0,0,\N,\N,\N,\N,\N,2,1,3,6,602,100.1664,0.1957,0.1175,38.7668,0.1699,2.6549,0,0,0,0.9105,0,0,0,0,0.8517,0,55.9867
Region,Kakheti,Kakheti,190388,60.5947,10,173,88,35,\N,166,54.2484,5.0964,\N,1,0.3268,1,\N,\N,\N,\N,1,0,0,1,306,100,0.2978,0,48.2693,0,2.4954,0,0,0,0.8488,0,0,0,0,1.0053,0.0084,46.6311
Region,Kvemo Kartli,Kvemo Kartli,202074,49.1803,29,148,133,123,\N,235,54.1475,4.6809,\N,1,0.2304,2,\N,\N,\N,\N,6,3,5,14,434,100.9302,0.5394,0.1495,58.8611,0.2529,1.5796,0,0,0,0.5404,0,0,0.1544,0.0064,0.7151,0,36.6579
Region,Mtskheta-Mtianeti,Mtskheta-Mtianeti,56238,64.0327,11,65,40,10,\N,45,35.7143,4.8889,\N,0,0,\N,\N,\N,\N,\N,0,0,2,2,126,100,0.0498,0,33.9148,0.4001,1.2892,0,0,0,0.3841,0,0,0.0036,0,2.4841,0.0373,61.0459
Region,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,25393,68.73,19,61,30,14,\N,37,29.8387,2.1351,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,124,100,0.2127,0,55.468,0,2.0242,0,0,0,0.7601,0,0,0,0.0354,0.4568,0.1063,40.6254
Region,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,195780,54.0227,20,157,165,31,\N,182,48.6631,3.8187,\N,1,0.2674,1,\N,\N,\N,\N,2,1,3,6,374,100.2681,0.3872,0.0572,54.69,0.3892,3.4253,0,0,0,1.0481,0,0,0.1221,0,0.9409,0,38.5857
Region,Samtskhe-Javakheti,Samtskhe-Javakheti,93560,61.0769,28,96,63,27,\N,104,49.0566,4.2596,\N,0,0,\N,\N,\N,\N,\N,1,0,0,1,212,100,0.7525,0,70.6285,0,0.6092,0,0,0,0.8027,0,0,0,0.0278,0.1475,0,26.5584
Region,Shida Kartli,Shida Kartli,143307,59.574,14,97,83,40,\N,107,45.5319,5.9252,\N,4,1.7021,56.75,\N,\N,\N,\N,2,2,6,10,235,100.4274,1.1095,0,41.6644,0.4766,3.2162,0,0.1479,0,0.8402,0,0,0,0.0272,1.157,0,51.0771
Region,Tbilisi,Tbilisi,633011,61.7298,11,500,230,10,\N,572,76.1651,5.9108,\N,3,0.3995,1.3333,\N,\N,\N,\N,19,15,19,53,751,103.7293,0.4066,0.0878,28.1283,0.0845,1.8927,0,0,0.652,0.5295,0,0.0267,0.0122,0.0509,1.1071,0,66.4883
District,79,Batumi,77567,57.907,3,32,60,9,\N,67,64.4231,3.6119,\N,0,0,\N,\N,\N,\N,\N,0,0,3,3,104,101.9608,1.168,0,31.1898,0.4912,2.8685,0,0,0,0,0,0.5556,0.3197,0,0,0,63.0951
District,80,Keda,10913,69.2845,4,12,13,2,\N,11,35.4839,2.6364,\N,1,3.2258,1,\N,\N,\N,\N,0,0,0,0,31,100,0.2749,0,48.0161,1.0538,5.0307,0,0,0,0,0,0,0,0,1.0446,0,44.3233
District,83,Khelvachauri,27085,58.1261,2,16,20,6,\N,30,68.1818,3.7333,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,44,100,0.6941,0,30.8363,0.4504,3.057,0,0,0,0,0,0,0.2695,0,1.0522,0,63.2269
District,84,Khulo,14190,58.5517,5,24,16,8,\N,15,27.7778,1.4,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,54,100,0.9584,0,57.8436,0.3312,5.4193,0,0,0,1.8111,0,0,0,0,0.8739,0,32.6145
District,81,Kobuleti,38748,55.9627,3,30,24,8,\N,22,33.8462,2.8636,\N,0,0,\N,\N,\N,\N,\N,0,0,1,1,65,101.5625,0.5316,0,39.5737,0.2994,2.6169,0,0,0,0,0,0,0,0,1.4839,0,55.3319
District,82,Shuakhevi,9455,62.3804,1,24,13,11,\N,26,53.0612,4.0769,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,49,100,0.4971,0,61.8826,1.1951,7.3295,0,0,0,0,0,0,0,0,1.5547,0,26.4199
District,62,Chokhatauri,13054,69.4029,1,11,13,13,\N,10,26.3158,1.7,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,38,100,0.5056,0,46.7137,0,0,0,0,0,1.5244,0,0,0,0,0,0,51.1261
District,61,Lanchkhuti,21507,71.3807,0,22,15,1,\N,11,28.9474,2.2727,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,38,100,0.4231,0,36.5369,0,0,0,0,0,0.7114,0,0,0,0,0,0,62.2123
District,60,Ozurgeti,42169,65.5154,1,45,15,1,\N,29,46.7742,1.7586,\N,0,0,\N,\N,\N,\N,\N,2,0,0,2,62,100,0.2964,0,37.4541,0,2.3572,0,0,0,0.4079,0,0.2632,0,0,0.8774,0,58.2229
District,52,Bagdati,14306,61.2414,0,6,18,4,\N,12,42.8571,1.5833,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,28,100,0,0,48.6719,0,0,0,0,0,0.8598,0,0,0,0,1.0974,0,49.2381
