shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Free Georgia,National Democratic Party of Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,Public Movement,Freedom Party,Georgian Group,New Rights,People's Party,Merab Kostava Society,Future Georgia,Labour Council of Georgia,Labour,Sportsman's Union,Georgian Dream
Country,Georgia,Georgia,2185913,59.747,257,2100,942,383,\N,918,24.8377,39.6863,\N,19,0.5141,37.6842,\N,\N,\N,\N,37,21,65,123,3696,101.0112,0.2683,0.1383,39.6828,0.1863,2.004,0.025,0.0463,0.1063,0.4234,0.0241,0.0456,0.0321,0.0266,1.2178,0.0719,54.0672
Region,Adjara,Adjara,179311,58.804,26,213,82,25,\N,86,24.7839,2.7558,\N,1,0.2882,2,\N,\N,\N,\N,0,1,4,5,347,100.8721,0.3051,0.1104,37.0055,0.2075,2.6903,0.0223,0.0251,0.1266,0.4757,0.0178,0.0647,0.0535,0.0117,1.1723,0.0535,57.5269
Region,Countries,Countries,40956,91.4973,40,6,0,0,\N,46,97.8723,730.8478,\N,1,2.1277,477,\N,\N,\N,\N,2,0,20,22,47,100,0.0952,0.0562,7.9988,0.0293,0.3125,0.0049,0.0098,0.022,0.0732,0.0122,0.0195,0.0171,0.0122,0.1978,0.0244,10.1939
Region,Guria,Guria,77160,68.1,6,97,31,4,\N,25,18.1159,2,\N,0,0,\N,\N,\N,\N,\N,2,0,0,2,138,100,0.2074,0.1737,37.3328,0.1529,1.8416,0.0272,0.0194,0.0259,0.2851,0.0311,0.0441,0.0259,0.0104,0.8981,0.0726,58.7869
Region,Imereti,Imereti,349962,62.0317,47,360,157,38,\N,110,18.2724,2.2,\N,1,0.1661,2,\N,\N,\N,\N,2,1,4,7,602,100.1664,0.174,0.1154,37.4686,0.1697,2.2354,0.0266,0.0354,0.04,0.4615,0.0211,0.032,0.0203,0.0186,1.1741,0.0683,57.8703
Region,Kakheti,Kakheti,190692,60.6915,7,199,73,27,\N,70,22.8758,2.8429,\N,1,0.3268,6,\N,\N,\N,\N,1,0,1,2,306,100,0.1704,0.1264,47.0198,0.1736,2.3315,0.032,0.032,0.0372,0.4206,0.0215,0.0184,0.021,0.0225,1.3829,0.0708,48.0183
Region,Kvemo Kartli,Kvemo Kartli,201597,49.0642,24,140,121,148,\N,99,22.8111,4.4646,\N,1,0.2304,1,\N,\N,\N,\N,6,1,5,12,434,100.9302,0.3125,0.2039,56.9488,0.3834,1.7277,0.0317,0.0461,0.0476,0.3155,0.0213,0.0357,0.0481,0.0164,0.8998,0.0516,38.6911
Region,Mtskheta-Mtianeti,Mtskheta-Mtianeti,56279,64.0794,15,63,34,14,\N,25,19.8413,3.68,\N,2,1.5873,1.5,\N,\N,\N,\N,0,0,2,2,126,100,0.1617,0.0675,32.6445,0.2026,1.1798,0.0071,0.0124,0.0835,0.2576,0.0142,0.0124,0.0231,0.0231,2.23,0.0817,62.8405
Region,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,25363,68.6488,16,58,35,15,\N,6,4.8387,1.3333,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,124,100,0.209,0.138,48.626,0.1932,2.409,0.0394,0.0237,0.0315,0.7018,0.0434,0.0355,0.0158,0.0158,0.9896,0.0473,46.4496
Region,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,195973,54.076,17,168,149,39,\N,85,22.7273,3.5882,\N,3,0.8021,2.3333,\N,\N,\N,\N,2,1,3,6,374,100.2681,0.2781,0.2807,55.2714,0.3051,2.9621,0.0373,0.1097,0.1194,0.473,0.0219,0.0367,0.049,0.0219,1.2073,0.0944,38.5798
