region,district_name,district_id,precinct_id,num_possible_voters,num_special_voters,num_ballots,num_unused_ballots,num_spoiled_ballots,num_votes,num_valid_votes,num_invalid_votes,Free Georgia,United National Movement,Justice for Georgia,Christian Democratic Movement,New Rights,Labour Party,Georgian Dream
,,79,1,1379,12,1150,,,784,746,31,9,208,3,19,6,6,495
,,79,2,1337,12,1200,,,784,748,36,7,229,2,10,1,12,487
,,79,3,1478,10,1350,,,792,754,19,8,237,5,14,6,18,466
,,79,4,1463,12,1300,,,776,686,88,6,209,1,19,14,16,421
,,79,5,544,12,500,,,217,211,6,2,76,0,7,0,4,122
,,79,6,1470,12,1350,,,975,924,51,6,274,0,15,10,12,607
,,79,7,1218,10,1100,,,728,699,27,9,141,4,17,9,9,510
,,79,8,1214,11,1100,,,781,750,27,6,224,1,18,8,7,486
,,79,9,1326,13,1200,,,795,768,26,5,164,1,14,31,11,542
,,79,10,1459,10,1300,,,893,859,27,10,234,1,12,2,11,589
,,79,11,1497,11,1350,,,894,861,30,14,210,1,27,3,13,593
,,79,12,1348,11,1200,,,796,761,33,7,198,3,23,10,13,507
,,79,13,1475,11,1350,,,858,809,49,8,166,4,12,6,15,598
,,79,14,1438,13,1300,,,892,784,102,8,232,2,24,4,10,504
,,79,15,1468,1240,2600,,,1843,1803,39,11,1111,1,35,8,8,629
,,79,16,1479,11,1350,,,977,952,21,17,270,5,35,3,18,604
,,79,17,1427,10,1300,,,877,851,25,5,218,1,34,6,14,573
,,79,18,1501,10,1405,,,866,844,21,14,253,6,19,4,11,537
,,79,19,1436,11,1250,,,820,776,44,8,215,2,25,9,8,509
,,79,20,1513,10,1350,,,793,742,20,9,236,0,12,2,19,464
,,79,21,1516,11,1350,,,825,799,21,13,208,2,30,0,7,539
,,79,22,1279,13,1150,,,751,726,21,12,243,2,26,3,2,438
,,79,23,1231,12,1100,,,689,667,20,4,214,3,28,5,17,396
,,79,24,1417,5,1250,,,767,737,26,4,239,2,17,3,12,460
,,79,25,1438,9,1300,,,801,770,30,8,200,2,46,4,12,498
,,79,26,1457,8,1300,,,764,739,25,2,241,6,50,2,10,428
,,79,27,1298,9,1150,,,735,698,15,11,235,5,20,2,11,414
,,79,28,1229,12,1100,,,721,701,14,11,225,4,17,5,11,428
,,79,29,1450,10,1350,,,882,859,23,15,179,0,28,2,35,600
,,79,30,1469,13,1350,,,846,808,35,12,200,3,26,8,12,547
,,79,31,1463,8,1350,,,848,813,33,3,223,1,27,3,10,546
,,79,32,1300,11,1150,,,737,712,23,7,203,2,13,7,7,473
,,79,33,1468,8,1300,,,855,807,46,8,217,4,18,3,15,542
,,79,34,1518,9,1400,,,871,832,36,17,239,2,19,4,12,539
,,79,35,1464,11,1300,,,828,796,29,8,235,3,19,6,12,513
