region,district,distr,prec,prec name,nothing,avg age,# > 99,85-99,# < 85,# no wdabceli,total voters,# of duplicates
,,1,1,1-1,,49.4732262383,2,45,1447,0,1494,1
,,1,2,1-2,,48.9129770992,0,40,1270,0,1310,1
,,1,3,1-3,,48.353220339,1,47,1427,0,1475,2
,,1,4,1-4,,48.1002638522,0,21,1116,0,1137,1
,,1,5,1-5,,48.6026490066,0,27,1483,0,1510,1
,,1,6,1-6,,48.9828382838,3,47,1465,0,1515,3
,,1,7,1-7,,48.2159783345,0,35,1442,0,1477,1
,,1,8,1-8,,47.8144599303,2,18,1128,0,1148,3
,,1,9,1-9,,47.9892933619,1,32,1368,0,1401,0
,,1,10,1-10,,47.285625,1,29,1570,0,1600,4
,,1,11,1-11,,46.835634451,0,21,1500,0,1521,1
,,1,12,1-12,,48.362714014,0,40,1537,0,1577,1
,,1,13,1-13,,47.3939849624,0,28,1302,0,1330,3
,,1,14,1-14,,48.7756862745,1,37,1237,0,1275,3
,,1,15,1-15,,48.4166037736,1,26,1298,0,1325,1
,,1,16,1-16,,48.4626675175,0,38,1529,0,1567,1
,,1,17,1-17,,49.8887900356,0,30,1094,0,1124,0
,,1,18,1-18,,49.6162162162,0,17,1093,0,1110,0
,,1,19,1-19,,48.6054866101,0,37,1494,0,1531,1
,,1,20,1-20,,47.4736842105,0,21,1423,0,1444,1
,,1,21,1-21,,49.9328767123,1,38,1421,0,1460,0
,,1,22,1-22,,48.8311432326,1,34,1487,0,1522,1
,,1,23,1-23,,48.7856125356,0,35,1369,0,1404,1
,,1,24,1-24,,47.1685393258,0,39,1563,0,1602,1
,,1,25,1-25,,48.1371681416,0,17,1113,0,1130,2
,,1,26,1-26,,47.9820732658,0,19,1264,0,1283,0
,,1,27,1-27,,47.5529841657,0,38,1604,0,1642,0
,,1,28,1-28,,49.7882783883,0,42,1323,0,1365,1
,,1,29,1-29,,48.7337704918,0,38,1487,0,1525,2
,,1,30,1-30,,50.0162999185,1,35,1191,0,1227,3
,,1,31,1-31,,49.2257607926,1,31,1381,0,1413,2
,,1,32,1-32,,45.5501915709,0,15,1290,0,1305,3
