region,district,distr,prec,prec name,nothing,avg age,# > 99,85-99,# < 85,# no wdabceli,total voters,# of duplicates
,,1,1,1-1,,48.7955647956,0,36,1407,0,1443,1
,,1,2,1-2,,48.4251357642,0,37,1252,0,1289,1
,,1,3,1-3,,48.0595567867,1,44,1399,0,1444,2
,,1,4,1-4,,47.762455516,0,20,1104,0,1124,1
,,1,5,1-5,,48.3344526528,0,25,1464,0,1489,1
,,1,6,1-6,,48.5680907877,3,41,1454,0,1498,2
,,1,7,1-7,,47.83321847,0,34,1417,0,1451,1
,,1,8,1-8,,47.6147032772,1,16,1112,0,1129,3
,,1,9,1-9,,47.5094752187,0,30,1342,0,1372,0
,,1,10,1-10,,47.0517571885,1,28,1536,0,1565,4
,,1,11,1-11,,46.3814640698,0,21,1468,0,1489,1
,,1,12,1-12,,48.0883116883,0,36,1504,0,1540,0
,,1,13,1-13,,46.8363072149,0,24,1265,0,1289,2
,,1,14,1-14,,48.3790322581,1,32,1207,0,1240,3
,,1,15,1-15,,47.9269230769,0,24,1276,0,1300,1
,,1,16,1-16,,48.1258969341,0,37,1496,0,1533,1
,,1,17,1-17,,49.5644114921,0,26,1053,0,1079,0
,,1,18,1-18,,49.2316176471,0,14,1074,0,1088,0
,,1,19,1-19,,48.1733601071,0,31,1463,0,1494,1
,,1,20,1-20,,47.6548148148,0,18,1332,0,1350,1
,,1,21,1-21,,49.5153203343,0,37,1399,0,1436,0
,,1,22,1-22,,48.4088507266,0,31,1483,0,1514,1
,,1,23,1-23,,48.3584770115,0,32,1360,0,1392,1
,,1,24,1-24,,46.9267049076,0,35,1534,0,1569,1
,,1,25,1-25,,47.9158878505,0,17,1053,0,1070,2
,,1,26,1-26,,47.7132587859,0,17,1235,0,1252,0
,,1,27,1-27,,47.0360920971,0,34,1573,0,1607,0
,,1,28,1-28,,49.2855018587,0,40,1305,0,1345,1
,,1,29,1-29,,48.2247191011,0,32,1481,0,1513,2
,,1,30,1-30,,49.6677577741,1,33,1188,0,1222,2
,,1,31,1-31,,49.0310918294,1,30,1352,0,1383,2
,,1,32,1-32,,45.0806572069,0,15,1324,0,1339,3
,,1,33,1-33,,47.6169154229,0,25,1181,0,1206,0
,,1,34,1-34,,40.7706940874,0,27,1918,0,1945,0
,,1,35,1-35,,49.5530243519,1,29,1243,0,1273,0
,,1,36,1-36,,50.940397351,0,8,294,0,302,0
,,1,37,1-37,,44.5222013759,0,13,1586,0,1599,2
,,1,38,1-38,,47.4587352626,0,13,920,0,933,0
,,1,39,1-39,,44.9919224556,0,15,1223,0,1238,1
,,2,1,2-1,,48.7166405024,0,21,1253,0,1274,2
,,2,2,2-2,,49.6238267148,0,36,1349,0,1385,0
,,2,3,2-3,,47.7888810697,1,27,1393,0,1421,1
,,2,4,2-4,,48.8475862069,0,40,1410,0,1450,0
,,2,5,2-5,,50.1223694466,1,27,1255,0,1283,0
,,2,6,2-6,,49.4854961832,0,30,1280,0,1310,2
,,2,7,2-7,,48.8338028169,0,34,1031,0,1065,1
,,2,8,2-8,,47.9540322581,0,22,1218,0,1240,0
,,2,9,2-9,,48.2429752066,0,23,1187,0,1210,1
,,2,10,2-10,,49.9065561417,1,38,1288,0,1327,1
,,2,11,2-11,,48.8278750952,0,43,1270,0,1313,3
,,2,12,2-12,,49.4200913242,0,28,1286,0,1314,1
,,2,13,2-13,,48.9872971066,0,31,1386,0,1417,2
,,2,14,2-14,,48.6764490095,1,22,1340,0,1363,2
,,2,15,2-15,,50.9472161967,0,40,1343,0,1383,0
,,2,16,2-16,,48.7796474359,0,25,1223,0,1248,3
,,2,17,2-17,,50.0299051787,0,37,1334,0,1371,1
,,2,18,2-18,,47.4655029094,0,7,1196,0,1203,0
,,2,19,2-19,,44.0281690141,1,13,1619,0,1633,4
,,2,20,2-20,,46.6153846154,0,7,344,0,351,0
,,2,21,2-21,,37.45,0,5,1215,0,1220,2
,,2,22,2-22,,37.7571592211,0,2,871,0,873,1
,,2,23,2-23,,48.4265129683,0,32,1356,0,1388,3
,,2,24,2-24,,48.6339285714,0,14,1442,0,1456,5
,,2,25,2-25,,47.7403636364,0,15,1360,0,1375,0
,,2,26,2-26,,49.4031117397,0,41,1373,0,1414,2
,,2,27,2-27,,48.6570048309,1,35,1206,0,1242,1
,,2,28,2-28,,49.5084626234,0,44,1374,0,1418,3
,,2,29,2-29,,47.1608391608,0,12,1275,0,1287,0
,,2,30,2-30,,47.7822014052,0,22,1259,0,1281,3
,,2,31,2-31,,49.8913043478,0,36,1068,0,1104,1
,,2,32,2-32,,48.2026066351,1,18,825,0,844,1
,,2,33,2-33,,48.9741935484,0,20,1065,0,1085,0
,,2,34,2-34,,48.9020700637,0,14,1242,0,1256,1
,,2,35,2-35,,47.2962962963,0,14,1120,0,1134,0
,,2,36,2-36,,49.2699014405,0,45,1274,0,1319,2
,,2,37,2-37,,49.0091973244,0,34,1162,0,1196,1
,,2,38,2-38,,49.3590361446,0,35,1210,0,1245,3
,,2,39,2-39,,48.0994358251,0,38,1380,0,1418,2
,,2,40,2-40,,47.3600782779,0,18,1004,0,1022,1
,,2,41,2-41,,49.2154222766,0,8,809,0,817,0
,,2,42,2-42,,46.6556390977,0,15,1315,0,1330,2
,,2,43,2-43,,47.0712270804,0,14,1404,0,1418,1
,,2,44,2-44,,48.8493466564,0,29,1272,0,1301,0
,,2,45,2-45,,49.3506686478,0,36,1310,0,1346,0
,,2,46,2-46,,46.4719000892,0,11,1110,0,1121,1
,,2,47,2-47,,46.1031941032,0,9,1212,0,1221,4
,,2,48,2-48,,46.6744186047,0,25,1437,0,1462,1
,,2,49,2-49,,48.5978835979,0,26,1297,0,1323,1
,,2,50,2-50,,48.423553719,0,46,1406,0,1452,0
,,2,51,2-51,,47.0476190476,0,30,1398,0,1428,0
,,2,52,2-52,,50.0877497828,1,41,1109,0,1151,1
,,2,53,2-53,,45.1861667744,0,12,1535,0,1547,3
,,2,54,2-54,,49.4930278884,0,22,982,0,1004,1
,,2,55,2-55,,49.9772911598,0,33,1200,0,1233,2
,,2,56,2-56,,45.6912669127,0,19,1607,0,1626,1
,,2,57,2-57,,46.2815371763,0,15,1182,0,1197,0
,,2,58,2-58,,45.6354410617,0,18,1263,0,1281,2
,,2,59,2-59,,48.4862119013,0,15,1363,0,1378,2
,,2,60,2-60,,49.4527659574,0,25,1150,0,1175,1
,,2,61,2-61,,47.3798219585,0,32,1316,0,1348,1
,,2,62,2-62,,47.956133225,0,25,1206,0,1231,0
,,2,63,2-63,,48.7331583552,0,25,1118,0,1143,2
,,2,64,2-64,,48.0978428351,0,17,1281,0,1298,2
,,2,65,2-65,,44.6701966717,0,6,655,0,661,1
,,2,66,2-66,,46.0464316423,0,19,1144,0,1163,2
,,2,67,2-67,,46.0172239108,0,12,975,0,987,1
,,2,68,2-68,,46.5636497425,0,15,1344,0,1359,0
,,2,69,2-69,,46.969775475,0,16,1142,0,1158,0
,,2,70,2-70,,47.3219814241,0,17,952,0,969,1
,,2,71,2-71,,44.1129032258,1,6,1543,0,1550,4
,,2,72,2-72,,47.144057623,0,19,814,0,833,3
,,2,73,2-73,,45.3699897225,0,9,964,0,973,1
,,2,74,2-74,,48.6682080925,0,13,852,0,865,0
,,2,75,2-75,,46.7935409458,1,8,858,0,867,2
,,2,76,2-76,,49.2734829593,0,26,1177,0,1203,0
,,2,77,2-77,,49.0306643952,8,24,555,0,587,1
,,2,78,2-78,,45.2742268041,0,17,953,0,970,2
,,3,1,3-1,,45.6390931373,0,24,1608,0,1632,1
,,3,2,3-2,,49.1896938013,0,19,1320,0,1339,1
,,3,3,3-3,,48.7883556255,0,17,1254,0,1271,0
,,3,4,3-4,,47.874746107,0,24,1453,0,1477,1
,,3,5,3-5,,48.2386511025,0,27,1515,0,1542,0
,,3,6,3-6,,49.2033762058,0,33,1211,0,1244,3
,,3,7,3-7,,48.3836431227,0,41,1304,0,1345,3
,,3,8,3-8,,47.0724450194,1,25,1520,0,1546,2
,,3,9,3-9,,49.057312253,0,17,1501,0,1518,1
,,3,10,3-10,,48.4455516014,0,32,1373,0,1405,0
,,3,11,3-11,,49.8597014925,0,33,1307,0,1340,1
,,3,12,3-12,,47.850904554,0,33,1570,0,1603,2
,,3,13,3-13,,47.5399188092,0,26,1452,0,1478,1
,,3,14,3-14,,50.2250174703,1,35,1395,0,1431,1
,,3,15,3-15,,48.9579889807,0,24,1428,0,1452,2
,,3,16,3-16,,46.5613114754,0,28,1497,0,1525,0
,,3,17,3-17,,48.7145003757,0,33,1298,0,1331,2
,,3,18,3-18,,49.2977412731,0,42,1419,0,1461,1
,,3,19,3-19,,49.3939393939,0,44,1243,0,1287,1
,,3,20,3-20,,47.728049728,0,23,1264,0,1287,1
,,3,21,3-21,,49.3683788122,0,39,1207,0,1246,1
,,3,22,3-22,,49.5454545455,0,42,1278,0,1320,1
,,3,23,3-23,,46.0963070239,0,26,1355,0,1381,0
,,3,24,3-24,,47.1211340206,0,28,1524,0,1552,2
,,3,25,3-25,,47.1753731343,0,33,1307,0,1340,1
,,3,26,3-26,,48.8529163145,0,46,1137,0,1183,2
