shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Tamaz Bibiluri,Giorgi Liluashvili,Sergo Javakhidze,Koba Davitashvili,Davit Bakradze,Akaki Asatiani,Nino Chanishvili,Teimuraz Bobokhidze,Shalva Natelashvili,Giorgi Targamadze,Levan Chachua,Nestan Kirtadze,Giorgi Chikhladze,Nino Burjanadze,Zurab Kharatishvili,Mikheil Saluashvili,Kartlos Gharibashvili,Mamuka Chokhonelidze,Avtandil Margiani,Nugzar Avaliani,Mamuka Melikishvili,Teimuraz Mzhavia,Giorgi Margvelashvili
Country,Georgia,Georgia,1630875,46.0996,1007,2240,350,109,\N,424,11.4378,2.1014,\N,4,0.1079,1,\N,\N,\N,\N,3,3,11,17,3707,101.3118,0.0421,0.1171,0.1292,0.6032,21.7125,0.0956,0.1396,0.0218,2.8809,1.0641,0.1897,0.0467,0.0503,10.1823,0.228,0.0844,0.0325,0.0193,0.0384,0.0407,0.061,0.0788,62.0875
Region,Adjara,Adjara,140522,46.0144,84,234,24,5,\N,24,6.8966,1.7917,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,348,101.1628,0.037,0.1409,0.1494,0.7081,20.142,0.0783,0.1551,0.0192,2.3626,1.5969,0.0989,0.0534,0.064,15.1215,0.2782,0.0455,0.0306,0.0171,0.0327,0.1167,0.0662,0.0619,58.593
Region,Countries,Countries,5059,\N,19,14,8,11,\N,3,5.7692,1,\N,0,0,\N,\N,\N,\N,\N,1,0,0,1,52,110.6383,0.1977,0.0593,0.3163,0.4349,39.2765,0.4546,0.257,0.0395,3.5975,1.3441,0.2767,0.1977,0.1186,4.0127,0.1779,0.1581,0.0988,0.0395,0.1384,0.0791,0.0593,0.0593,48.5471
Region,Guria,Guria,60656,53.6285,52,79,4,3,\N,8,5.7971,1.875,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,138,100,0.0379,0.2391,0.0478,0.5985,15.5978,0.0808,0.2011,0.0214,1.6948,1.2728,0.0544,0.0396,0.0445,8.4954,0.4023,0.0346,0.028,0.0231,0.0445,0.0445,0.0742,0.1138,70.7844
Region,Imereti,Imereti,268175,47.9984,243,325,33,3,\N,69,11.4238,1.971,\N,1,0.1656,1,\N,\N,\N,\N,0,0,1,1,604,100.4992,0.0239,0.151,0.1204,0.4639,21.6318,0.0921,0.0977,0.0164,2.1751,0.9621,0.195,0.0283,0.0503,8.3487,0.2077,0.0354,0.0149,0.0157,0.0268,0.0537,0.0738,0.0582,65.1067
Region,Kakheti,Kakheti,146662,46.8145,120,159,14,13,\N,52,16.9935,1.75,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,306,100,0.028,0.0975,0.0634,0.5884,21.4834,0.09,0.1152,0.0252,3.581,1.2484,0.0764,0.03,0.0477,10.4015,0.1957,0.0505,0.0252,0.017,0.0286,0.0341,0.0689,0.0436,61.5981
Region,Kvemo Kartli,Kvemo Kartli,149371,36.8077,78,230,84,42,\N,47,10.8295,3.1702,\N,0,0,\N,\N,\N,\N,\N,1,0,2,3,434,100.9302,0.0864,0.0857,0.1178,0.4854,24.5369,0.1151,0.1359,0.0295,2.54,0.9346,0.2296,0.0495,0.0623,9.1202,0.2229,0.1553,0.0676,0.0201,0.0522,0.0248,0.083,0.0663,60.6791
Region,Mtskheta-Mtianeti,Mtskheta-Mtianeti,43714,49.55,59,64,5,0,\N,12,9.375,1.25,\N,0,0,\N,\N,\N,\N,\N,0,0,1,1,128,101.5873,0.0206,0.1167,0.1052,0.4186,12.9684,0.0663,0.1167,0.0206,5.6366,0.7046,0.0755,0.016,0.0458,10.5184,0.1052,0.0595,0.0183,0.0229,0.0343,0.016,0.0503,0.0824,68.7469
Region,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,21262,58.3672,69,42,10,3,\N,2,1.6129,1,\N,0,0,\N,\N,\N,\N,\N,0,0,0,0,124,100,0.0329,0.2258,0.0564,0.6537,18.2767,0.1317,0.1599,0.047,1.6508,0.6114,0.047,0.0329,0.0517,15.1115,0.1552,0.0282,0.0376,0.0282,0.047,0.0141,0.08,0.0282,62.4824
Region,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,155420,43.0318,94,241,30,9,\N,42,11.2299,1.9286,\N,0,0,\N,\N,\N,\N,\N,0,0,1,1,374,100.2681,0.038,0.1821,0.0573,0.3384,32.5087,0.0997,0.1332,0.0212,1.9167,1.0899,0.0817,0.0392,0.0405,9.9878,0.2683,0.0547,0.0206,0.0251,0.0605,0.0244,0.0631,0.0631,52.8336
