"shape","common_id","common_name","Average age of voters","Numbers of voters over 99 years old","Number of voters between 85 and 99 years old","Total Voters","Number of potential voter duplications"
"Country","Georgia","Georgia","47.0988315446916941","750","63499","3620329","3847"
"Region","Adjara","Adjara","44.4310788890089337","99","3835","304492","690"
"Region","Guria","Guria","48.4536547184536232","27","2493","113327","137"
"Region","Imereti","Imereti","48.0942464000217608","76","10944","564572","621"
"Region","Kakheti","Kakheti","47.3805468531735294","48","6498","314629","241"
"Region","Kvemo Kartli","Kvemo Kartli","45.9084251591894009","127","6265","412641","389"
"Region","Mtskheta-Mtianeti","Mtskheta-Mtianeti","48.2293207521182540","22","1734","87827","87"
"Region","Racha-Lechkhumi and Kvemo Svaneti","Racha-Lechkhumi and Kvemo Svaneti","54.1437194988088710","12","1403","36787","44"
"Region","Samegrelo-Zemo Svaneti","Samegrelo-Zemo Svaneti","47.8238329510919571","100","7282","362194","290"
"Region","Samtskhe-Javakheti","Samtskhe-Javakheti","45.8911051729910377","21","2848","153187","121"
"Region","Shida Kartli","Shida Kartli","46.6108485529370213","29","3938","241251","252"
"Region","Tbilisi","Tbilisi","46.6384015052455393","189","16259","1029422","975"
"District","79","Batumi","44.8459174665567308","39","1699","134511","221"
"District","80","Keda","44.5071816889580645","9","244","15749","52"
"District","81","Kobuleti","44.6273174066107692","19","801","69308","130"
"District","82","Shuakhevi","44.7488218608734694","9","302","15153","36"
"District","83","Khelvachauri","43.3771983225590909","7","410","45532","96"
"District","84","Khulo","43.9226240148407407","16","379","24239","155"
"District","60","Ozurgeti","47.8227669298435484","13","1254","64356","64"
"District","61","Lanchkhuti","48.4180240184105263","9","749","30155","46"
"District","62","Chokhatauri","49.5186286525447368","5","490","18816","27"
"District","48","Kharagauli","49.7098641746000000","0","631","20350","30"
"District","49","Terjola","48.5180067601484848","10","874","34763","35"
"District","50","Sachkhere","47.0116595723076923","6","824","44346","55"
"District","51","Zestaponi","47.7930994186547170","6","1130","57032","63"
"District","52","Bagdati","48.7065693341250000","8","555","23345","28"
"District","53","Vani","49.5525521637419355","9","803","26820","41"
"District","54","Samtredia","48.2274500261320000","8","978","48403","50"
"District","55","Khoni","48.9732637098206897","6","555","24245","14"
"District","56","Chiatura","48.4945243607000000","8","1092","45124","65"
"District","57","Tkibuli","50.7365966304945946","1","654","23773","25"
"District","58","Tskaltubo","48.3769225882940299","3","950","53283","38"
"District","59","Kutaisi","46.2365044041874016","11","1898","163088","177"
"District","11","Sagarejo","45.8584631144530612","16","884","46010","16"
"District","12","Gurjaani","48.5598926128549020","4","1194","55361","40"
"District","13","Signagi","49.3368332166714286","2","872","31706","26"
