region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,7 - Name of the Lord,8 - Alliance of Patriots,9 - Self-governance to People,10 - Peoples Party,11 - Reformers,12 - Our Georgia,13 - Future Georgia,14 - Georgian Party,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,36 - Labour Council,41 - Georgian Dream
,1,,1,,1443,8,189,457,568,1300,19,,,,,,,,14,,72,174,9,1,26,0,,1,,0,,,2,9,,1,3,238
,1,,2,,1236,8,185,470,572,1150,25,,,,,,,,12,,62,209,4,1,27,0,,1,,0,,,2,5,,0,0,224
,1,,3,,1425,9,185,451,593,1300,16,,,,,,,,10,,52,240,11,1,21,0,,2,,0,,,5,8,,1,0,225
,1,,4,,1141,9,172,373,478,1050,20,,,,,,,,9,,55,150,5,0,13,0,,1,,2,,,0,5,,0,1,217
,1,,5,,1485,9,219,497,639,1400,18,,,,,,,,3,,53,226,7,0,34,1,,0,,0,,,5,11,,0,1,280
,1,,6,,1440,9,191,517,638,1350,17,,,,,,,,15,,91,213,8,1,25,0,,0,,0,,,6,10,,0,1,251
,1,,7,,1416,7,163,404,552,1300,18,,,,,,,,7,,53,187,7,1,26,0,,1,,0,,,6,7,,1,1,237
,1,,8,,1129,10,119,324,400,1050,13,,,,,,,,10,,43,111,0,1,22,1,,1,,1,,,9,10,,0,0,175
,1,,9,,1331,11,155,440,573,1200,19,,,,,,,,7,,62,215,6,0,39,0,,1,,3,,,12,7,,0,3,199
,1,,10,,1574,5,197,512,649,1450,25,,,,,,,,13,,83,210,6,2,26,0,,1,,1,,,4,9,,0,0,269
,1,,11,,1584,7,221,490,621,1450,22,,,,,,,,14,,109,247,6,0,34,0,,0,,1,,,1,5,,1,0,180
,1,,12,,1517,5,177,536,677,1400,24,,,,,,,,10,,75,209,7,1,42,0,,3,,0,,,11,9,,1,0,285
,1,,13,,1276,5,179,394,474,1200,11,,,,,,,,8,,54,121,4,0,33,0,,1,,0,,,3,11,,0,0,227
,1,,14,,1138,6,162,355,478,1050,9,,,,,,,,10,,60,150,2,4,23,1,,2,,0,,,2,9,,0,0,204
,1,,15,,1287,9,170,451,576,1200,20,,,,,,,,5,,90,186,7,1,28,0,,0,,0,,,8,6,,0,0,224
,1,,16,,1476,9,219,502,638,1400,32,,,,,,,,18,,80,226,15,1,42,1,,0,,1,,,7,15,,0,0,200
,1,,17,,1043,8,107,306,385,950,22,,,,,,,,12,,54,108,6,0,14,0,,1,,0,,,8,7,,0,0,153
,1,,18,,1086,8,131,364,461,1000,11,,,,,,,,11,,55,158,6,0,32,0,,0,,0,,,0,4,,0,0,184
,1,,19,,1485,5,180,453,616,1400,21,,,,,,,,7,,85,189,10,2,30,0,,1,,2,,,2,10,,9,0,248
,1,,20,,1362,4,179,496,598,1250,24,,,,,,,,21,,86,298,4,2,14,0,,0,,0,,,1,5,,0,0,143
,1,,21,,1413,6,198,443,605,1300,24,,,,,,,,20,,85,201,8,0,35,1,,1,,0,,,9,6,,0,0,215
,1,,22,,1494,11,177,478,657,1400,14,,,,,,,,16,,85,195,10,1,24,0,,1,,0,,,8,13,,0,0,290
,1,,23,,1388,8,188,496,656,1300,21,,,,,,,,16,,90,212,7,3,37,1,,5,,0,,,3,8,,0,1,252
,1,,24,,1586,6,228,557,734,1500,16,,,,,,,,11,,77,292,2,0,25,1,,1,,0,,,1,12,,2,0,294
,1,,25,,1054,9,135,325,424,950,12,,,,,,,,8,,41,155,8,0,20,1,,1,,0,,,2,7,,1,3,165
