shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,United National Movement,Greens Party,Alliance of Patriots,Self-governance to People,Reformers,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Labour Party,Party of People,Merab Kostava Society,Georgian Dream
Country,Georgia,Georgia,886698,45.9,128,547,779,962,,0,0.0,,,0,0.0,,,,,,2,1,3,6,2433,33.46,2.81,0.55,10.28,20.55,0.53,4.12,0.52,0.03,0.02,0.85,0.11,0.12,1.61,0.41,0.29,0.35,56.46
Region,Adjara,Adjara,82074,48.48,27,68,83,65,,0,0.0,,,0,0.0,,,,,,0,0,0,0,244,35.16,0.59,,10.23,19.92,,13.55,,,,,,1.15,0.69,1.57,,,52.08
Region,Guria,Guria,53692,55.4,2,29,33,61,,0,0.0,,,0,0.0,,,,,,0,0,0,0,125,45.29,4.76,,3.16,16.83,,17.31,0.07,,,,,,,,,,57.8
Region,Imereti,Imereti,189713,48.06,12,118,183,162,,0,0.0,,,0,0.0,,,,,,0,0,1,1,479,39.72,3.54,0.97,11.21,22.05,,1.21,0.84,0.07,,,,,4.0,0.16,,,55.77
Region,Kakheti,Kakheti,129883,44.94,5,67,109,111,,0,0.0,,,0,0.0,,,,,,1,0,0,1,292,47.4,1.91,0.42,15.11,20.31,0.88,2.1,,,,,,,0.42,,0.49,0.63,57.45
Region,Kvemo Kartli,Kvemo Kartli,101351,35.26,25,47,89,181,,0,0.0,,,0,0.0,,,,,,0,0,1,1,347,40.07,0.16,2.5,12.56,24.7,,0.26,,,0.17,,,,,,,,59.22
Region,Mtskheta-Mtianeti,Mtskheta-Mtianeti,35677,44.9,6,22,31,62,,0,0.0,,,0,0.0,,,,,,0,0,1,1,123,47.67,0.7,,12.95,8.49,1.9,12.1,0.94,,,,,,,1.15,4.06,6.46,51.0
Region,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,19875,59.34,11,41,38,32,,0,0.0,,,0,0.0,,,,,,0,0,0,0,122,48.03,1.52,,6.46,18.34,0.13,1.13,,,,,4.95,,,,,,67.43
Region,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,130571,51.08,15,73,105,104,,0,0.0,,,0,0.0,,,,,,1,1,0,2,299,40.08,3.56,,9.46,26.9,0.62,1.3,0.52,0.07,,,,0.07,0.77,0.46,0.39,,55.09
Region,Samtskhe-Javakheti,Samtskhe-Javakheti,64616,49.55,22,43,58,75,,0,0.0,,,0,0.0,,,,,,0,0,0,0,199,46.93,9.97,,6.08,13.52,,3.2,3.12,,,,,,,1.67,,,62.09
Region,Shida Kartli,Shida Kartli,79246,40.54,3,39,50,109,,0,0.0,,,0,0.0,,,,,,0,0,0,0,203,42.83,1.13,,6.66,16.46,2.61,3.26,,,,9.51,,,5.8,,,,53.94
District,80,Keda,9989,63.71,3,14,12,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,31,50.0,1.67,,22.53,21.12,,2.27,,,,,,,,,,,51.98
District,83,Khelvachauri,18610,39.83,1,11,19,14,,0,0.0,,,0,0.0,,,,,,0,0,0,0,45,50.0,1.71,,14.7,19.49,,3.86,,,,,,2.29,,2.69,,,54.86
District,84,Khulo,13647,57.06,9,14,22,9,,0,0.0,,,0,0.0,,,,,,0,0,0,0,54,50.0,,,3.93,10.86,,31.69,,,,,,3.77,,,,,49.68
District,81,Kobuleti,31229,45.98,0,13,20,31,,0,0.0,,,0,0.0,,,,,,0,0,0,0,65,50.0,,,7.35,23.64,,18.74,,,,,,,1.81,2.53,,,45.8
District,82,Shuakhevi,8599,57.0,14,16,10,9,,0,0.0,,,0,0.0,,,,,,0,0,0,0,49,50.0,,,6.76,20.29,,,,,,,,,,,,,72.76
District,62,Chokhatauri,11545,61.9,1,22,8,7,,0,0.0,,,0,0.0,,,,,,0,0,0,0,38,50.0,,,5.47,15.39,,25.15,0.3,,,,,,,,,,53.62
District,61,Lanchkhuti,17271,57.78,1,5,18,14,,0,0.0,,,0,0.0,,,,,,0,0,0,0,38,50.0,,,6.17,12.36,,37.01,,,,,,,,,,,44.36
District,60,Ozurgeti,24876,51.42,0,2,7,40,,0,0.0,,,0,0.0,,,,,,0,0,0,0,49,39.52,10.27,,,20.6,,,,,,,,,,,,,69.06
District,52,Bagdati,12117,52.86,1,4,5,20,,0,0.0,,,0,0.0,,,,,,0,0,0,0,31,50.0,,4.04,12.15,,,,,,,,,,35.64,2.43,,,44.61
District,56,Chiatura,18760,42.12,2,18,21,17,,0,0.0,,,0,0.0,,,,,,0,0,0,0,58,50.0,6.67,,,22.92,,3.68,,0.69,,,,,10.18,,,,55.76
District,48,Kharagauli,12102,59.96,2,5,20,10,,0,0.0,,,0,0.0,,,,,,0,0,0,0,37,51.39,15.39,,,20.13,,,,,,,,,,,,,64.43
District,55,Khoni,14413,61.37,0,13,13,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,29,50.0,,,2.34,41.98,,8.9,,,,,,,,,,,46.69
District,50,Sachkhere,21651,49.19,3,13,26,11,,0,0.0,,,0,0.0,,,,,,0,0,0,0,53,50.0,1.91,,10.1,4.6,,,,,,,,,,,,,83.33
District,54,Samtredia,20772,43.9,0,15,25,10,,0,0.0,,,0,0.0,,,,,,0,0,0,0,50,50.0,1.27,,7.79,24.4,,,7.65,,,,,,,,,,58.73
District,49,Terjola,19820,57.34,0,15,15,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,33,50.0,,,13.94,36.72,,,,,,,,,2.42,,,,46.86
District,57,Tkibuli,10476,45.19,3,12,11,9,,0,0.0,,,0,0.0,,,,,,0,0,0,0,37,50.0,,,32.96,23.05,,,,,,,,,,,,,43.93
District,58,Tskaltubo,21288,40.87,1,7,17,42,,0,0.0,,,0,0.0,,,,,,0,0,0,0,67,50.0,,6.34,9.34,32.14,,,,,,,,,,,,,51.76
District,53,Vani,15018,57.14,0,6,15,10,,0,0.0,,,0,0.0,,,,,,0,0,0,0,31,50.0,,,31.94,13.98,,,,,,,,,,,,,54.0
District,51,Zestaponi,23296,41.52,0,10,15,28,,0,0.0,,,0,0.0,,,,,,0,0,1,1,53,50.0,12.57,,11.42,18.63,,1.36,,,,,,,3.79,,,,52.15
District,18,Akhmeta,14276,46.92,1,13,12,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,29,50.0,6.09,,27.82,23.21,,,,,,,,,,,,,42.64
District,14,Dedoplistskaro,11416,50.46,2,12,9,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,23,50.0,1.92,,,10.63,,,,,,,,,,,,,86.81
District,12,Gurjaani,24332,44.94,0,11,22,18,,0,0.0,,,0,0.0,,,,,,0,0,0,0,51,50.0,,,13.2,23.24,,,,,,,,,2.22,,,,61.1
District,16,Kvareli,14908,51.06,0,0,10,20,,0,0.0,,,0,0.0,,,,,,1,0,0,1,30,50.0,,,7.24,24.22,7.69,12.11,,,,,,,,,,,48.62
District,15,Lagodekhi,17788,45.6,1,7,12,17,,0,0.0,,,0,0.0,,,,,,0,0,0,0,37,50.0,,2.15,32.76,13.32,,,,,,,,,,,,,51.63
District,11,Sagarejo,17314,38.03,1,8,11,29,,0,0.0,,,0,0.0,,,,,,0,0,0,0,49,50.0,4.34,0.92,6.04,21.29,,5.28,,,,,,,,,3.65,,58.11
District,13,Signagi,14492,46.83,0,11,18,6,,0,0.0,,,0,0.0,,,,,,0,0,0,0,35,50.0,2.3,,8.52,16.7,,,,,,,,,,,,5.64,66.4
District,17,Telavi,15357,41.37,0,5,15,18,,0,0.0,,,0,0.0,,,,,,0,0,0,0,38,35.19,1.97,,21.2,26.79,,,,,,,,,,,,,49.72
District,23,Bolnisi,19870,35.38,3,6,15,38,,0,0.0,,,0,0.0,,,,,,0,0,0,0,62,50.0,,,15.87,12.98,,,,,,,,,,,,,70.86
District,24,Dmanisi,10730,48.11,7,7,12,24,,0,0.0,,,0,0.0,,,,,,0,0,0,0,50,50.0,,,13.08,14.86,,,,,,,,,,,,,71.38
District,21,Gardabani,23839,33.49,0,3,14,46,,0,0.0,,,0,0.0,,,,,,0,0,0,0,63,50.0,,6.75,8.54,27.72,,,,,,,,,,,,,56.48
District,22,Marneuli,28845,30.05,7,10,24,41,,0,0.0,,,0,0.0,,,,,,0,0,1,1,86,50.0,0.57,2.22,13.21,32.06,,,,,0.6,,,,,,,,50.81
District,26,Tetritskaro,9296,44.71,3,9,14,14,,0,0.0,,,0,0.0,,,,,,0,0,0,0,41,50.0,,3.06,6.35,33.26,,,,,,,,,,,,,57.18
District,25,Tsalka,8771,41.77,5,12,10,18,,0,0.0,,,0,0.0,,,,,,0,0,0,0,45,50.0,,,19.83,21.81,,2.95,,,,,,,,,,,55.23
District,28,Dusheti,11138,42.74,3,7,14,28,,0,0.0,,,0,0.0,,,,,,0,0,0,0,53,50.0,,,20.02,8.74,,17.09,0.81,,,,,,,,,,53.06
District,29,Kazbegi,2663,50.8,1,4,2,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,10,50.0,,,18.93,,,14.95,,,,,,,,15.36,,,50.24
District,27,Mtskheta,15557,41.75,0,0,10,29,,0,0.0,,,0,0.0,,,,,,0,0,1,1,40,43.48,1.59,,,11.78,,11.12,,,,,,,,,9.31,14.82,51.18
District,19,Tianeti,6319,58.01,2,11,5,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,20,50.0,,,29.86,3.54,10.71,4.53,3.86,,,,,,,,,,47.25
District,44,Ambrolauri,5909,61.13,1,15,9,10,,0,0.0,,,0,0.0,,,,,,0,0,0,0,35,43.75,,,8.73,15.48,,,,,,,,,,,,,75.73
District,46,Lentekhi,3642,61.56,2,13,6,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,23,50.0,,,,11.18,,,,,,,27.02,,,,,,61.72
District,43,Oni,3779,58.28,5,5,6,7,,0,0.0,,,0,0.0,,,,,,0,0,0,0,23,50.0,8.02,,20.3,11.93,0.66,5.95,,,,,,,,,,,53.08
District,45,Tsageri,6545,57.29,3,8,17,13,,0,0.0,,,0,0.0,,,,,,0,0,0,0,41,50.0,,,,28.6,,,,,,,,,,,,,71.4
District,63,Abasha,12823,59.74,0,2,9,13,,0,0.0,,,0,0.0,,,,,,0,0,0,0,24,50.0,,,4.07,26.34,,3.08,5.27,,,,,,,,,,60.98
District,69,Chkhorotsku,12986,57.69,0,3,10,14,,0,0.0,,,0,0.0,,,,,,0,0,0,0,27,50.0,,,,27.52,,10.02,,,,,,,,,,,62.34
District,66,Khobi,15808,55.5,0,7,13,12,,0,0.0,,,0,0.0,,,,,,0,0,0,0,32,50.0,9.87,,9.39,23.35,,,,,,,,,,,,,57.36
District,65,Martvili,21037,62.54,1,13,13,12,,0,0.0,,,0,0.0,,,,,,0,0,0,0,39,50.0,10.33,,25.9,17.76,,,,0.45,,,,,0.34,,,,45.01
District,47,Mestia,4777,57.96,11,10,8,11,,0,0.0,,,0,0.0,,,,,,0,0,0,0,40,50.0,,,,,17.06,,,,,,,,12.96,,,,69.71
District,64,Senaki,18861,46.08,0,4,16,23,,0,0.0,,,0,0.0,,,,,,1,1,0,2,44,50.0,1.34,,17.05,21.31,,,,,,,,,1.7,3.17,,,51.16
District,68,Tsalenjikha,14077,46.33,0,6,13,9,,0,0.0,,,0,0.0,,,,,,0,0,0,0,28,50.0,,,6.6,30.81,,,,,,,,,,,,,62.53
District,67,Zugdidi,30202,43.18,3,28,23,10,,0,0.0,,,0,0.0,,,,,,0,0,0,0,65,30.37,2.19,,2.5,41.03,,,,,,,,0.31,,,1.7,,51.99
District,38,Adigeni,8691,56.34,1,6,9,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,18,50.0,,,10.14,29.29,,,,,,,,,,,,,60.19
District,40,Akhalkalaki,17132,45.07,11,15,20,23,,0,0.0,,,0,0.0,,,,,,0,0,0,0,70,50.0,35.94,,,3.48,,,,,,,,,,,,,60.11
District,37,Akhaltsikhe,10920,55.69,2,6,12,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,22,31.43,1.4,,2.55,31.33,,4.14,,,,,,,,,,,60.17
District,39,Aspindza,6602,67.99,4,10,7,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,23,50.0,2.0,,12.86,32.88,,,,,,,,,,,,,52.0
District,36,Borjomi,11157,41.82,0,0,0,30,,0,0.0,,,0,0.0,,,,,,0,0,0,0,30,50.0,,,17.2,,,14.47,,,,,,,,9.65,,,58.6
District,41,Ninotsminda,10114,48.25,4,6,10,16,,0,0.0,,,0,0.0,,,,,,0,0,0,0,36,50.0,,,,,,,19.9,,,,,,,,,,79.57
District,32,Gori,28653,41.48,0,13,21,38,,0,0.0,,,0,0.0,,,,,,0,0,0,0,73,34.11,1.04,,7.91,16.02,,,,,,26.29,,,1.51,,,,46.48
District,33,Kareli,17106,46.03,3,9,8,19,,0,0.0,,,0,0.0,,,,,,0,0,0,0,39,50.0,,,,14.43,,,,,,,,,24.35,,,,61.12
District,30,Kaspi,16485,41.35,0,13,10,15,,0,0.0,,,0,0.0,,,,,,0,0,0,0,38,50.0,,,10.31,16.38,4.59,5.61,,,,,,,,,,,62.75
District,35,Khashuri,17002,34.43,0,4,11,37,,0,0.0,,,0,0.0,,,,,,0,0,0,0,53,50.0,3.54,,7.69,19.3,7.73,9.73,,,,,,,,,,,50.74
Precinct,1,11-1,331,46.69,,,,,3.5,,,,0,,,,0,0.45,0.48,0.51,,,,,,,13.29,0.3,3.63,27.19,,1.81,,,,,,,,,3.93,,49.85
Precinct,2,11-2,593,48.73,,,,,2.31,,,,0,,,,0,0.85,0.82,0.86,,,,,,,7.25,0.51,11.64,19.39,,5.23,,,,,,,,,2.02,,53.96
Precinct,3,11-3,580,50.43,,,,,3.81,,,,0,,,,0,0.86,1.07,0.42,,,,,,,2.07,0.69,7.24,27.24,,2.24,,,,,,,,,3.62,,56.9
Precinct,4,11-4,364,44.77,,,,,2.41,,,,0,,,,0,0.62,0.47,0.47,,,,,,,14.56,1.65,3.85,9.62,,15.66,,,,,,,,,8.79,,45.88
Precinct,5,11-5,270,39.42,,,,,2.88,,,,0,,,,0,0.0,0.0,1.54,,,,,,,11.85,1.85,2.22,15.56,,7.41,,,,,,,,,2.22,,58.89
Precinct,6,11-6,517,39.86,,,,,4.44,,,,0,,,,0,0.68,0.77,0.82,,,,,,,4.26,0.58,6.58,22.63,,6.96,,,,,,,,,1.35,,57.64
Precinct,7,11-7,334,34.86,,,,,3.47,,,,0,,,,0,0.44,0.47,0.54,,,,,,,2.4,0.6,6.89,29.34,,7.49,,,,,,,,,3.59,,49.7
Precinct,8,11-8,484,41.58,,,,,6.2,,,,0,,,,0,0.63,0.64,0.97,,,,,,,12.6,2.89,4.96,28.51,,4.34,,,,,,,,,3.31,,43.18
Precinct,9,11-9,439,42.75,,,,,3.73,,,,0,,,,0,0.71,0.64,0.52,,,,,,,4.78,0.91,6.38,25.28,,6.83,,,,,,,,,2.73,,52.85
Precinct,10,11-10,433,42.91,,,,,2.91,,,,0,,,,0,0.85,0.47,0.56,,,,,,,2.08,0.69,5.54,43.88,,3.23,,,,,,,,,1.15,,43.42
Precinct,11,11-11,433,52.55,,,,,7.68,,,,0,,,,0,0.71,0.53,0.77,,,,,,,4.39,0.46,2.31,13.39,,2.31,,,,,,,,,19.17,,57.97
Precinct,12,11-12,179,63.93,,,,,5.79,,,,0,,,,0,0.43,0.26,0.06,,,,,,,0.0,1.68,2.79,26.82,,6.7,,,,,,,,,7.82,,54.19
