shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,National Democratic Party of Georgia,United National Movement,Greens Party,Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
Country,Georgia,Georgia,1428551,41.66,154,983,1561,918,,0,0.0,,,0,0.0,,,,,,1,1,8,10,3636,100.0,2.6,0.84,9.09,0.01,20.77,0.43,0.07,3.69,0.68,0.04,0.21,0.27,0.02,0.66,0.17,0.45,1.38,0.01,1.43,0.31,0.09,0.04,44.71
Region,Adjara,Adjara,129552,42.96,28,125,144,48,,0,0.0,,,0,0.0,,,,,,0,0,0,0,347,100.0,1.58,0.09,9.04,,20.27,,,8.19,0.84,0.46,0.68,,,,,4.03,2.96,,1.36,0.46,,,39.45
Region,Guria,Guria,62050,55.36,1,48,61,28,,0,0.0,,,0,0.0,,,,,,0,0,0,0,138,100.0,1.32,0.69,7.51,,10.19,,,4.36,,,,,,,,,0.44,,1.21,,0.27,,44.8
Region,Imereti,Imereti,238036,43.48,14,192,285,109,,0,0.0,,,0,0.0,,,,,,0,0,2,2,603,100.0,3.13,0.7,9.92,0.07,22.24,,0.03,1.86,1.22,,0.02,,,,0.2,,2.04,,1.04,0.18,0.02,,46.29
Region,Kakheti,Kakheti,139817,45.42,16,122,119,51,,0,0.0,,,0,0.0,,,,,,0,0,1,1,308,100.0,2.08,0.33,13.2,,17.37,0.68,,1.5,0.64,,,,0.08,,0.04,,0.76,,1.08,0.07,0.68,,46.41
Region,Kvemo Kartli,Kvemo Kartli,140431,35.83,26,74,130,201,,0,0.0,,,0,0.0,,,,,,0,0,2,2,433,100.0,1.14,2.35,7.96,,18.07,0.05,0.27,2.29,0.58,,0.01,2.27,0.13,,0.02,0.09,0.21,,1.36,,,,46.75
Region,Mtskheta-Mtianeti,Mtskheta-Mtianeti,40062,46.37,8,36,56,28,,0,0.0,,,0,0.0,,,,,,0,0,0,0,129,100.0,1.41,1.44,10.93,,5.94,,,7.2,0.18,,0.04,0.01,,,,,0.04,,3.26,2.78,,,42.34
Region,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,20999,59.08,17,37,47,26,,0,0.0,,,0,0.0,,,,,,0,0,0,0,127,100.0,0.49,1.81,9.6,0.01,16.08,0.1,,1.17,,,,,,,4.04,,0.43,,0.76,0.14,,,54.44
Region,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,164241,47.42,18,116,163,74,,0,0.0,,,0,0.0,,,,,,1,1,1,3,373,100.0,2.52,0.54,7.63,,26.04,0.31,,1.98,0.15,,,,,,0.31,0.0,1.05,0.06,0.25,0.38,,,44.23
Region,Samtskhe-Javakheti,Samtskhe-Javakheti,71521,49.24,19,60,63,70,,0,0.0,,,0,0.0,,,,,,0,0,0,0,212,100.0,9.98,2.83,5.77,,13.5,,,3.2,0.82,,0.2,,,,,,0.43,,0.73,,,,53.57
