shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,United National Movement,Greens Party,In the Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,People's Movement,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
Country,Georgia,Georgia,1418452,41.36,136,767,1558,1145,,0,0.0,,,0,0.0,,,,,,1,1,7,9,3637,16.67,2.24,0.94,10.2,22.38,0.63,0.15,4.71,0.73,0.05,0.22,0.26,0.03,0.8,0.0,0.18,0.31,1.21,0.06,3.44,0.34,0.16,0.04,50.72
Region,Adjara,Adjara,128825,42.72,24,121,151,47,,0,0.0,,,0,0.0,,,,,,0,0,0,0,347,16.67,1.09,0.32,10.5,20.2,0.27,,9.21,0.58,0.56,0.47,,,,,,2.83,2.28,,2.55,0.56,0.06,0.11,48.22
Region,Guria,Guria,61267,54.66,2,21,54,61,,0,0.0,,,0,0.0,,,,,,0,0,0,0,138,16.67,1.8,1.28,8.4,15.14,,,12.43,0.51,,0.27,,,,,,0.06,0.94,,3.34,0.63,0.28,,54.77
Region,Imereti,Imereti,235748,43.0,18,146,278,156,,0,0.0,,,0,0.0,,,,,,0,0,2,2,604,16.69,2.31,0.55,10.72,23.64,0.03,,2.59,1.05,,0.06,,,,,0.23,,1.55,,3.05,0.23,,,53.87
Region,Kakheti,Kakheti,137917,44.81,10,75,125,98,,0,0.0,,,0,0.0,,,,,,0,0,0,0,308,16.67,1.84,0.54,13.61,20.13,0.64,,2.68,0.89,,,,,,0.03,0.04,,0.58,,4.27,0.26,0.55,,53.78
Region,Kvemo Kartli,Kvemo Kartli,137971,35.21,18,62,114,234,,0,0.0,,,0,0.0,,,,,,0,0,1,1,433,16.67,1.29,2.14,8.55,22.93,0.25,0.28,2.4,1.22,,0.11,2.18,,,,0.1,,0.54,,3.19,,0.46,,54.06
Region,Mtskheta-Mtianeti,Mtskheta-Mtianeti,39448,45.66,6,26,36,59,,0,0.0,,,0,0.0,,,,,,0,0,0,0,129,16.67,1.22,1.8,12.7,9.47,1.93,,9.81,0.6,,,0.57,,,,,,0.22,,9.53,2.68,,,49.25
Region,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,20995,59.07,13,37,50,27,,0,0.0,,,0,0.0,,,,,,0,0,0,0,127,16.67,3.27,2.86,11.99,15.2,0.16,,1.21,0.22,,,,,,,3.03,,0.32,,3.32,0.94,,,57.43
Region,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,162409,46.89,18,70,151,131,,0,0.0,,,0,0.0,,,,,,1,1,0,2,373,16.67,2.8,0.48,9.59,28.85,0.5,,2.3,0.39,,0.05,,,,,0.44,0.01,1.09,0.54,2.35,0.45,,,49.96
Region,Samtskhe-Javakheti,Samtskhe-Javakheti,70881,48.8,16,48,64,83,,0,0.0,,,0,0.0,,,,,,0,0,0,0,212,16.67,8.21,3.43,6.67,18.01,,,3.37,1.72,,0.11,,,,,,,0.11,,2.25,,,,55.9
Region,Shida Kartli,Shida Kartli,93560,39.66,7,43,97,86,,0,0.0,,,0,0.0,,,,,,0,0,2,2,237,16.67,1.46,0.3,8.89,15.55,1.05,,3.28,0.4,,0.68,,,12.11,,,0.38,2.77,,5.22,,,,47.54
Region,Tbilisi,Tbilisi,329431,35.86,4,118,438,163,,0,0.0,,,0,0.0,,,,,,0,0,2,2,729,16.67,1.99,0.73,10.33,26.06,1.43,0.55,6.34,0.44,,0.39,0.12,0.11,,,0.16,0.09,1.17,,3.43,0.23,0.2,0.12,45.92
District,79,Batumi,46216,34.94,0,33,56,11,,0,0.0,,,0,0.0,,,,,,0,0,0,0,103,16.67,1.24,0.47,8.81,18.7,0.31,,9.84,0.66,1.57,1.3,,,,,,4.63,5.21,,2.74,1.46,0.18,0.32,42.39
District,80,Keda,9968,63.58,4,14,12,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,31,16.67,0.98,,17.21,22.22,,,3.01,0.77,,,,,,,,,,,1.26,,,,54.21
District,83,Khelvachauri,18790,40.22,2,13,21,9,,0,0.0,,,0,0.0,,,,,,0,0,0,0,45,16.67,1.11,0.52,16.22,18.59,0.32,,4.6,0.37,,,,,,,,1.71,0.73,,3.1,,,,52.58
