shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,United National Movement,Greens Party,Name of the Lord,Alliance of Patriots,Self-governance to People,Peoples Party,Reformers,Our Georgia,Future Georgia,Georgian Party,Unity Hall,Way of Georgia,Labour Party,Party of People,Merab Kostava Society,Labour Council,Georgian Dream
Country,Georgia,Georgia,530508,35.42,7,384,672,124,,0,0.0,,,0,0.0,,,,,,0,0,2,2,1204,8.28,2.24,0.03,11.36,25.9,0.95,0.26,5.68,0.42,0.22,0.41,0.83,0.07,0.72,0.63,1.41,2.25,0.03,0.07,0.08,45.96
Region,Adjara,Adjara,46307,35.01,2,35,56,7,,0,0.0,,,0,0.0,,,,,,0,0,0,0,103,7.42,1.34,,5.99,17.46,,,7.58,0.98,2.54,2.2,,,,5.88,8.16,2.4,,,,45.05
Region,Guria,Guria,7132,47.0,0,0,9,4,,0,0.0,,,0,0.0,,,,,,0,0,0,0,13,2.36,2.79,,11.89,9.27,,,21.96,0.22,,,,,,,17.39,2.52,,,,33.82
Region,Imereti,Imereti,45635,29.72,0,37,70,16,,0,0.0,,,0,0.0,,,,,,0,0,0,0,125,5.18,1.83,,13.43,26.0,,,3.62,1.32,,,,,,,,2.65,,,,50.63
Region,Kakheti,Kakheti,7649,40.71,0,5,10,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,16,1.3,9.7,,12.94,21.99,4.65,,4.48,,,,,,,,,2.35,,,,42.66
Region,Kvemo Kartli,Kvemo Kartli,36390,34.84,0,16,54,14,,0,0.0,,,0,0.0,,,,,,0,0,0,0,86,4.97,2.07,,6.28,29.16,,0.8,4.31,,,,12.04,,,,1.53,3.18,,,,40.39
Region,Mtskheta-Mtianeti,Mtskheta-Mtianeti,3711,53.52,0,3,3,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,6,1.16,,3.96,23.85,1.94,25.57,,7.14,,,,,,,,,,3.83,,,33.6
Region,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,1100,53.63,0,0,2,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,5,0.98,,,,17.18,,,,,,,,,,,,,,,,82.64
Region,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,32418,35.73,2,25,38,8,,0,0.0,,,0,0.0,,,,,,0,0,0,0,74,4.96,2.03,,9.31,25.55,,,10.98,,,,,,,,,,,,,51.23
Region,Samtskhe-Javakheti,Samtskhe-Javakheti,6053,40.74,0,5,6,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,13,1.53,,,4.36,30.91,,,,,,,,,,,4.13,,,,,60.3
Region,Shida Kartli,Shida Kartli,13498,33.38,0,1,12,19,,0,0.0,,,0,0.0,,,,,,0,0,1,1,34,3.59,3.16,,6.48,14.42,,,,,,,,,28.39,4.77,,,,,0.59,39.16
Region,Tbilisi,Tbilisi,330615,35.99,3,257,412,50,,0,0.0,,,0,0.0,,,,,,0,0,1,1,729,25.0,2.31,,12.77,27.86,1.13,0.32,5.35,0.34,,0.35,,0.11,,,0.5,2.45,,0.11,0.11,45.92
District,79,Batumi,46307,35.01,2,35,56,7,,0,0.0,,,0,0.0,,,,,,0,0,0,0,103,25.0,1.34,,5.99,17.46,,,7.58,0.98,2.54,2.2,,,,5.88,8.16,2.4,,,,45.05
District,60,Ozurgeti,7132,47.0,0,0,9,4,,0,0.0,,,0,0.0,,,,,,0,0,0,0,13,5.24,2.79,,11.89,9.27,,,21.96,0.22,,,,,,,17.39,2.52,,,,33.82
District,59,Kutaisi,45635,29.72,0,37,70,16,,0,0.0,,,0,0.0,,,,,,0,0,0,0,125,25.0,1.83,,13.43,26.0,,,3.62,1.32,,,,,,,,2.65,,,,50.63
District,17,Telavi,7649,40.71,0,5,10,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,16,7.41,9.7,,12.94,21.99,4.65,,4.48,,,,,,,,,2.35,,,,42.66
District,20,Rustavi,36390,34.84,0,16,54,14,,0,0.0,,,0,0.0,,,,,,0,0,0,0,86,25.0,2.07,,6.28,29.16,,0.8,4.31,,,,12.04,,,,1.53,3.18,,,,40.39
District,27,Mtskheta,3711,53.52,0,3,3,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,6,3.26,,3.96,23.85,1.94,25.57,,7.14,,,,,,,,,,3.83,,,33.6
District,44,Ambrolauri,1100,53.63,0,0,2,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,5,3.13,,,,17.18,,,,,,,,,,,,,,,,82.64
District,70,Poti,16863,41.48,0,7,21,4,,0,0.0,,,0,0.0,,,,,,0,0,0,0,32,25.0,,,14.07,19.05,,,21.1,,,,,,,,,,,,,45.59
District,67,Zugdidi,15555,31.06,2,18,17,4,,0,0.0,,,0,0.0,,,,,,0,0,0,0,42,9.81,4.22,,4.14,32.61,,,,,,,,,,,,,,,,57.34
District,37,Akhaltsikhe,6053,40.74,0,5,6,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,13,9.29,,,4.36,30.91,,,,,,,,,,,4.13,,,,,60.3
District,32,Gori,13498,33.38,0,1,12,19,,0,0.0,,,0,0.0,,,,,,0,0,1,1,34,7.94,3.16,,6.48,14.42,,,,,,,,,28.39,4.77,,,,,0.59,39.16
District,999,Tbilisi,330615,35.99,3,257,412,50,,0,0.0,,,0,0.0,,,,,,0,0,1,1,729,25.0,2.31,,12.77,27.86,1.13,0.32,5.35,0.34,,0.35,,0.11,,,0.5,2.45,,0.11,0.11,45.92
Precinct,1,17-1,666,47.54,,,,,3.06,,,,0,,,,0,0.88,1.11,0.79,,,,,,,9.01,,11.56,15.32,4.96,,6.31,,,,,,,,,2.55,,,,50.3
Precinct,2,17-2,591,45.64,,,,,4.21,,,,0,,,,0,0.78,0.89,0.92,,,,,,,6.43,,20.81,15.91,2.37,,8.29,,,,,,,,,1.69,,,,44.84
Precinct,3,17-3,470,52.63,,,,,2.69,,,,0,,,,0,0.68,0.78,0.48,,,,,,,5.74,,19.15,13.19,7.02,,6.6,,,,,,,,,1.49,,,,46.6
Precinct,4,17-4,597,42.98,,,,,3.86,,,,0,,,,0,0.8,0.87,0.94,,,,,,,12.23,,11.22,16.25,12.73,,9.72,,,,,,,,,2.01,,,,35.68
Precinct,5,17-5,478,42.79,,,,,4.59,,,,0,,,,0,0.65,0.65,0.83,,,,,,,13.18,,11.09,24.48,7.32,,7.11,,,,,,,,,1.46,,,,35.36
Precinct,6,17-6,471,41.24,,,,,3.09,,,,0,,,,0,0.6,0.63,0.86,,,,,,,12.95,,17.41,25.05,3.4,,1.7,,,,,,,,,1.91,,,,37.16
Precinct,7,17-7,405,33.67,,,,,3.11,,,,0,,,,0,0.55,0.6,0.58,,,,,,,10.12,,13.33,16.79,6.17,,1.98,,,,,,,,,1.73,,,,49.88
Precinct,8,17-8,490,32.78,,,,,4.85,,,,0,,,,0,0.61,0.73,0.83,,,,,,,7.55,,9.18,29.59,2.24,,1.84,,,,,,,,,3.88,,,,45.71
Precinct,9,17-9,553,38.51,,,,,2.81,,,,0,,,,0,0.79,0.72,0.9,,,,,,,7.23,,7.59,26.94,3.07,,2.35,,,,,,,,,3.07,,,,49.19
Precinct,10,17-10,409,42.47,,,,,2.39,,,,0,,,,0,0.59,0.56,0.61,,,,,,,7.58,,16.63,24.94,4.89,,1.96,,,,,,,,,1.47,,,,42.54
Precinct,11,17-11,391,41.46,,,,,2.74,,,,0,,,,0,0.55,0.52,0.62,,,,,,,18.16,,13.04,26.09,2.56,,3.84,,,,,,,,,2.05,,,,34.27
Precinct,12,17-12,723,44.99,,,,,1.5,,,,0,,,,0,0.95,0.99,1.17,,,,,,,13.14,,8.02,24.34,2.49,,3.32,,,,,,,,,1.52,,,,35.41
Precinct,13,17-13,511,34.5,,,,,4.13,,,,0,,,,0,0.67,0.77,0.79,,,,,,,4.5,,14.09,27.4,3.13,,2.15,,,,,,,,,3.72,,,,44.81
Precinct,44,17-44,254,47.65,,,,,5.93,,,,0,,,,0,0.28,0.38,0.5,,,,,,,9.45,,11.81,18.5,7.48,,5.51,,,,,,,,,2.36,,,,44.88
Precinct,45,17-45,302,31.46,,,,,3.51,,,,0,,,,0,0.49,0.37,0.47,,,,,,,10.93,,4.3,26.49,0.99,,1.32,,,,,,,,,6.29,,,,49.67
Precinct,46,17-46,338,36.38,,,,,3.43,,,,0,,,,0,0.4,0.54,0.51,,,,,,,7.4,,19.23,24.56,2.96,,4.44,,,,,,,,,1.78,,,,39.05
Precinct,1,20-1,438,41.71,,,,,3.52,,,,0,,,,0,0.62,0.75,0.44,,,,,,,0.91,,22.37,23.06,,0.68,3.88,,,,9.36,,,,0.23,3.88,,,,35.62
Precinct,2,20-2,421,42.35,,,,,2.55,,,,0,,,,0,0.69,0.56,0.54,,,,,,,2.61,,7.84,13.54,,0.48,7.6,,,,23.99,,,,1.66,1.66,,,,40.62
Precinct,3,20-3,560,40.37,,,,,6.2,,,,0,,,,0,1.43,0.57,0.45,,,,,,,1.96,,5.71,23.75,,0.54,3.75,,,,17.68,,,,0.18,2.32,,,,44.11
Precinct,4,20-4,461,32.22,,,,,3.76,,,,0,,,,0,0.73,0.68,0.56,,,,,,,0.87,,6.07,29.07,,0.65,5.64,,,,15.4,,,,1.08,2.82,,,,37.96
Precinct,5,20-5,490,39.17,,,,,6.49,,,,0,,,,0,0.81,0.76,0.57,,,,,,,2.24,,6.53,27.96,,0.82,4.49,,,,19.59,,,,3.67,2.24,,,,32.45
Precinct,6,20-6,323,43.65,,,,,4.72,,,,0,,,,0,0.59,0.47,0.32,,,,,,,0.31,,8.67,22.29,,0.62,5.57,,,,16.72,,,,1.86,2.48,,,,41.49
Precinct,7,20-7,557,38.9,,,,,3.97,,,,0,,,,0,0.78,0.79,0.87,,,,,,,2.15,,9.69,30.7,,1.97,4.13,,,,10.23,,,,1.62,3.23,,,,36.27
Precinct,8,20-8,502,39.22,,,,,3.83,,,,0,,,,0,0.86,0.7,0.59,,,,,,,3.19,,5.18,28.09,,1.59,8.76,,,,12.55,,,,2.79,1.99,,,,35.86
Precinct,9,20-9,596,42.15,,,,,4.49,,,,0,,,,0,0.97,0.86,0.74,,,,,,,2.01,,9.06,27.01,,1.01,4.03,,,,18.62,,,,3.02,2.01,,,,33.22
Precinct,10,20-10,536,38.76,,,,,5.8,,,,0,,,,0,0.85,0.77,0.75,,,,,,,2.61,,6.72,27.61,,1.31,3.36,,,,12.69,,,,1.12,4.1,,,,40.49
Precinct,11,20-11,497,41.49,,,,,4.42,,,,0,,,,0,0.69,0.8,0.64,,,,,,,0.0,,6.64,31.59,,1.21,4.43,,,,16.1,,,,4.43,2.21,,,,33.4
Precinct,12,20-12,452,33.61,,,,,3.83,,,,0,,,,0,0.77,0.66,0.49,,,,,,,1.77,,4.65,32.96,,0.44,2.21,,,,13.27,,,,3.76,3.54,,,,37.17
Precinct,13,20-13,398,28.99,,,,,3.4,,,,0,,,,0,0.61,0.52,0.61,,,,,,,2.76,,4.52,35.93,,0.75,2.76,,,,5.28,,,,9.8,5.03,,,,33.17
Precinct,14,20-14,394,33.31,,,,,4.6,,,,0,,,,0,0.64,0.37,0.82,,,,,,,2.54,,4.31,25.89,,0.25,1.02,,,,8.88,,,,28.93,1.78,,,,26.4
Precinct,15,20-15,404,30.98,,,,,4.27,,,,0,,,,0,0.63,0.6,0.51,,,,,,,0.5,,4.95,31.44,,0.5,4.21,,,,11.88,,,,9.9,2.23,,,,34.41
Precinct,16,20-16,521,33.16,,,,,4.4,,,,0,,,,0,1.19,0.48,0.64,,,,,,,0.58,,3.65,40.12,,0.77,3.26,,,,4.99,,,,0.96,3.26,,,,42.42
Precinct,17,20-17,490,33.91,,,,,4.48,,,,0,,,,0,0.78,0.71,0.63,,,,,,,0.41,,4.69,38.37,,0.2,2.24,,,,13.27,,,,0.41,2.86,,,,37.55
Precinct,18,20-18,541,35.85,,,,,3.91,,,,0,,,,0,0.83,0.68,0.89,,,,,,,0.37,,9.24,37.71,,1.11,2.22,,,,5.36,,,,2.22,1.66,,,,39.74
Precinct,19,20-19,517,36.05,,,,,2.64,,,,0,,,,0,0.85,0.75,0.56,,,,,,,2.51,,6.77,23.6,,0.97,4.64,,,,15.47,,,,0.77,2.71,,,,42.55
Precinct,20,20-20,428,32.9,,,,,4.89,,,,0,,,,0,0.73,0.63,0.47,,,,,,,2.34,,14.95,29.21,,0.23,4.44,,,,5.14,,,,1.17,1.64,,,,40.89
Precinct,21,20-21,496,35.2,,,,,2.36,,,,0,,,,0,0.71,0.73,0.66,,,,,,,6.45,,6.25,24.4,,0.81,4.84,,,,12.5,,,,1.21,1.01,,,,42.14
Precinct,22,20-22,354,35.05,,,,,6.84,,,,0,,,,0,0.62,0.52,0.41,,,,,,,3.39,,4.52,26.84,,0.56,3.95,,,,14.69,,,,0.56,2.82,,,,42.09
Precinct,23,20-23,376,33.42,,,,,4.81,,,,0,,,,0,0.58,0.59,0.44,,,,,,,0.8,,3.99,31.38,,0.53,5.32,,,,5.59,,,,0.27,2.66,,,,49.47
Precinct,24,20-24,500,34.34,,,,,3.47,,,,0,,,,0,0.95,0.57,0.66,,,,,,,1.6,,3.2,36.2,,0.6,1.8,,,,5.0,,,,0.4,3.4,,,,47.2
Precinct,25,20-25,356,31.09,,,,,5.32,,,,0,,,,0,0.68,0.46,0.42,,,,,,,1.97,,5.06,31.46,,0.28,3.37,,,,12.92,,,,1.12,3.65,,,,40.73
Precinct,26,20-26,396,36.1,,,,,5.49,,,,0,,,,0,0.76,0.45,0.56,,,,,,,1.52,,2.53,38.38,,0.76,2.53,,,,9.34,,,,0.0,5.05,,,,39.9
Precinct,27,20-27,345,31.03,,,,,2.82,,,,0,,,,0,0.57,0.5,0.38,,,,,,,0.29,,2.9,24.93,,0.87,4.64,,,,8.41,,,,0.58,5.51,,,,51.88
Precinct,28,20-28,425,34.84,,,,,4.49,,,,0,,,,0,0.67,0.63,0.52,,,,,,,1.65,,4.94,32.24,,0.71,4.71,,,,13.65,,,,1.65,3.06,,,,37.41
Precinct,29,20-29,387,32.04,,,,,1.78,,,,0,,,,0,0.67,0.45,0.55,,,,,,,2.33,,4.65,38.5,,0.78,2.84,,,,4.65,,,,0.0,4.39,,,,41.86
Precinct,30,20-30,408,29.78,,,,,3.32,,,,0,,,,0,0.72,0.53,0.5,,,,,,,4.17,,5.15,29.17,,0.98,3.43,,,,9.8,,,,0.74,5.39,,,,41.18
Precinct,31,20-31,373,35.22,,,,,4.6,,,,0,,,,0,0.55,0.51,0.59,,,,,,,6.97,,4.29,33.78,,1.88,2.95,,,,9.65,,,,0.27,3.49,,,,36.73
Precinct,32,20-32,437,32.49,,,,,3.96,,,,0,,,,0,0.77,0.51,0.64,,,,,,,0.92,,9.84,34.32,,1.14,4.35,,,,8.7,,,,0.23,3.2,,,,37.3
Precinct,33,20-33,454,30.35,,,,,2.78,,,,0,,,,0,0.78,0.58,0.59,,,,,,,1.76,,5.51,26.43,,0.44,7.05,,,,11.45,,,,1.54,4.41,,,,41.41
Precinct,34,20-34,337,27.51,,,,,3.99,,,,0,,,,0,0.56,0.47,0.42,,,,,,,0.59,,5.93,39.47,,0.3,3.86,,,,7.72,,,,0.59,5.34,,,,36.2
Precinct,35,20-35,414,31.77,,,,,2.82,,,,0,,,,0,0.7,0.54,0.53,,,,,,,1.69,,4.59,29.23,,0.72,2.66,,,,16.43,,,,2.17,3.86,,,,38.41
Precinct,36,20-36,504,37.7,,,,,2.89,,,,0,,,,0,0.77,0.76,0.59,,,,,,,1.59,,5.36,20.04,,0.2,4.96,,,,5.16,,,,0.79,2.18,,,,59.72
Precinct,37,20-37,320,32.92,,,,,5.6,,,,0,,,,0,0.6,0.41,0.41,,,,,,,1.56,,3.13,32.5,,0.63,1.88,,,,12.5,,,,0.0,4.06,,,,43.75
Precinct,38,20-38,369,39.81,,,,,3.15,,,,0,,,,0,0.62,0.53,0.41,,,,,,,2.98,,6.5,22.22,,0.27,5.69,,,,5.42,,,,0.81,3.52,,,,52.57
Precinct,39,20-39,445,32.06,,,,,4.09,,,,0,,,,0,0.79,0.54,0.63,,,,,,,4.04,,6.07,24.94,,0.67,5.39,,,,11.24,,,,0.22,3.37,,,,43.82
Precinct,40,20-40,479,37.05,,,,,2.64,,,,0,,,,0,0.72,0.69,0.63,,,,,,,0.42,,2.92,22.34,,0.21,4.18,,,,8.56,,,,0.21,3.55,,,,57.62
Precinct,41,20-41,545,40.49,,,,,4.39,,,,0,,,,0,1.07,0.66,0.64,,,,,,,0.92,,4.4,22.75,,1.28,5.14,,,,16.33,,,,0.73,2.57,,,,37.8
Precinct,42,20-42,459,36.2,,,,,3.37,,,,0,,,,0,0.84,0.61,0.51,,,,,,,1.74,,3.49,33.99,,0.0,5.66,,,,10.24,,,,0.22,3.7,,,,40.96
Precinct,43,20-43,334,30.84,,,,,2.62,,,,0,,,,0,0.56,0.46,0.4,,,,,,,0.6,,2.69,36.53,,0.6,5.69,,,,10.48,,,,0.9,1.8,,,,40.72
Precinct,44,20-44,356,41.44,,,,,3.0,,,,0,,,,0,0.56,0.46,0.52,,,,,,,0.56,,4.21,27.53,,0.28,7.3,,,,10.39,,,,0.0,2.81,,,,46.91
Precinct,45,20-45,356,29.57,,,,,4.04,,,,0,,,,0,0.69,0.4,0.48,,,,,,,1.12,,5.34,31.18,,1.12,11.24,,,,7.87,,,,1.4,3.09,,,,37.36
Precinct,46,20-46,427,32.4,,,,,2.29,,,,0,,,,0,0.58,0.67,0.54,,,,,,,2.58,,6.32,42.15,,1.17,6.79,,,,6.79,,,,0.0,3.75,,,,30.21
Precinct,47,20-47,392,30.77,,,,,5.54,,,,0,,,,0,0.68,0.62,0.36,,,,,,,2.81,,7.91,25.51,,1.02,4.34,,,,14.03,,,,0.0,2.04,,,,41.84
Precinct,48,20-48,472,32.09,,,,,3.67,,,,0,,,,0,0.84,0.56,0.67,,,,,,,2.33,,4.66,30.72,,0.42,5.08,,,,9.11,,,,1.06,3.6,,,,43.01
Precinct,49,20-49,422,37.02,,,,,5.59,,,,0,,,,0,0.79,0.54,0.53,,,,,,,4.5,,13.03,29.86,,0.24,6.87,,,,6.16,,,,0.71,2.37,,,,36.26
Precinct,50,20-50,480,35.11,,,,,3.61,,,,0,,,,0,0.81,0.61,0.67,,,,,,,1.04,,5.0,29.17,,0.21,3.96,,,,10.63,,,,0.21,4.17,,,,45.42
Precinct,51,20-51,458,37.45,,,,,1.93,,,,0,,,,0,0.79,0.59,0.56,,,,,,,1.31,,4.37,37.34,,0.44,4.37,,,,9.17,,,,0.22,1.97,,,,40.17
Precinct,52,20-52,417,34.69,,,,,3.7,,,,0,,,,0,0.75,0.57,0.45,,,,,,,1.68,,8.15,25.42,,0.96,3.84,,,,9.83,,,,0.0,1.92,,,,48.2
Precinct,53,20-53,375,30.44,,,,,2.6,,,,0,,,,0,0.63,0.49,0.47,,,,,,,2.93,,7.2,28.27,,0.53,4.53,,,,11.73,,,,1.07,4.53,,,,39.2
Precinct,54,20-54,447,33.71,,,,,4.08,,,,0,,,,0,0.88,0.53,0.52,,,,,,,2.91,,6.94,28.41,,0.45,4.03,,,,17.0,,,,0.89,1.57,,,,37.81
Precinct,55,20-55,504,35.0,,,,,5.44,,,,0,,,,0,0.94,0.68,0.57,,,,,,,2.38,,16.27,27.78,,0.6,3.17,,,,13.1,,,,0.2,2.38,,,,34.13
Precinct,56,20-56,514,38.22,,,,,6.03,,,,0,,,,0,1.0,0.59,0.73,,,,,,,2.72,,6.03,23.93,,0.58,2.92,,,,8.37,,,,1.17,4.09,,,,50.19
Precinct,57,20-57,315,36.21,,,,,3.37,,,,0,,,,0,0.55,0.47,0.3,,,,,,,2.86,,4.76,21.27,,0.63,4.13,,,,9.21,,,,0.63,3.81,,,,52.7
Precinct,58,20-58,547,41.19,,,,,2.32,,,,0,,,,0,1.1,0.6,0.63,,,,,,,1.65,,6.22,39.12,,0.37,3.29,,,,8.96,,,,0.18,2.56,,,,37.66
Precinct,59,20-59,482,34.75,,,,,3.6,,,,0,,,,0,0.9,0.54,0.68,,,,,,,3.53,,7.26,36.1,,0.41,2.7,,,,14.94,,,,1.24,4.77,,,,29.05
Precinct,60,20-60,347,33.49,,,,,5.45,,,,0,,,,0,0.81,0.44,0.23,,,,,,,6.05,,3.75,33.72,,1.15,4.03,,,,11.53,,,,0.86,3.75,,,,35.16
Precinct,61,20-61,475,36.18,,,,,3.65,,,,0,,,,0,0.84,0.6,0.62,,,,,,,1.26,,4.84,30.95,,0.21,3.37,,,,13.89,,,,1.47,3.58,,,,40.42
Precinct,62,20-62,406,33.78,,,,,4.92,,,,0,,,,0,0.75,0.58,0.41,,,,,,,0.74,,5.91,31.03,,1.23,3.69,,,,15.27,,,,0.49,2.46,,,,38.92
Precinct,63,20-63,428,32.3,,,,,4.89,,,,0,,,,0,0.59,0.66,0.61,,,,,,,2.1,,5.37,29.21,,0.23,3.27,,,,11.45,,,,0.0,2.8,,,,44.39
Precinct,64,20-64,322,28.6,,,,,3.59,,,,0,,,,0,0.64,0.31,0.49,,,,,,,2.8,,4.35,32.3,,0.0,3.73,,,,12.11,,,,0.93,3.73,,,,40.06
Precinct,65,20-65,479,33.45,,,,,2.44,,,,0,,,,0,0.6,0.66,0.82,,,,,,,1.88,,2.92,34.66,,0.84,5.01,,,,8.56,,,,2.51,7.72,,,,35.28
Precinct,66,20-66,475,33.5,,,,,4.62,,,,0,,,,0,0.71,0.64,0.75,,,,,,,1.68,,8.84,26.95,,0.63,4.0,,,,12.0,,,,0.84,3.58,,,,41.26
Precinct,67,20-67,451,35.74,,,,,3.63,,,,0,,,,0,0.88,0.52,0.56,,,,,,,1.33,,5.1,20.18,,0.44,4.21,,,,23.73,,,,1.55,1.77,,,,41.69
Precinct,68,20-68,392,33.08,,,,,4.16,,,,0,,,,0,0.77,0.49,0.43,,,,,,,4.34,,4.08,29.85,,0.77,4.34,,,,16.84,,,,0.51,1.79,,,,37.5
Precinct,69,20-69,456,33.93,,,,,5.59,,,,0,,,,0,0.76,0.72,0.46,,,,,,,1.1,,8.77,24.78,,0.22,1.32,,,,26.32,,,,0.44,2.63,,,,34.43
Precinct,70,20-70,368,28.53,,,,,3.41,,,,0,,,,0,0.64,0.5,0.43,,,,,,,0.54,,2.17,33.15,,0.82,5.16,,,,14.95,,,,1.63,3.8,,,,37.77
Precinct,71,20-71,402,40.48,,,,,3.83,,,,0,,,,0,0.91,0.42,0.4,,,,,,,1.99,,7.96,38.06,,0.25,3.48,,,,18.66,,,,1.24,2.49,,,,25.87
Precinct,72,20-72,408,33.04,,,,,3.55,,,,0,,,,0,0.79,0.56,0.37,,,,,,,3.43,,5.39,32.35,,0.98,2.21,,,,10.54,,,,0.74,3.92,,,,40.44
Precinct,73,20-73,412,35.18,,,,,3.96,,,,0,,,,0,0.69,0.6,0.47,,,,,,,2.18,,12.14,26.46,,0.97,2.91,,,,14.32,,,,0.73,8.01,,,,32.28
Precinct,74,20-74,384,37.17,,,,,3.03,,,,0,,,,0,0.55,0.5,0.63,,,,,,,1.82,,7.29,30.21,,1.82,3.65,,,,9.38,,,,1.04,5.73,,,,39.06
Precinct,75,20-75,462,33.12,,,,,4.74,,,,0,,,,0,0.75,0.72,0.5,,,,,,,1.08,,7.79,23.59,,0.87,4.98,,,,10.61,,,,3.03,2.16,,,,45.67
Precinct,76,20-76,508,37.11,,,,,3.42,,,,0,,,,0,0.74,0.72,0.73,,,,,,,3.94,,6.5,25.2,,0.79,4.72,,,,9.06,,,,0.39,2.76,,,,44.69
Precinct,77,20-77,430,32.11,,,,,4.87,,,,0,,,,0,0.72,0.58,0.58,,,,,,,3.49,,7.67,21.4,,0.47,5.81,,,,10.93,,,,0.93,2.56,,,,46.74
Precinct,78,20-78,455,35.55,,,,,3.6,,,,0,,,,0,0.64,0.73,0.56,,,,,,,2.42,,4.84,20.88,,3.74,4.4,,,,17.8,,,,0.44,1.54,,,,43.96
Precinct,79,20-79,446,34.65,,,,,4.5,,,,0,,,,0,0.65,0.63,0.67,,,,,,,5.16,,4.93,18.16,,1.57,5.83,,,,25.11,,,,2.24,2.02,,,,34.98
Precinct,80,20-80,277,34.03,,,,,3.82,,,,0,,,,0,0.51,0.36,0.32,,,,,,,1.08,,0.72,33.21,,1.08,3.61,,,,17.33,,,,0.0,2.17,,,,40.79
Precinct,81,20-81,462,35.9,,,,,3.55,,,,0,,,,0,0.78,0.68,0.5,,,,,,,0.87,,4.76,20.35,,3.03,5.19,,,,11.26,,,,0.87,3.46,,,,49.35
Precinct,82,20-82,285,36.59,,,,,5.63,,,,0,,,,0,0.53,0.39,0.32,,,,,,,1.05,,6.32,24.56,,1.05,7.37,,,,16.49,,,,0.7,4.21,,,,38.25
Precinct,83,20-83,482,36.32,,,,,4.18,,,,0,,,,0,0.84,0.66,0.57,,,,,,,1.87,,7.68,27.18,,1.04,5.19,,,,9.54,,,,0.21,3.94,,,,43.36
