shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),United Opposition,United National Movement,Greens Party,Alliance of Patriots,Georgian Party,Way of Georgia,Georgian Dream
Country,Georgia,Georgia,420429,32.88,12,436,489,70,,0,0.0,,,0,0.0,,,,,,0,0,1,1,1011,5.56,,25.2,0.29,1.55,1.41,,71.53
Region,Adjara,Adjara,33488,25.3,1,46,46,8,,0,0.0,,,0,0.0,,,,,,0,0,0,0,101,5.82,,22.02,,,,,77.95
Region,Guria,Guria,7495,49.32,0,7,6,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,13,1.88,,,,41.04,,,58.83
Region,Kakheti,Kakheti,6968,37.04,0,7,7,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,16,1.04,,29.39,,,,,70.61
Region,Kvemo Kartli,Kvemo Kartli,34552,33.14,1,47,34,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,84,3.88,,35.22,,,,,64.75
Region,Mtskheta-Mtianeti,Mtskheta-Mtianeti,3242,46.73,2,4,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,6,0.93,,,37.01,,,,62.99
Region,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,12505,30.73,1,19,10,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,32,1.72,,,,27.61,,,72.38
Region,Shida Kartli,Shida Kartli,15691,38.77,0,16,15,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,32,2.7,,,,,37.73,,62.16
Region,Tbilisi,Tbilisi,306488,33.31,7,290,371,55,,0,0.0,,,0,0.0,,,,,,0,0,1,1,727,19.95,,27.52,,,,,72.46
District,79,Batumi,33488,25.3,1,46,46,8,,0,0.0,,,0,0.0,,,,,,0,0,0,0,101,19.61,,22.02,,,,,77.95
District,60,Ozurgeti,7495,49.32,0,7,6,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,13,4.19,,,,41.04,,,58.83
District,17,Telavi,6968,37.04,0,7,7,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,16,5.93,,29.39,,,,,70.61
