region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,9 - Self-governance to People,11 - Reformers,13 - Future Georgia,14 - Georgian Party,16 - Christian Democrats,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,41 - Georgian Dream
,11,,1,,709,8,107,252,343,650,12,,,,,,,,44,1,12,90,,6,,,,,,,,,13,,165
,11,,2,,1217,4,205,452,607,1150,14,,,,,,,,43,3,69,115,,31,,,,,,,,,12,,320
,11,,3,,1150,7,207,528,603,1050,23,,,,,,,,12,4,42,158,,13,,,,,,,,,21,,330
,11,,4,,813,10,148,288,373,750,9,,,,,,,,53,6,14,35,,57,,,,,,,,,32,,167
,11,,5,,685,5,0,0,278,650,8,,,,,,,,32,5,6,42,,20,,,,,,,,,6,,159
,11,,6,,1297,7,163,393,541,1250,24,,,,,,,,22,3,34,117,,36,,,,,,,,,7,,298
,11,,7,,958,10,106,248,346,850,12,,,,,,,,8,2,23,98,,25,,,,,,,,,12,,166
,11,,8,,1164,6,151,342,516,1100,32,,,,,,,,61,14,24,138,,21,,,,,,,,,16,,209
,11,,9,,1027,10,170,362,456,950,17,,,,,,,,21,4,28,111,,30,,,,,,,,,12,,232
,11,,10,,1009,2,204,346,446,900,13,,,,,,,,9,3,24,190,,14,,,,,,,,,5,,188
,11,,11,,824,0,170,330,469,750,36,,,,,,,,19,2,10,58,,10,,,,,,,,,83,,251
,11,,12,,280,1,102,179,190,300,11,,,,,,,,0,3,5,48,,12,,,,,,,,,14,,97
,11,,13,,360,92,129,286,325,450,32,,,,,,,,11,6,6,33,,19,,,,,,,,,12,,179
,11,,14,,1290,0,180,379,533,1250,54,,,,,,,,19,4,86,96,,49,,,,,,,,,19,,206
,11,,15,,945,6,197,362,497,900,23,,,,,,,,48,1,20,97,,98,,,,,,,,,8,,202
,11,,16,,1381,3,266,590,780,1350,58,,,,,,,,35,4,28,137,,69,,,,,,,,,33,,414
,11,,17,,564,5,97,215,271,500,16,,,,,,,,9,2,18,68,,13,,,,,,,,,16,,126
,11,,18,,802,7,134,316,388,750,31,,,,,,,,29,2,29,75,,14,,,,,,,,,13,,195
,11,,19,,893,5,158,337,430,850,29,,,,,,,,21,2,23,90,,9,,,,,,,,,17,,239
,11,,20,,1178,3,208,530,756,1150,27,,,,,,,,25,2,43,168,,89,,,,,,,,,14,,388
,11,,21,,820,7,155,347,449,800,26,,,,,,,,9,0,15,108,,36,,,,,,,,,13,,244
,11,,22,,88,12,25,42,46,100,3,,,,,,,,0,0,2,18,,1,,,,,,,,,0,,22
,11,,23,,90,3,50,76,78,100,2,,,,,,,,0,0,3,27,,0,,,,,,,,,1,,45
,11,,24,,862,1,189,409,501,800,22,,,,,,,,54,1,61,56,,54,,,,,,,,,8,,242
,11,,25,,812,3,159,266,325,750,9,,,,,,,,31,3,42,66,,2,,,,,,,,,8,,162
,11,,26,,1099,7,169,308,447,1050,50,,,,,,,,12,23,27,52,,13,,,,,,,,,29,,241
,11,,27,,529,3,70,139,175,500,14,,,,,,,,13,4,9,51,,3,,,,,,,,,4,,77
,11,,28,,771,2,178,326,478,750,7,,,,,,,,2,4,23,87,,7,,,,,,,,,3,,345
,11,,29,,760,1,203,430,481,750,19,,,,,,,,12,3,109,140,,4,,,,,,,,,11,,183
