region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,14 - Georgian Party,18 - Way of Georgia,41 - Georgian Dream
,16,,1,,1326,11,206,405,576,1200,15,,,,,,,,,99,,,,,462
,16,,2,,1396,5,282,496,619,1300,13,,,,,,,,,104,,,,,502
,16,,3,,1270,9,196,454,582,1150,18,,,,,,,,,117,,,,,440
,16,,4,,1231,8,182,360,471,1150,11,,,,,,,,,104,,,,,356
,16,,5,,1386,8,223,401,517,1250,18,,,,,,,,,137,,,,,362
,16,,6,,723,1,103,275,347,700,2,,,,,,,,,99,,,,,246
,16,,7,,660,2,65,194,286,600,3,,,,,,,,,34,,,,,249
,16,,8,,1497,7,149,342,506,1400,8,,,,,,,,,107,,,,,391
,16,,9,,1553,6,125,242,411,1450,9,,,,,,,,,62,,,,,340
,16,,10,,1263,7,102,240,316,1200,6,,,,,,,,,70,,,,,240
,16,,11,,265,5,47,180,224,250,2,,,,,,,,,14,,,,,208
,16,,12,,383,8,77,152,234,300,5,,,,,,,,,15,,,,,214
,16,,13,,282,3,43,78,99,300,0,,,,,,,,,24,,,,,75
,16,,14,,800,5,105,207,286,750,2,,,,,,,,,50,,,,,234
,16,,15,,403,3,48,115,150,400,3,,,,,,,,,32,,,,,115
,16,,16,,399,4,97,164,219,400,3,,,,,,,,,36,,,,,180
,16,,17,,474,2,77,181,255,500,6,,,,,,,,,67,,,,,182
,16,,18,,771,2,177,370,457,700,6,,,,,,,,,157,,,,,294
,16,,19,,1444,5,171,373,553,1400,15,,,,,,,,,67,,,,,471
,16,,20,,1194,5,145,327,464,1150,8,,,,,,,,,72,,,,,384
,16,,21,,1464,5,160,331,436,1400,6,,,,,,,,,52,,,,,378
,16,,22,,1175,0,112,222,353,1100,8,,,,,,,,,49,,,,,296
,16,,23,,1297,6,140,320,406,1200,4,,,,,,,,,55,,,,,347
,16,,24,,1362,2,243,451,656,1300,15,,,,,,,,,207,,,,,434
,16,,25,,1196,0,177,403,552,1150,16,,,,,,,,,104,,,,,432
,16,,26,,502,1,124,220,277,500,10,,,,,,,,,64,,,,,203
,16,,27,,765,2,174,320,409,700,8,,,,,,,,,97,,,,,304
