region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,14 - Georgian Party,18 - Way of Georgia,41 - Georgian Dream
,1,,1,,1441,8,264,472,572,1300,23,,,,,,,,,148,,,,,401
,1,,2,,1233,8,202,430,511,1150,24,,,,,,,,,180,,,,,307
,1,,3,,1425,9,210,461,590,1300,17,,,,,,,,,222,,,,,351
,1,,4,,1138,9,209,395,480,1050,13,,,,,,,,,125,,,,,342
,1,,5,,1486,9,227,520,618,1400,15,,,,,,,,,196,,,,,406
,1,,6,,1451,9,187,475,613,1350,21,,,,,,,,,197,,,,,395
,1,,7,,1400,8,195,414,539,1300,17,,,,,,,,,172,,,,,350
,1,,8,,1134,9,130,310,390,1050,17,,,,,,,,,119,,,,,254
,1,,9,,1334,9,217,434,523,1200,24,,,,,,,,,210,,,,,289
,1,,10,,1575,6,235,445,581,1450,15,,,,,,,,,186,,,,,380
,1,,11,,1587,6,268,519,619,1450,23,,,,,,,,,239,,,,,357
,1,,12,,1526,4,207,493,620,1400,27,,,,,,,,,202,,,,,390
,1,,13,,1285,5,217,392,479,1200,9,,,,,,,,,117,,,,,352
,1,,14,,1143,6,181,363,456,1050,16,,,,,,,,,131,,,,,309
,1,,15,,1291,8,232,445,556,1200,18,,,,,,,,,165,,,,,373
,1,,16,,1474,9,258,491,605,1400,26,,,,,,,,,212,,,,,367
,1,,17,,1043,8,130,320,390,950,9,,,,,,,,,115,,,,,266
,1,,18,,1085,9,142,348,411,1000,8,,,,,,,,,143,,,,,260
,1,,19,,1488,7,205,418,535,1400,16,,,,,,,,,164,,,,,355
,1,,20,,1368,7,209,456,537,1250,21,,,,,,,,,222,,,,,294
,1,,21,,1416,6,193,490,590,1350,13,,,,,,,,,212,,,,,365
,1,,22,,1495,10,198,465,604,1400,17,,,,,,,,,161,,,,,426
,1,,23,,1395,8,245,512,602,1300,28,,,,,,,,,190,,,,,384
,1,,24,,1588,4,259,530,661,1500,12,,,,,,,,,263,,,,,386
,1,,25,,1061,8,140,292,376,950,23,,,,,,,,,152,,,,,201
,1,,26,,1221,7,183,400,501,1150,18,,,,,,,,,169,,,,,314
,1,,27,,1656,9,209,470,581,1500,20,,,,,,,,,160,,,,,401
,1,,28,,1341,8,227,487,594,1250,24,,,,,,,,,182,,,,,388
,1,,29,,1542,10,206,500,602,1450,16,,,,,,,,,145,,,,,441
