region,district,distr,prec,prec name,nothing,avg age,# > 99,85-99,# < 85,# no wdabceli,total voters,# of duplicates
,01,01,01.01,01.01.01,,49.0748987854,0,38,1444,0,1482,1
,01,01,01.02,01.01.02,,48.710907704,1,37,1273,0,1311,0
,01,01,01.03,01.01.03,,48.4180829368,0,42,1429,0,1471,1
,01,01,01.04,01.01.04,,47.6627417998,0,25,1164,0,1189,1
,01,01,01.05,01.01.05,,48.3369495852,0,31,1536,0,1567,1
,01,01,01.06,01.01.06,,49.1661016949,0,33,1442,0,1475,3
,01,01,01.07,01.01.07,,47.7412731006,2,32,1427,0,1461,2
,01,01,01.08,01.01.08,,47.3171155517,0,19,1132,0,1151,3
,01,01,01.09,01.01.09,,48.0159279778,1,20,1423,0,1444,0
,01,01,01.1,01.01.10,,47.2296954315,0,22,1554,0,1576,2
,01,01,01.11,01.01.11,,47.3171641791,1,25,1582,0,1608,0
,01,01,01.12,01.01.12,,48.6312056738,0,42,1509,0,1551,1
,01,01,01.13,01.01.13,,47.3108308605,0,21,1327,0,1348,3
,01,01,01.14,01.01.14,,48.7272727273,0,20,1190,0,1210,3
,01,01,01.15,01.01.15,,47.9207708779,0,20,1381,0,1401,1
,01,01,01.16,01.01.16,,48.7978863937,0,31,1483,0,1514,0
,01,01,01.17,01.01.17,,50.2268244576,0,24,990,0,1014,0
,01,01,01.18,01.01.18,,49.0798922801,0,18,1096,0,1114,0
,01,01,01.19,01.01.19,,48.1878747502,0,30,1471,0,1501,2
,01,01,01.2,01.01.20,,47.9692307692,2,22,1406,0,1430,1
,01,01,01.21,01.01.21,,49.7230014025,1,31,1394,0,1426,0
,01,01,01.22,01.01.22,,49.0977835724,0,30,1504,0,1534,1
,01,01,01.23,01.01.23,,48.5253296322,0,23,1418,0,1441,1
,01,01,01.24,01.01.24,,47.2835346472,0,28,1545,0,1573,0
,01,01,01.25,01.01.25,,48.758020165,0,21,1070,0,1091,3
,01,01,01.26,01.01.26,,47.2571810287,0,15,1482,0,1497,0
,01,01,01.27,01.01.27,,47.1370656371,1,29,1524,0,1554,1
,01,01,01.28,01.01.28,,49.0249632893,0,37,1325,0,1362,1
,01,01,01.32,01.01.32,,44.9388264669,0,24,1578,0,1602,4
,01,01,01.33,01.01.33,,48.65398956,0,26,1315,0,1341,1
,01,01,04.01,01.04.01,,47.4870170994,0,33,1546,0,1579,1
,02,02,01.29,02.01.29,,48.4573019802,0,34,1582,0,1616,1
,02,02,01.3,02.01.30,,50.4573070608,0,39,1179,0,1218,2
,02,02,01.31,02.01.31,,49.3312672176,0,41,1411,0,1452,3
,02,02,02.01,02.02.01,,48.7965970611,0,27,1266,0,1293,2
,02,02,02.02,02.02.02,,49.5166784954,1,33,1375,0,1409,0
,02,02,02.03,02.02.03,,47.9392950392,0,35,1497,0,1532,1
,02,02,02.04,02.02.04,,49.0124223602,0,40,1409,0,1449,1
,02,02,02.05,02.02.05,,49.7616968185,0,36,1567,0,1603,0
,02,02,02.06,02.02.06,,49.4298574644,0,27,1306,0,1333,2
,02,02,02.07,02.02.07,,48.7163053723,0,28,1033,0,1061,1
,02,02,02.08,02.02.08,,47.5958588957,0,27,1277,0,1304,0
,02,02,02.09,02.02.09,,48.1744,0,24,1226,0,1250,0
,02,02,02.1,02.02.10,,50.4595588235,0,36,1324,0,1360,1
,02,02,02.11,02.02.11,,49.1393442623,0,44,1298,0,1342,3
,02,02,02.12,02.02.12,,49.2175226586,1,32,1291,0,1324,0
,02,02,02.13,02.02.13,,49.2662642522,0,37,1454,0,1491,2
,02,02,02.14,02.02.14,,48.9872611465,0,33,1380,0,1413,3
,02,02,02.15,02.02.15,,50.8614840989,1,49,1365,0,1415,0
,02,02,02.16,02.02.16,,49.0928571429,0,32,1228,0,1260,4
,02,02,02.22,02.02.22,,46.8410819949,0,16,1167,0,1183,1
,02,02,02.49,02.02.49,,48.043889264,0,23,1458,0,1481,2
,02,02,02.5,02.02.50,,48.1431322208,0,41,1517,0,1558,0
,02,02,02.51,02.02.51,,46.391503268,0,25,1505,0,1530,1
,02,02,02.52,02.02.52,,49.6321934946,0,40,1159,0,1199,1
,02,02,02.66,02.02.66,,45.99767622,0,21,1270,0,1291,2
,02,02,02.67,02.02.67,,46.2352941176,1,11,1025,0,1037,1
,02,02,02.68,02.02.68,,47.3804347826,0,13,1275,0,1288,0
,02,02,02.69,02.02.69,,47.6864564007,0,14,1064,0,1078,0
,02,02,02.7,02.02.70,,47.3968410661,1,21,991,0,1013,1
,02,02,02.71,02.02.71,,44.394963552,0,6,1503,0,1509,2
,02,02,02.75,02.02.75,,47.1240478781,1,15,903,0,919,2
,02,02,02.76,02.02.76,,49.5021204411,0,32,1147,0,1179,0
,03,03,02.17,03.02.17,,44.8298397041,0,13,798,0,811,0
,03,03,02.18,03.02.18,,48.0067396799,0,9,1178,0,1187,0
,03,03,02.19,03.02.19,,45.647606383,1,7,744,0,752,2
,03,03,02.29,03.02.29,,47.2196918955,0,11,1482,0,1493,0
,03,03,02.31,03.02.31,,49.136672326,0,27,1151,0,1178,3
,03,03,02.33,03.02.33,,48.4322033898,0,17,1163,0,1180,1
,03,03,02.34,03.02.34,,48.4506939372,0,17,1352,0,1369,2
,03,03,02.35,03.02.35,,47.7848309975,0,11,1202,0,1213,0
,03,03,02.36,03.02.36,,49.4775112444,0,45,1289,0,1334,2
,03,03,02.37,03.02.37,,47.9749596123,0,37,1201,0,1238,1
,03,03,02.38,03.02.38,,48.6261808367,0,40,1442,0,1482,2
,03,03,02.39,03.02.39,,47.9368494101,0,46,1395,0,1441,1
,03,03,02.4,03.02.40,,47.9093286835,0,25,1122,0,1147,1
,03,03,02.41,03.02.41,,49.0710128056,0,8,851,0,859,0
,03,03,02.42,03.02.42,,47.4861012117,0,23,1380,0,1403,1
,03,03,02.43,03.02.43,,47.2792427316,0,18,1461,0,1479,1
,03,03,02.44,03.02.44,,48.5578078078,0,36,1296,0,1332,1
,03,03,02.45,03.02.45,,48.3145103645,0,30,1369,0,1399,1
,03,03,02.46,03.02.46,,46.6390675241,0,13,1231,0,1244,2
,03,03,02.47,03.02.47,,46.5837526959,0,14,1377,0,1391,2
,03,03,02.48,03.02.48,,49.6891615542,0,37,1430,0,1467,1
,03,03,02.53,03.02.53,,45.3906542056,0,14,1591,0,1605,3
,03,03,02.54,03.02.54,,48.637823372,0,24,1097,0,1121,3
,03,03,02.55,03.02.55,,49.2622126437,0,41,1351,0,1392,1
,03,03,02.56,03.02.56,,42.8140604468,0,6,1516,0,1522,2
,03,03,02.57,03.02.57,,46.868654311,0,19,1222,0,1241,0
,03,03,02.58,03.02.58,,46.1105598866,0,14,1397,0,1411,2
,03,03,02.6,03.02.60,,50.2678803641,0,39,1499,0,1538,0
,03,03,02.61,03.02.61,,47.2597231378,1,33,1483,0,1517,1
,03,03,02.63,03.02.63,,47.7185128983,0,33,1285,0,1318,2
,03,03,02.64,03.02.64,,47.6666666667,0,25,1535,0,1560,1
,03,03,02.72,03.02.72,,48.1576026637,0,19,882,0,901,3
,03,03,02.73,03.02.73,,45.8784165881,0,9,1052,0,1061,1
,03,03,02.74,03.02.74,,48.6088888889,0,16,884,0,900,0
,03,03,02.79,03.02.79,,43.4051020408,0,10,970,0,980,1
,04,04,03.23,04.03.23,,46.3923267327,0,33,1583,0,1616,1
,04,04,03.24,04.03.24,,46.9881967213,0,26,1499,0,1525,0
,04,04,03.25,04.03.25,,46.2608695652,0,26,1469,0,1495,2
,04,04,03.32,04.03.32,,48.4247491639,0,21,1474,0,1495,1
,04,04,03.33,04.03.33,,44.8798424163,0,10,1513,0,1523,0
,04,04,03.34,04.03.34,,47.4666666667,0,11,1429,0,1440,0
,04,04,03.36,04.03.36,,47.4965940054,0,18,1450,0,1468,3
,04,04,03.37,04.03.37,,46.4864677307,0,13,1428,0,1441,2
,04,04,03.4,04.03.40,,45.5625859697,0,12,1442,0,1454,3
,04,04,03.41,04.03.41,,44.5043290043,0,10,1376,0,1386,0
,04,04,03.42,04.03.42,,44.4657064472,0,6,1452,0,1458,4
,04,04,03.49,04.03.49,,45.7133377571,0,23,1484,0,1507,0
,04,04,03.51,04.03.51,,45.3856529736,0,17,1614,0,1631,3
,04,04,03.52,04.03.52,,44.4885017422,0,9,1426,0,1435,2
,04,04,03.53,04.03.53,,44.2638241173,0,6,1495,0,1501,0
,04,04,03.55,04.03.55,,44.8437935844,0,11,1423,0,1434,0
,04,04,03.56,04.03.56,,45.8801498127,0,12,1323,0,1335,0
,04,04,03.57,04.03.57,,46.6704204204,0,13,1319,0,1332,0
,04,04,03.58,04.03.58,,45.4821308159,0,14,1469,0,1483,0
,04,04,03.59,04.03.59,,45.9243641232,0,18,1476,0,1494,1
,04,04,03.6,04.03.60,,43.5997322624,0,11,1483,0,1494,1
,04,04,03.68,04.03.68,,45.1609276177,0,18,1405,0,1423,2
,04,04,03.7,04.03.70,,46.7498228207,0,18,1393,0,1411,1
,04,04,03.73,04.03.73,,45.4527607362,0,21,1609,0,1630,1
,04,04,03.75,04.03.75,,44.4312590449,0,11,1371,0,1382,4
,04,04,03.76,04.03.76,,45.0439783491,0,9,1469,0,1478,3
,04,04,03.84,04.03.84,,44.3551020408,0,17,1453,0,1470,4
,04,04,03.85,04.03.85,,48.0847711928,0,29,1304,0,1333,0
,04,04,03.86,04.03.86,,45.023916293,0,16,1322,0,1338,0
,04,04,03.87,04.03.87,,45.9186507937,0,14,1498,0,1512,1
,04,04,03.88,04.03.88,,46.7176759411,0,24,1198,0,1222,0
,05,05,02.2,05.02.20,,47.5174262735,0,8,365,0,373,0
,05,05,02.23,05.02.23,,48.3387533875,0,27,1449,0,1476,3
