Event, Shape Type, en: Indicator Type, en: Parent Indicator Name, en: Indicator Name, ka: Indicator Name, Visible,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color
2016 September Voters List,Country,Other,,Average age of registered voters,დარეგისტრირებულ ამომრჩეველთა საშუალო ასაკი,true,18-35,18-35,,35-45,35-45,,45-55,45-55,,55-65,55-65,,>65,>65,,,,,,,,,,,,,,,,
2016 September Voters List,Country,Other,,Number of potential voter duplications,ამომრჩეველთა შორის პოტენციური დუბლირების რაოდენობა,true,0,0,,0-1000,0-1000,,1000-2000,1000-2000,,2000-3000,2000-3000,,3000-4000,3000-4000,,4000-5000,4000-5000,,5000-6000,5000-6000,,>6000,>6000,,,,,,,
2016 September Voters List,Country,Other,,Number of voters between 85 and 99 years old,ამომრჩეველთა რაოდენობა 85 და 99 წელს შორის,true,0,0,,0-15000,0-15000,,15000-30000,15000-30000,,30000-45000,30000-45000,,45000-60000,45000-60000,,>60000,>60000,,,,,,,,,,,,,
2016 September Voters List,Country,Other,,Numbers of voters over 99 years old,ამომრჩეველთა რაოდენობა 99 წელს ზემოთ,true,0,0,,0-200,0-200,,200-500,200-500,,500-1000,500-1000,,1000-2000,1000-2000,,>2000,>2000,,,,,,,,,,,,,
2016 September Voters List,Country,Other,,Total Voters,სულ,true,0,0,,0-500000,0-500000,,500000-1000000,500000-1000000,,1000000-1500000,1000000-1500000,,1500000-2000000,1500000-2000000,,2000000-2500000,2000000-2500000,,2500000-3000000,2500000-3000000,,3000000-3500000,3000000-3500000,,3500000-4000000,3500000-4000000,,>4000000,>4000000,
2016 September Voters List,District,Other,Average age of registered voters,Average age of registered voters,დარეგისტრირებულ ამომრჩეველთა საშუალო ასაკი,true,18-35,18-35,,35-45,35-45,,45-55,45-55,,55-65,55-65,,>65,>65,,,,,,,,,,,,,,,,
2016 September Voters List,District,Other,Number of potential voter duplications,Number of potential voter duplications,ამომრჩეველთა შორის პოტენციური დუბლირების რაოდენობა,true,0,0,,0-20,0-20,,20-50,20-50,,50-100,50-100,,100-200,100-200,,200-300,200-300,,>300,>300,,,,,,,,,,
2016 September Voters List,District,Other,Number of voters between 85 and 99 years old,Number of voters between 85 and 99 years old,ამომრჩეველთა რაოდენობა 85 და 99 წელს შორის,true,0,0,,0-250,0-250,,250-500,250-500,,500-750,500-750,,750-1000,750-1000,,>1000,>1000,,,,,,,,,,,,,
2016 September Voters List,District,Other,Numbers of voters over 99 years old,Numbers of voters over 99 years old,ამომრჩეველთა რაოდენობა 99 წელს ზემოთ,true,0,0,,0-5,0-5,,5-10,5-10,,10-20,10-20,,>20,>20,,,,,,,,,,,,,,,,
2016 September Voters List,District,Other,Total Voters,Total Voters,სულ,true,0-10000,0-10000,,10000-20000,10000-20000,,20000-30000,20000-30000,,30000-40000,30000-40000,,40000-50000,40000-50000,,50000-75000,50000-75000,,75000-100000,75000-100000,,100000-125000,100000-125000,,125000-150000,125000-150000,,>150000,>150000,
2016 September Voters List,Precinct,Other,Average age of registered voters,Average age of registered voters,დარეგისტრირებულ ამომრჩეველთა საშუალო ასაკი,true,18-35,18-35,,35-45,35-45,,45-55,45-55,,55-65,55-65,,>65,>65,,,,,,,,,,,,,,,,
2016 September Voters List,Precinct,Other,Number of potential voter duplications,Number of potential voter duplications,ამომრჩეველთა შორის პოტენციური დუბლირების რაოდენობა,true,0,0,,0-5,0-5,,5-10,5-10,,10-20,10-20,,20-30,20-30,,>30,>30,,,,,,,,,,,,,
2016 September Voters List,Precinct,Other,Number of voters between 85 and 99 years old,Number of voters between 85 and 99 years old,ამომრჩეველთა რაოდენობა 85 და 99 წელს შორის,true,0,0,,0-5,0-5,,5-10,5-10,,10-20,10-20,,20-30,20-30,,>30,>30,,,,,,,,,,,,,
2016 September Voters List,Precinct,Other,Numbers of voters over 99 years old,Numbers of voters over 99 years old,ამომრჩეველთა რაოდენობა 99 წელს ზემოთ,true,0,0,,0-2,0-2,,2-5,2-5,,>5,>5,,,,,,,,,,,,,,,,,,,
2016 September Voters List,Precinct,Other,Total Voters,Total Voters,სულ,true,0,0,,0-500,0-500,,500-1000,500-1000,,1000-1500,1000-1500,,1500-2000,1500-2000,,>2000,>2000,,,,,,,,,,,,,
