shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),State for the People,Progressive Democratic Movement,Democratic Movement,Georgian Group,United National Movement,Republican Party,For United Georgia,Alliance of Patriots,Labour,Communist Party - Stalin,Georgia for Peace,Socialist Workers Party,United Communist Party,Georgia,Georgian Idea,Industrialists - Our Homeland,Merab Kostava Society,Ours - People's Party,Leftist Alliance,National Forum,Free Democrats,In the Name of the Lord,Georgian Dream,Initiative Group
Country,Georgia,Georgia,1703714,49.63,121,816,1657,898,,2083,59.6,6.2,,55,1.57,46.47,,,,,1,0,6,7,3495,50.0,3.57,0.09,2.17,0.1,25.81,1.28,0.3,5.44,1.53,0.13,0.15,0.02,0.05,0.09,0.14,1.11,0.01,0.17,0.06,1.28,4.69,0.06,46.56,4.59
District,01,01,23464,53.53,0,0,18,13,,27,87.1,6.04,,0,0.0,,,,,,0,0,0,0,31,50.0,2.63,0.0,4.27,0.0,26.73,3.97,0.41,5.22,0.0,0.0,3.07,0.0,0.0,0.3,0.63,0.0,0.0,0.14,0.0,0.53,6.64,0.0,0.0,44.76
District,02,02,24014,58.3,0,2,19,10,,28,90.32,8.11,,1,3.23,1.0,,,,,0,0,0,0,31,50.0,0.0,0.0,1.98,0.0,22.14,0.0,0.0,6.3,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.97,0.0,1.49,14.07,0.0,48.56,2.41
District,03,03,24511,54.81,0,8,23,4,,32,91.43,5.06,,0,0.0,,,,,,0,0,0,0,35,50.0,2.37,0.11,2.75,0.0,19.22,7.23,0.22,6.73,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,7.9,0.37,49.99,0.0
District,04,04,22855,50.2,0,2,26,3,,25,80.65,6.88,,1,3.23,5.0,,,,,0,0,0,0,31,50.0,0.0,0.0,0.0,5.56,20.7,3.39,0.2,4.29,2.2,0.0,0.0,0.0,0.0,0.21,0.0,0.84,0.0,0.18,0.0,1.33,8.12,0.0,49.42,2.82
District,05,05,23989,56.08,0,5,21,6,,28,87.5,11.5,,0,0.0,,,,,,0,0,0,0,32,50.0,0.0,0.0,2.53,0.0,18.31,5.66,0.24,5.29,0.0,0.0,0.6,0.0,0.0,0.0,0.53,0.0,0.0,0.37,0.2,3.63,9.93,0.4,50.97,0.0
District,06,06,25806,58.43,1,8,22,1,,23,71.88,30.91,,0,0.0,,,,,,0,0,1,1,32,50.0,2.17,0.0,2.3,0.0,16.72,11.38,0.47,4.44,1.33,0.0,0.0,0.0,0.0,0.26,3.52,0.0,0.0,0.34,0.0,0.57,7.31,0.0,45.6,0.81
District,07,07,22326,47.17,0,4,23,9,,32,88.89,7.94,,1,2.78,1.0,,,,,0,0,1,1,36,50.0,3.2,0.0,2.52,0.0,28.6,0.0,0.32,7.99,2.43,0.17,0.36,0.0,0.0,0.22,0.29,0.0,0.0,1.26,0.1,0.0,2.91,0.0,47.69,0.81
District,08,08,18928,43.19,1,0,20,11,,24,75.0,6.08,,1,3.13,2.0,,,,,0,0,0,0,32,50.0,3.11,0.0,0.0,0.0,24.4,0.0,0.29,8.61,2.84,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.43,0.71,0.8,7.41,0.0,41.99,8.5
District,09,09,17305,39.99,0,0,17,13,,25,83.33,8.96,,0,0.0,,,,,,0,0,0,0,30,50.0,0.0,0.46,4.33,0.0,27.25,0.0,0.57,5.11,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,3.46,0.0,0.58,5.62,0.0,47.13,0.0
District,10,10,19752,45.3,0,4,19,9,,21,65.63,36.24,,2,6.25,58.0,,,,,0,0,1,1,32,50.0,4.15,0.42,4.0,0.0,25.71,3.86,0.63,4.85,0.0,0.25,0.0,0.39,0.0,0.0,0.0,0.58,0.0,0.18,0.0,0.0,6.06,0.0,43.7,1.95
District,11,11,19757,44.39,0,5,28,4,,20,54.05,3.3,,0,0.0,,,,,,0,0,0,0,37,50.0,7.75,0.0,3.27,0.0,24.22,0.0,0.19,5.31,3.48,0.29,0.58,0.0,0.0,0.0,0.34,0.0,0.0,0.21,0.0,0.7,6.15,0.0,47.16,0.0
District,12,12,18343,40.43,0,2,18,14,,22,64.71,18.91,,1,2.94,26.0,,,,,0,0,1,1,34,50.0,2.4,0.0,0.0,0.0,27.2,1.71,0.33,5.6,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.73,0.0,0.38,4.85,0.0,41.67,8.62
District,13,13,17441,40.36,0,1,23,12,,21,58.33,2.95,,0,0.0,,,,,,0,0,0,0,36,50.0,2.78,0.25,3.35,0.0,25.33,0.0,0.49,8.84,5.95,0.0,0.34,0.0,0.0,0.18,0.33,0.0,0.0,0.13,0.0,0.78,5.27,0.0,45.65,0.0
District,14,14,21167,49.01,0,0,13,18,,27,87.1,3.74,,0,0.0,,,,,,0,0,0,0,31,50.0,0.0,0.92,3.82,0.0,23.5,0.0,0.52,5.46,0.0,0.39,0.0,0.0,0.0,0.23,0.31,1.09,0.0,0.0,0.0,0.0,6.07,0.27,56.96,0.0
District,15,15,22127,51.72,0,5,26,2,,28,84.85,4.64,,0,0.0,,,,,,0,0,0,0,33,50.0,2.69,0.0,3.93,0.0,19.7,4.71,0.72,4.59,1.83,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.44,0.16,1.49,11.15,0.0,46.67,1.12
District,16,16,23095,52.04,0,3,22,9,,29,85.29,5.38,,0,0.0,,,,,,0,0,0,0,34,50.0,3.45,0.0,3.85,0.0,20.74,0.0,0.0,8.06,2.38,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.23,2.03,8.3,0.0,46.85,3.25
District,17,17,21104,46.92,1,6,22,3,,28,87.5,4.46,,0,0.0,,,,,,0,0,0,0,32,50.0,3.65,0.19,2.27,0.0,19.73,0.0,0.47,12.62,2.71,0.3,0.0,0.11,0.0,0.0,0.0,1.08,0.0,0.09,0.0,1.41,3.54,0.42,44.57,6.24
District,18,18,20672,46.04,0,3,20,9,,27,84.38,9.0,,0,0.0,,,,,,0,0,0,0,32,50.0,2.85,0.0,5.22,0.0,24.73,0.0,1.4,6.15,3.59,0.0,0.28,0.0,0.0,0.18,0.0,0.61,0.0,0.25,0.0,0.0,5.66,0.0,46.8,1.1
District,19,19,20924,45.63,0,0,10,23,,30,90.91,3.83,,0,0.0,,,,,,0,0,0,0,33,50.0,5.48,0.0,0.0,0.0,26.07,0.0,1.95,0.0,4.33,0.0,0.0,0.0,0.0,0.29,0.0,5.79,0.0,0.35,0.0,1.58,7.52,0.35,45.72,0.0
District,20,20,19320,43.52,0,8,18,9,,32,91.43,6.53,,0,0.0,,,,,,0,0,0,0,35,50.0,2.91,0.17,2.87,0.0,24.34,0.0,1.09,7.65,3.87,0.16,0.0,0.0,0.0,0.09,0.0,8.25,0.0,0.49,0.35,1.81,5.16,0.0,39.71,0.0
District,21,21,20118,43.25,0,0,9,25,,31,91.18,6.45,,0,0.0,,,,,,0,0,0,0,34,50.0,0.0,0.0,0.0,0.0,30.11,0.0,0.44,6.59,4.77,0.45,0.0,0.31,0.0,0.26,0.0,0.0,0.0,0.0,0.0,1.16,6.17,0.0,48.74,0.0
District,22,22,21168,45.37,0,1,26,9,,33,91.67,5.82,,0,0.0,,,,,,0,0,0,0,36,50.0,0.0,0.35,4.45,1.95,25.38,0.0,0.52,9.46,3.71,0.21,0.42,0.0,0.0,0.19,0.0,0.0,0.0,0.14,0.0,1.37,6.61,0.0,44.34,0.0
District,23,23,20392,44.25,3,6,23,18,,24,48.0,6.42,,1,2.0,2.0,,,,,0,0,0,0,50,50.0,3.18,0.0,1.05,0.0,24.71,0.0,0.0,19.25,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42,4.21
District,24,24,29588,56.89,1,25,20,4,,26,52.0,2.38,,1,2.0,1.0,,,,,0,0,0,0,50,50.0,2.78,0.0,2.45,0.0,32.37,1.86,0.44,5.94,2.01,0.18,0.43,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.45,0.0,0.0,43.86,5.73
District,25,25,28611,54.9,0,31,25,1,,38,66.67,4.53,,0,0.0,,,,,,0,0,0,0,57,50.0,2.31,0.0,3.14,0.0,27.1,1.82,0.0,5.1,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.91,1.86,0.15,54.36,0.0
District,26,26,28050,53.63,1,11,29,12,,28,52.83,4.0,,0,0.0,,,,,,0,0,0,0,53,50.0,2.17,0.0,6.28,0.0,23.48,0.0,0.16,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.35,15.28,0.0,36.93,11.96
District,27,27,28134,54.16,0,14,30,3,,17,36.17,4.29,,4,8.51,1.0,,,,,0,0,0,0,47,50.0,5.67,0.0,1.96,0.0,35.3,0.0,0.0,4.9,2.49,0.34,0.41,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,2.83,3.17,0.0,41.52,0.0
District,28,28,25433,49.84,4,20,16,10,,35,70.0,4.6,,0,0.0,,,,,,0,0,0,0,50,50.0,6.8,0.0,4.23,0.0,32.12,0.9,0.33,2.22,3.41,0.0,0.0,0.0,0.0,0.13,0.0,1.13,0.0,0.0,0.0,0.0,1.16,0.0,46.94,0.0
District,29,29,24976,46.47,1,2,19,19,,33,80.49,10.27,,0,0.0,,,,,,0,0,0,0,41,50.0,4.48,0.25,3.04,0.0,31.45,0.0,0.23,6.75,0.0,0.7,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.3,0.0,1.81,4.84,0.28,44.34,0.0
District,30,30,22414,45.36,0,0,16,23,,32,82.05,8.22,,2,5.13,13.0,,,,,0,0,0,0,39,50.0,3.6,0.0,0.0,0.0,33.45,0.0,0.0,7.07,5.69,0.62,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.17,0.75,0.0,0.49,46.73,0.0
District,31,31,15540,36.57,0,2,22,11,,29,82.86,6.93,,1,2.86,21.0,,,,,0,0,0,0,35,50.0,0.0,0.0,1.53,0.0,31.88,1.12,0.57,7.7,4.32,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.43,0.0,1.9,0.08,49.13,0.0
District,32,32,19536,46.89,3,10,26,19,,35,60.34,6.2,,1,1.72,1.0,,,,,0,0,0,0,58,50.0,2.4,0.16,2.93,0.0,27.24,0.0,0.6,9.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,53.66,0.0
District,33,33,20277,41.06,2,11,12,31,,37,66.07,4.84,,1,1.79,40.0,,,,,0,0,0,0,56,50.0,2.05,0.0,0.0,0.0,40.32,0.0,1.94,1.94,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.44,51.23,0.0
District,34,34,21475,44.15,11,29,26,32,,31,31.31,2.65,,7,7.07,88.86,,,,,0,0,0,0,99,50.0,1.23,0.17,2.64,0.0,23.08,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,3.42,0.0,68.11,0.0
District,35,35,21470,42.14,3,7,16,17,,23,53.49,30.83,,2,4.65,11.5,,,,,0,0,1,1,43,50.0,1.84,0.0,0.51,0.0,35.42,0.0,0.13,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.1,0.08,0.0,0.0,0.39,0.0,54.53,0.0
District,36,36,20371,42.59,2,9,13,21,,20,43.48,4.7,,4,8.7,104.5,,,,,1,0,0,1,46,50.0,5.36,0.0,1.82,0.0,48.38,0.0,0.21,0.98,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,44.36,0.0
District,37,37,24925,57.39,0,10,22,12,,29,65.91,7.45,,0,0.0,,,,,,0,0,0,0,44,50.0,0.0,0.35,0.0,0.0,6.21,0.0,0.0,7.66,2.29,0.3,1.04,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,41.19,39.68
