shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),United National Movement,Industrialists - Our Homeland,Free Democrats,Georgian Dream,Initiative Group
Country,Georgia,Georgia,888358,36.81,183,1500,410,58,,296,13.76,14.86,,14,0.65,5.0,,,,,0,1,1,2,2151,50.0,23.9,1.4,0.9,69.78,3.53
District,01,01,16816,38.35,0,26,5,0,,5,16.13,1.4,,0,0.0,,,,,,0,0,0,0,31,50.0,32.4,0.0,0.0,0.0,67.55
District,02,02,16253,39.53,3,25,3,0,,3,9.68,1.33,,0,0.0,,,,,,0,0,0,0,31,50.0,24.49,0.0,0.0,75.49,0.0
District,06,06,16014,36.25,0,25,7,0,,2,6.25,2.0,,0,0.0,,,,,,0,0,0,0,32,50.0,20.73,0.0,0.0,79.25,0.0
District,07,07,17158,36.25,3,30,3,0,,4,11.11,2.75,,0,0.0,,,,,,0,0,0,0,36,50.0,27.08,0.0,0.0,72.86,0.0
District,08,08,12399,28.28,1,21,10,0,,5,15.63,1.6,,0,0.0,,,,,,0,0,0,0,32,50.0,24.99,0.0,0.0,74.95,0.0
District,09,09,11961,26.72,1,15,14,1,,3,9.68,1.67,,0,0.0,,,,,,0,0,0,0,31,50.0,25.38,0.0,0.0,74.58,0.0
District,10,10,13041,28.96,1,28,4,0,,2,6.06,2.5,,1,3.03,5.0,,,,,0,0,0,0,33,50.0,26.4,0.0,0.0,73.6,0.0
District,11,11,13333,28.26,4,29,6,0,,4,10.26,1.0,,0,0.0,,,,,,0,0,0,0,39,50.0,26.63,0.0,0.0,73.34,0.0
District,12,12,11941,26.31,6,26,2,0,,3,8.82,1.33,,0,0.0,,,,,,0,0,0,0,34,50.0,29.59,0.0,0.0,70.38,0.0
