shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),State for the People,Progressive Democratic Movement,Democratic Movement,Georgian Group,United National Movement,Republican Party,For United Georgia,Alliance of Patriots,Labour,People's Government,Communist Party - Stalin,Georgia for Peace,Socialist Workers Party,United Communist Party,Georgia,Georgian Idea,Industrialists - Our Homeland,Merab Kostava Society,Ours - People's Party,Leftist Alliance,National Forum,Free Democrats,In the Name of the Lord,Our Georgia,Georgian Dream
Country,Georgia,Georgia,1753522,50.24,187,1406,1556,519,,908,24.75,4.18,,125,3.41,14.22,,,,,4,1,9,14,3668,33.33,3.46,0.08,3.53,0.14,27.03,1.55,0.17,4.99,3.12,0.05,0.1,0.22,0.05,0.08,0.09,0.17,0.78,0.06,0.09,0.04,0.72,4.61,0.09,0.05,48.62
District,00,00,4713,163.42,27,18,3,9,,4,7.02,3.75,,2,3.51,1.5,,,,,1,0,1,2,57,33.33,1.91,0.19,1.27,0.13,33.72,3.76,0.74,1.87,3.73,0.06,0.04,0.53,0.0,0.04,0.19,0.74,0.17,0.15,0.08,0.04,0.21,10.4,0.17,0.08,39.51
District,01,01,23147,54.61,0,11,19,0,,11,36.67,5.0,,3,10.0,90.33,,,,,0,0,0,0,30,33.33,2.26,0.08,3.75,0.13,23.28,3.49,0.21,5.4,2.01,0.08,0.15,1.07,1.15,0.07,0.11,0.35,0.72,0.13,0.13,0.05,0.67,7.21,0.14,0.09,48.22
District,02,02,25177,59.22,0,16,15,1,,16,50.0,8.88,,2,6.25,7.0,,,,,0,0,0,0,32,33.33,1.89,0.05,3.11,0.18,17.91,4.26,0.22,5.04,1.6,0.04,0.1,0.3,0.03,0.03,0.06,0.18,0.52,0.06,0.13,0.09,0.83,7.85,0.17,0.04,54.82
District,03,03,24712,55.26,0,22,12,1,,9,25.71,1.78,,3,8.57,3.33,,,,,0,0,0,0,35,33.33,2.55,0.06,3.77,0.13,19.83,3.78,0.2,5.94,2.27,0.05,0.09,0.43,0.03,0.06,0.07,0.21,0.43,0.11,0.06,0.12,0.75,7.75,0.14,0.05,51.1
District,04,04,22495,50.99,0,12,16,2,,12,40.0,4.42,,3,10.0,2.67,,,,,0,0,0,0,30,33.33,2.28,0.04,3.47,0.94,19.79,2.55,0.14,5.98,2.97,0.05,0.08,0.24,0.02,0.04,0.12,0.25,0.82,0.05,0.05,0.14,0.83,6.89,0.08,0.03,51.93
District,05,05,25005,57.06,0,21,12,0,,9,27.27,2.89,,1,3.03,1.0,,,,,0,0,0,0,33,33.33,2.24,0.02,3.44,0.24,19.05,4.23,0.15,5.02,1.78,0.02,0.11,0.47,0.03,0.03,0.08,0.23,0.53,0.12,0.1,0.1,1.04,8.14,0.16,0.02,52.57
District,06,06,26005,58.88,2,16,14,0,,14,43.75,44.57,,1,3.13,1.0,,,,,0,0,1,1,32,33.33,2.29,0.06,3.38,0.2,17.88,4.23,0.2,5.11,1.7,0.01,0.1,0.37,0.02,0.05,0.14,0.63,0.48,0.04,0.1,0.03,0.77,7.33,0.08,0.03,52.37
District,07,07,22561,47.67,0,14,19,3,,14,38.89,4.21,,3,8.33,1.33,,,,,0,0,1,1,36,33.33,3.09,0.06,3.18,0.09,27.8,1.4,0.18,5.48,3.21,0.04,0.08,0.35,0.06,0.03,0.1,0.26,0.26,0.02,0.43,0.03,0.31,3.76,0.08,0.08,49.37
District,08,08,19790,43.79,1,7,23,2,,13,39.39,4.92,,1,3.03,3.0,,,,,0,0,0,0,33,33.33,3.56,0.05,4.24,0.16,25.66,1.74,0.13,7.31,3.95,0.05,0.13,0.27,0.07,0.09,0.09,0.15,0.4,0.08,0.08,0.11,0.51,7.42,0.14,0.04,43.27
