shape,common_id,common_name,Average age of registered voters,Numbers of voters over 99 years old,Number of voters between 85 and 99 years old,Total Voters,Number of potential voter duplications
Country,Georgia,Georgia,47.15,451,59895,3510514,3645
District,01,01,48.18,9,849,43818,38
District,02,02,48.41,6,932,42390,39
District,03,03,47.52,2,786,44466,44
District,04,04,45.75,0,497,45146,39
District,05,05,48.18,5,1023,43730,55
District,06,06,48.5,5,941,44088,40
District,07,07,46.54,6,651,47290,39
District,08,08,46.25,5,475,45198,41
District,09,09,46.59,1,702,44694,27
District,10,10,46.46,6,689,44935,52
District,11,11,45.44,2,411,46871,45
District,12,12,45.8,2,558,45205,45
District,13,13,45.7,6,510,44442,37
District,14,14,46.9,3,680,44507,63
District,15,15,47.9,3,814,44235,54
District,16,16,47.28,3,725,44263,47
District,17,17,45.96,3,615,44908,44
District,18,18,46.15,2,552,44871,48
District,19,19,46.45,0,638,45694,43
District,20,20,45.7,2,477,45680,52
District,21,21,45.99,2,447,46450,41
District,22,22,45.8,1,373,46557,47
District,23,23,45.89,9,818,45997,20
District,24,24,48.64,3,1196,53343,36
District,25,25,48.57,7,1405,52752,48
District,26,26,46.13,6,876,52384,62
District,27,27,47.44,3,899,51918,38
District,28,28,47.12,6,982,51053,20
District,29,29,46.03,6,990,55209,65
District,30,30,44.7,3,258,53401,60
District,31,31,44.84,5,521,42502,31
District,32,32,48.72,19,1168,42356,30
District,33,33,45.09,14,865,51381,51
District,34,34,48.92,28,1616,48711,37
District,35,35,43.16,19,503,51044,49
District,36,36,44.93,13,681,48000,28
District,37,37,46.42,3,664,44520,30
District,38,38,49.28,19,1041,42429,38
District,39,39,47.84,5,839,42453,21
District,40,40,46.3,7,658,46402,48
District,41,41,45.69,0,619,50399,44
District,42,42,46.29,6,845,49910,33
District,43,43,46.69,3,786,49941,108
District,44,44,46.78,5,1089,50252,61
District,45,45,46.5,4,927,44022,63
District,46,46,45.37,5,1098,51940,5
District,47,47,46.98,1,701,53038,48
District,48,48,47.31,2,848,54139,55
District,49,49,45.36,1,419,54564,54
