region,distr,district id,prec,precinct id,avg age,# > 99,85-99,# < 85,# no wdabceli,total voters,# of duplicates
,,01,01,,49.321958457,0,34,1314,0,1348,0
,,01,02,,48.6608,0,31,1219,0,1250,0
,,01,03,,49.1765105227,0,43,1430,0,1473,2
,,01,04,,47.8449744463,0,22,1152,0,1174,1
,,01,05,,48.8038692462,0,31,1468,0,1499,0
,,01,06,,49.3885832187,0,37,1417,0,1454,4
,,01,07,,47.9712437096,2,26,1363,0,1391,2
,,01,08,,47.7859680284,0,20,1106,0,1126,1
,,01,09,,48.6197183099,1,19,1400,0,1420,0
,,01,10,,47.7188940092,0,20,1499,0,1519,2
,,01,11,,47.5499034127,1,21,1531,0,1553,0
,,01,12,,48.7408136483,0,35,1489,0,1524,1
,,01,13,,47.7291507269,0,20,1287,0,1307,3
,,01,14,,49.2322193659,1,18,1148,0,1167,3
,,01,15,,48.2913907285,0,20,1339,0,1359,1
,,01,16,,49.0413279133,0,38,1438,0,1476,0
,,01,17,,50.7604912999,0,26,951,0,977,0
,,01,18,,49.4601283226,0,13,1078,0,1091,0
,,01,19,,48.2546712803,0,22,1423,0,1445,2
,,01,20,,48.7694610778,1,28,1307,0,1336,1
,,01,21,,50.0757679181,0,31,1434,0,1465,0
,,01,22,,49.2337662338,0,29,1511,0,1540,1
,,01,23,,48.7948360084,0,24,1409,0,1433,1
,,01,24,,47.4314544189,0,30,1407,0,1437,0
,,01,25,,49.0630942092,0,27,1130,0,1157,3
,,01,26,,47.5613915416,0,16,1450,0,1466,0
,,01,27,,47.6303501946,1,30,1511,0,1542,1
,,01,28,,49.2435614422,0,36,1323,0,1359,1
,,01,29,,48.3145917001,0,31,1463,0,1494,0
,,01,30,,50.4172284644,0,43,1292,0,1335,2
,,01,31,,49.7859135286,0,45,1389,0,1434,3
,,01,32,,45.3149905123,0,24,1557,0,1581,3
,,01,33,,48.8371924747,0,28,1354,0,1382,1
,,01,35,,49.5236250968,0,39,1252,0,1291,0
,,01,36,,52.1758957655,0,8,299,0,307,0
,,01,37,,45.6800976801,0,22,1616,0,1638,3
,,01,38,,47.3465045593,0,18,969,0,987,0
,,01,39,,44.5375096674,0,14,1279,0,1293,2
,,02,01,,48.6911871814,0,27,1346,0,1373,2
,,02,02,,49.5830258303,1,38,1316,0,1355,1
,,02,03,,48.3514442916,0,32,1422,0,1454,1
,,02,04,,49.3175723359,0,42,1375,0,1417,2
,,02,05,,49.9488859764,0,37,1489,0,1526,0
,,02,06,,49.7767584098,0,30,1278,0,1308,2
,,02,07,,49.0333660451,0,26,993,0,1019,1
,,02,08,,47.8238993711,0,27,1245,0,1272,0
,,02,09,,48.7017255546,0,23,1194,0,1217,0
,,02,10,,50.5282012195,0,35,1277,0,1312,1
,,02,11,,49.3240740741,0,41,1255,0,1296,3
,,02,12,,49.2254831782,0,41,1356,0,1397,0
,,02,13,,49.6544467074,0,37,1436,0,1473,2
,,02,14,,48.6323924731,0,31,1457,0,1488,3
,,02,15,,50.2963483146,0,47,1377,0,1424,1
,,02,16,,49.2329218107,0,33,1182,0,1215,2
,,02,17,,45.6936466493,0,17,1132,0,1149,0
,,02,18,,47.7297677692,0,14,1407,0,1421,0
,,02,19,,45.8113456464,1,8,749,0,758,2
,,02,20,,47.8657894737,0,8,372,0,380,0
,,02,22,,47.0716228468,0,16,1087,0,1103,1
,,02,23,,48.4258373206,0,29,1434,0,1463,3
,,02,24,,48.8534161491,0,22,1588,0,1610,4
,,02,25,,48.2016806723,0,21,1407,0,1428,1
,,02,26,,50.6635182999,0,35,812,0,847,1
,,02,27,,49.131147541,0,38,1304,0,1342,1
,,02,28,,49.6972612879,0,46,1305,0,1351,2
,,02,29,,46.9572192513,0,10,1299,0,1309,0
,,02,30,,47.7386276022,0,27,1270,0,1297,2
,,02,31,,49.4460616438,0,31,1137,0,1168,3
,,02,32,,47.536159601,0,30,1173,0,1203,1
,,02,33,,47.5981697171,0,17,1185,0,1202,1
,,02,34,,48.5320895522,0,20,1320,0,1340,2
,,02,35,,48.5270150576,0,13,1116,0,1129,0
,,02,36,,49.6393442623,0,41,1240,0,1281,2
,,02,37,,48.7282442748,0,36,1274,0,1310,1
,,02,38,,49.0008064516,0,34,1206,0,1240,1
,,02,39,,47.1447534766,0,41,1541,0,1582,2
,,02,40,,47.4019886364,0,30,1378,0,1408,1
,,02,41,,49.8798283262,0,12,920,0,932,0
,,02,42,,47.9370786517,0,19,1316,0,1335,1
,,02,43,,47.555401662,0,22,1422,0,1444,1
,,02,44,,49.2870309414,0,50,1469,0,1519,2
,,02,45,,48.7639612807,0,33,1310,0,1343,1
,,02,46,,47.0943238731,0,13,1185,0,1198,2
,,02,47,,46.9648241206,0,16,1377,0,1393,2
,,02,48,,50.6723404255,0,34,1141,0,1175,1
,,02,49,,48.2342158859,0,25,1448,0,1473,2
,,02,50,,48.2100139082,0,30,1408,0,1438,0
,,02,51,,46.4595300261,0,26,1506,0,1532,1
,,02,52,,49.6395147314,0,34,1120,0,1154,2
,,02,53,,45.6384408602,0,14,1474,0,1488,1
,,02,54,,48.7844748858,0,33,1062,0,1095,3
,,02,55,,49.3546686747,0,40,1288,0,1328,2
,,02,56,,42.6293385724,0,10,1517,0,1527,2
,,02,57,,46.9550374688,0,16,1185,0,1201,0
,,02,58,,46.6161403509,0,13,1412,0,1425,2
,,02,59,,49.7045619117,0,25,1356,0,1381,2
,,02,60,,50.4296197465,0,34,1465,0,1499,0
,,02,61,,47.3410799727,0,27,1436,0,1463,2
,,02,62,,47.848615917,0,25,1131,0,1156,0
,,02,63,,47.825,0,30,1210,0,1240,2
,,02,64,,49.2316865417,0,21,1153,0,1174,1
,,02,65,,43.5590994371,0,8,1058,0,1066,2
,,02,66,,46.4837712519,0,17,1277,0,1294,3
,,02,67,,46.6232876712,1,13,1008,0,1022,1
,,02,68,,47.7216257669,0,17,1287,0,1304,0
,,02,69,,48.055353902,0,16,1086,0,1102,0
,,02,70,,47.8849646821,1,18,972,0,991,1
,,02,71,,44.6764705882,0,7,1387,0,1394,1
,,02,72,,48.7103448276,0,16,854,0,870,3
,,02,73,,46.4511848341,0,11,1044,0,1055,1
,,02,74,,49.2594285714,0,18,857,0,875,0
,,02,75,,47.2429501085,0,14,908,0,922,2
,,02,76,,49.8134715026,0,32,1126,0,1158,0
,,02,78,,45.5307855626,0,14,928,0,942,1
,,02,79,,43.8734567901,0,12,960,0,972,1
,,02,80,,49.7449799197,0,9,489,0,498,1
,,03,01,,45.1151315789,0,13,1507,0,1520,2
,,03,02,,49.6898817346,0,33,1489,0,1522,3
,,03,03,,49.6354466859,0,29,1359,0,1388,0
,,03,04,,48.5352635486,0,25,1322,0,1347,1
,,03,05,,48.5239637306,0,26,1518,0,1544,1
,,03,06,,49.3149405772,0,34,1144,0,1178,3
,,03,07,,47.9993552547,0,47,1504,0,1551,3
,,03,08,,47.1581881533,0,24,1411,0,1435,1
,,03,09,,49.982712766,1,26,1477,0,1504,0
,,03,10,,49.1824127907,0,34,1342,0,1376,0
,,03,11,,49.4008069939,0,39,1448,0,1487,0
,,03,12,,46.8537604457,0,26,1410,0,1436,2
,,03,13,,47.401665599,0,33,1528,0,1561,2
,,03,14,,49.9640234949,0,49,1313,0,1362,1
,,03,15,,49.5682295311,0,33,1396,0,1429,1
,,03,16,,46.2828709288,0,30,1628,0,1658,1
,,03,17,,49.4836546521,0,39,1154,0,1193,1
,,03,18,,49.649964209,0,51,1346,0,1397,1
,,03,19,,50.0727272727,0,62,1533,0,1595,2
,,03,20,,47.2993848257,0,20,1443,0,1463,1
,,03,21,,49.2847457627,0,39,1141,0,1180,1
,,03,22,,49.7679389313,0,40,1270,0,1310,1
,,03,23,,46.7728726807,0,32,1531,0,1563,1
,,03,24,,47.4505277045,0,27,1489,0,1516,1
,,03,25,,46.4673611111,0,24,1416,0,1440,2
,,03,26,,48.5564663024,0,36,1062,0,1098,1
,,03,27,,50.2643856921,0,21,622,0,643,0
,,03,28,,49.7665589661,0,37,1201,0,1238,1
,,03,29,,48.5783410138,0,31,1271,0,1302,2
,,03,30,,49.0963665087,1,22,1243,0,1266,1
,,03,31,,49.9324419423,0,45,1376,0,1421,2
,,03,32,,48.6526822558,0,27,1427,0,1454,1
,,03,33,,45.1621993127,0,10,1445,0,1455,0
,,03,34,,47.9042553191,0,7,1403,0,1410,0
,,03,35,,46.2694444444,0,13,1067,0,1080,1
,,03,36,,47.6953405018,0,15,1380,0,1395,3
,,03,37,,47.1043350478,0,9,1352,0,1361,2
,,03,38,,45.6069277108,0,7,1321,0,1328,2
,,03,39,,47.4122738002,0,13,1258,0,1271,1
,,03,40,,46.1972837741,0,11,1388,0,1399,3
,,03,41,,44.9690162665,0,9,1282,0,1291,0
,,03,42,,44.8316023739,0,5,1343,0,1348,4
,,03,43,,48.0555192685,0,30,1501,0,1531,1
,,03,44,,48.2653721683,0,38,1507,0,1545,0
,,03,45,,50.5899621212,0,43,1013,0,1056,2
,,03,46,,48.3651685393,0,22,1046,0,1068,0
,,03,47,,50.3472527473,0,49,1316,0,1365,2
,,03,48,,46.7785285285,0,13,1319,0,1332,4
,,03,49,,46.211780278,0,16,1495,0,1511,1
,,03,50,,47.0180623974,0,17,1201,0,1218,3
,,03,51,,44.6212259835,0,8,1085,0,1093,2
,,03,52,,45.1134644478,0,9,1313,0,1322,2
,,03,53,,44.9917638984,0,8,1449,0,1457,0
,,03,54,,49.1278471712,0,18,1343,0,1361,0
,,03,55,,44.5064298836,0,10,1623,0,1633,0
,,03,56,,45.9623733719,0,13,1369,0,1382,0
,,03,57,,47.2513833992,0,14,1251,0,1265,0
,,03,58,,45.9201065246,0,12,1490,0,1502,0
,,03,59,,46.1911764706,0,19,1477,0,1496,1
,,03,60,,43.9686684073,0,13,1519,0,1532,1
,,03,61,,49.7498033045,0,32,1239,0,1271,3
,,03,62,,49,0,31,1186,0,1217,2
,,03,63,,49.5546099291,0,30,1380,0,1410,2
,,03,64,,47.6692307692,0,30,1530,0,1560,1
,,03,65,,49.4229486324,0,44,1455,0,1499,1
,,03,66,,49.033924441,2,32,1263,0,1297,4
,,03,67,,47.6157283289,0,25,1094,0,1119,1
,,03,68,,45.2165467626,0,17,1373,0,1390,2
,,03,69,,48.4541457286,1,24,1567,0,1592,2
,,03,70,,45.3221757322,0,15,1180,0,1195,0
,,03,71,,49.4733944954,0,33,1057,0,1090,2
,,03,72,,49.6301575394,0,25,1308,0,1333,0
,,03,73,,46.4935251799,0,17,1373,0,1390,1
,,03,74,,45.3263224984,0,11,1558,0,1569,0
,,03,75,,44.8090303479,0,11,1340,0,1351,3
,,03,76,,45.6868829337,0,10,1408,0,1418,2
,,03,77,,46.5590778098,0,20,1368,0,1388,0
,,03,78,,50.1314413742,0,33,1306,0,1339,3
,,03,79,,48.9402795426,0,37,1537,0,1574,1
,,03,80,,45.8201923077,0,13,1027,0,1040,0
,,03,81,,48.3699059561,0,20,1256,0,1276,2
,,03,82,,46.2433425161,0,16,1073,0,1089,0
,,03,83,,50.04296875,0,57,1479,0,1536,2
,,03,84,,44.4018384767,0,17,1506,0,1523,3
,,03,85,,48.0134529148,0,27,1534,0,1561,0
,,03,86,,46.1548771407,0,16,1327,0,1343,0
,,03,87,,46.1591973244,0,15,1480,0,1495,0
,,03,88,,48.2408074982,0,20,1367,0,1387,1
,,03,89,,46.6221232368,0,13,1334,0,1347,2
,,03,90,,44.669470143,0,12,1177,0,1189,3
,,04,01,,47.938976378,0,33,1491,0,1524,2
,,04,02,,48.9293849658,0,22,1295,0,1317,1
,,04,03,,47.5414057063,0,29,1408,0,1437,3
,,04,04,,48.6360784314,0,28,1247,0,1275,1
,,04,05,,48.5706028076,0,19,1192,0,1211,2
,,04,06,,47.0073855244,0,25,1329,0,1354,4
,,04,07,,48.0459016393,0,20,1200,0,1220,1
,,04,08,,46.2072892938,0,15,1302,0,1317,1
,,04,09,,45.092,0,11,989,0,1000,2
,,04,10,,47.262741652,0,19,1119,0,1138,0
,,04,11,,47.0305944056,0,18,1126,0,1144,0
,,04,12,,46.1424853611,0,21,1516,0,1537,2
,,04,13,,46.9900265957,0,18,1486,0,1504,1
,,04,14,,47.7321428571,0,23,1489,0,1512,1
,,04,15,,47.980365606,0,25,1452,0,1477,2
,,04,16,,47.2640156454,0,28,1506,0,1534,1
,,04,17,,48.3926470588,1,18,1341,0,1360,1
,,04,18,,46.7527272727,0,12,1088,0,1100,0
,,04,19,,46.4450592885,0,24,1241,0,1265,0
,,04,20,,46.4891913531,0,10,1239,0,1249,0
,,04,21,,47.7378892734,0,11,1145,0,1156,1
,,04,22,,46.8811261731,0,11,948,0,959,2
,,04,23,,47.8192944564,0,17,1372,0,1389,2
,,04,24,,48.1029082774,0,34,1307,0,1341,1
,,04,25,,44.7732283465,0,7,1263,0,1270,0
,,04,26,,44.8818703856,0,11,1208,0,1219,0
,,04,27,,45.9118804091,0,8,1263,0,1271,3
,,04,28,,44.1969486824,0,13,1429,0,1442,3
,,04,29,,43.26,0,8,1342,0,1350,1
,,04,30,,43.867039888,1,8,1420,0,1429,0
,,04,31,,42.8426229508,1,10,1209,0,1220,0
,,04,32,,49.1618303571,1,23,872,0,896,0
,,05,01,,47.4436619718,0,25,1395,0,1420,2
,,05,02,,47.2783171521,0,24,1521,0,1545,2
,,05,03,,46.8152472527,0,23,1433,0,1456,0
,,05,04,,46.5350877193,0,29,1453,0,1482,0
,,05,05,,47.9831460674,0,25,1399,0,1424,1
,,05,06,,47.1361815754,0,15,1483,0,1498,0
,,05,07,,45.911498708,0,22,1526,0,1548,2
,,05,08,,47.400304414,0,19,1295,0,1314,1
,,05,09,,47.6495855313,0,21,1306,0,1327,0
,,05,10,,48.93001443,0,30,1356,0,1386,0
,,05,11,,45.746031746,0,16,1496,0,1512,4
,,05,12,,47.5113858165,0,25,1512,0,1537,0
,,05,13,,46.9298969072,0,29,1426,0,1455,0
,,05,14,,47.2938659058,0,28,1374,0,1402,1
,,05,15,,47.7366597367,0,31,1412,0,1443,1
,,05,16,,48.5388310649,0,33,1216,0,1249,1
,,05,17,,47.7825077399,0,24,1268,0,1292,4
,,05,18,,48.1546840959,0,29,1348,0,1377,2
,,05,19,,49.202435312,0,31,1283,0,1314,3
,,05,20,,47.6099120703,1,24,1226,0,1251,1
,,05,21,,46.7258064516,0,30,1520,0,1550,3
,,05,22,,46.4134844869,0,19,1657,0,1676,3
,,05,23,,47.2957957958,1,23,1308,0,1332,1
,,05,24,,47.5770020534,0,24,1437,0,1461,0
,,05,25,,45.68816531,0,16,1581,0,1597,4
,,05,26,,47.8355640535,1,27,1541,0,1569,1
,,05,27,,47.9406207827,0,30,1452,0,1482,0
,,05,28,,46.5260078023,0,19,1519,0,1538,2
,,05,29,,46.3492176387,0,22,1384,0,1406,3
,,05,30,,46.5157273919,0,25,1501,0,1526,3
,,05,31,,45.5361166335,0,19,1490,0,1509,1
,,05,32,,45.4685494223,0,21,1537,0,1558,1
,,05,33,,47.1224928367,0,18,1378,0,1396,1
,,05,34,,47.1199712644,0,11,1381,0,1392,0
,,05,35,,44.1318681319,0,9,1447,0,1456,2
,,05,36,,46.5116629044,0,7,1322,0,1329,2
,,05,37,,46.337164751,0,8,1297,0,1305,3
,,05,38,,46.5748762376,0,35,1581,0,1616,0
,,05,39,,47.5644295302,0,32,1458,0,1490,0
,,05,40,,46.6159372959,1,18,1512,0,1531,0
,,05,41,,46.5902118335,0,11,1358,0,1369,1
,,05,42,,46.9105960265,0,23,1487,0,1510,1
,,05,43,,45.2805611222,0,16,1481,0,1497,0
,,05,44,,46.3509127789,0,22,1457,0,1479,0
,,05,45,,46.4128065395,0,16,1452,0,1468,0
,,05,46,,45.7690892364,0,7,1080,0,1087,2
,,05,47,,47.845534407,0,21,1345,0,1366,1
,,05,48,,47.5786423841,0,23,1185,0,1208,1
,,05,49,,47.5804794521,0,20,1148,0,1168,2
,,05,50,,47.6413843888,1,29,1328,0,1358,2
,,05,51,,47.2106312292,0,26,1479,0,1505,0
,,05,52,,43.8705957719,0,24,1537,0,1561,3
,,05,53,,46.5490578298,1,20,1518,0,1539,1
,,05,54,,46.7099601594,0,9,1246,0,1255,2
,,05,55,,47.4421296296,0,15,1281,0,1296,1
,,05,56,,46.2826908541,0,14,1309,0,1323,3
,,05,57,,46.4300986842,0,11,1205,0,1216,0
,,05,58,,45.6648,0,11,1239,0,1250,1
,,05,59,,46.6002982849,0,11,1330,0,1341,1
,,05,60,,47.6065436242,0,7,1185,0,1192,1
,,05,61,,45.5292307692,0,12,1288,0,1300,4
