region,district_id,district name,precinct_id,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,3 - Democratic Movement - Free Georgia,5 - United National Movement,8 - Alliance of Patriots,41 - Georgian Dream,42 - Initiative Group
,29,,1,,1269,4,224,569,709,1200,6,703,,,,,,,363,,,340,
,29,,2,,452,3,69,207,259,450,4,254,,,,,,,55,,,199,
,29,,3,,593,0,98,276,331,550,2,329,,,,,,,98,,,231,
,29,,4,,302,8,67,143,155,300,3,152,,,,,,,64,,,88,
,29,,5,,576,4,89,235,288,500,1,287,,,,,,,90,,,197,
,29,,6,,931,2,143,366,468,850,3,465,,,,,,,103,,,362,
,29,,7,,648,0,102,263,288,600,1,287,,,,,,,62,,,225,
,29,,8,,223,5,34,98,109,250,0,109,,,,,,,10,,,99,
,29,,9,,129,7,54,87,94,150,2,92,,,,,,,14,,,78,
,29,,10,,190,8,43,95,116,200,0,116,,,,,,,17,,,99,
,35,,1,,1066,8,101,243,304,1000,5,298,,,,,,,,,,168,130
,35,,2,,1275,6,153,325,428,1200,15,413,,,,,,,,,,312,101
,35,,3,,1272,5,177,368,460,1200,7,454,,,,,,,,,,327,127
,35,,4,,1391,9,151,329,410,1300,24,386,,,,,,,,,,256,130
,35,,5,,1091,9,132,276,355,1000,9,346,,,,,,,,,,202,144
,35,,6,,1337,7,124,340,454,1250,12,442,,,,,,,,,,264,178
,35,,7,,1050,8,147,353,420,950,20,400,,,,,,,,,,292,108
,35,,8,,809,12,61,180,244,750,6,238,,,,,,,,,,147,91
,35,,9,,1067,7,137,297,364,1000,8,356,,,,,,,,,,253,103
,35,,10,,1051,9,112,262,331,950,7,324,,,,,,,,,,184,140
,35,,11,,1278,6,128,335,453,1200,16,437,,,,,,,,,,287,150
,35,,12,,1008,8,81,192,244,900,4,240,,,,,,,,,,120,120
,35,,13,,1372,5,104,228,388,1300,5,383,,,,,,,,,,259,124
,35,,14,,966,6,118,247,331,850,3,328,,,,,,,,,,163,165
,35,,15,,696,3,111,258,317,650,4,313,,,,,,,,,,209,104
,35,,16,,1224,10,103,258,337,1150,11,326,,,,,,,,,,195,131
,35,,17,,1183,9,126,301,367,1150,6,361,,,,,,,,,,195,166
,35,,18,,1275,7,121,345,394,1200,4,390,,,,,,,,,,238,152
,35,,19,,1223,7,113,221,270,1150,7,263,,,,,,,,,,144,119
,35,,20,,1069,8,117,315,377,1000,3,374,,,,,,,,,,225,149
,35,,21,,923,7,104,295,355,850,5,350,,,,,,,,,,225,125
,35,,22,,469,4,90,188,219,500,4,215,,,,,,,,,,131,84
,35,,23,,973,1,130,288,393,950,5,388,,,,,,,,,,183,205
,35,,24,,280,4,65,103,130,300,2,128,,,,,,,,,,80,48
,35,,25,,717,3,54,157,217,700,2,215,,,,,,,,,,132,83
,35,,26,,1141,0,119,345,509,1050,2,507,,,,,,,,,,310,197
,35,,27,,442,3,61,138,168,450,4,164,,,,,,,,,,100,64
,35,,28,,1131,5,132,284,402,1050,7,394,,,,,,,,,,218,176
,35,,29,,784,7,106,238,318,750,4,314,,,,,,,,,,233,81
,35,,30,,793,1,80,281,348,750,2,346,,,,,,,,,,216,130
,35,,31,,472,6,43,128,162,500,5,157,,,,,,,,,,90,67
