region,district_id,district name,precinct_id,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,2 - European Georgia,3 - Democratic Movement - Free Georgia,5 - United National Movement,8 - Alliance of Patriots,10 - Labour,11 - National Democratic Party of Georgia,14 - Georgian Unity and Development Party,17 - Georgia,18 - Union of Georgian Traditionalists,20 - National Forum,23 - New Christian Democrats,27 - Unity - New Georgia,28 - Lord Our Righteousness,38 - Party of People,39 - Progressive Democratic Movement,41 - Georgian Dream,42 - Initiative Group
,1,,1,,1348,8,147,460,582,1250,12,570,,,,,,,42,5,76,16,2,0,,2,0,2,,16,,,1,284,124
,1,,2,,1250,11,183,446,546,1150,11,535,,,,,,,29,6,95,19,3,0,,0,0,0,,15,,,0,240,128
,1,,3,,1473,8,203,523,644,1350,11,633,,,,,,,46,8,127,13,2,2,,0,0,0,,15,,,3,294,123
,1,,4,,1174,9,162,407,502,1100,16,486,,,,,,,28,9,67,14,5,0,,1,1,0,,7,,,0,257,97
,1,,5,,1499,8,165,437,576,1400,17,559,,,,,,,26,7,83,14,6,0,,4,0,1,,8,,,0,308,102
,1,,6,,1454,128,205,583,771,1450,31,723,,,,,,,44,14,82,19,6,0,,0,0,7,,15,,,0,383,153
,1,,7,,1391,11,188,485,617,1300,22,596,,,,,,,30,12,106,12,7,1,,1,0,1,,13,,,1,301,111
,1,,8,,1126,10,124,336,467,1050,20,447,,,,,,,22,8,53,11,3,0,,0,0,0,,11,,,0,242,97
,1,,9,,1420,9,209,504,660,1300,15,645,,,,,,,38,13,92,12,2,0,,0,0,2,,7,,,0,312,167
,1,,10,,1519,7,225,564,740,1400,11,729,,,,,,,49,11,105,26,5,1,,0,0,6,,17,,,0,361,148
,1,,11,,1553,12,236,571,685,1400,17,668,,,,,,,54,13,109,11,5,0,,0,0,2,,13,,,1,299,161
,1,,12,,1524,6,184,560,709,1400,23,687,,,,,,,57,7,98,26,2,0,,0,1,0,,11,,,0,328,157
,1,,13,,1307,7,208,494,599,1200,11,588,,,,,,,35,6,68,16,3,0,,0,1,1,,24,,,0,349,85
,1,,14,,1167,6,176,420,554,1050,8,545,,,,,,,41,8,78,15,2,1,,0,0,0,,9,,,0,286,105
,1,,15,,1359,8,215,535,702,1250,20,682,,,,,,,42,15,90,23,4,0,,0,0,2,,23,,,0,362,121
,1,,16,,1476,11,216,576,731,1350,17,713,,,,,,,50,10,109,24,10,1,,0,1,1,,17,,,1,328,161
,1,,17,,977,10,112,347,435,900,10,425,,,,,,,28,10,62,4,1,0,,0,0,1,,11,,,1,223,84
,1,,18,,1091,10,141,404,513,1000,13,498,,,,,,,44,4,73,18,4,1,,0,0,0,,13,,,0,245,96
,1,,19,,1445,9,187,513,662,1350,16,646,,,,,,,37,7,110,11,1,0,,3,1,1,,18,,,0,334,123
,1,,20,,1336,11,185,496,633,1200,20,613,,,,,,,111,11,63,7,4,1,,0,0,2,,7,,,1,285,121
,1,,21,,1465,9,210,530,717,1350,28,689,,,,,,,67,6,120,17,3,0,,0,1,1,,17,,,0,313,144
,1,,22,,1540,13,189,580,772,1450,16,756,,,,,,,28,8,125,12,5,0,,1,0,3,,17,,,0,397,160
,1,,23,,1433,12,197,564,716,1350,12,702,,,,,,,48,8,114,24,3,0,,0,0,1,,22,,,1,348,133
,1,,24,,1437,7,227,516,709,1350,19,689,,,,,,,51,8,112,16,4,0,,0,0,1,,14,,,1,362,120
,1,,25,,1157,8,154,431,535,1050,10,525,,,,,,,63,8,70,10,6,0,,1,0,4,,11,,,1,261,90
,1,,26,,1466,10,204,571,647,1350,14,633,,,,,,,53,5,87,18,1,0,,1,0,6,,9,,,0,333,120
,1,,27,,1542,14,210,569,749,1450,24,725,,,,,,,43,11,100,17,12,0,,0,0,6,,15,,,1,390,130
,1,,28,,1359,8,201,518,705,1250,13,692,,,,,,,45,10,85,26,3,0,,0,0,4,,10,,,2,336,171
,1,,29,,1494,10,230,590,738,1400,20,719,,,,,,,54,4,81,21,2,0,,0,0,0,,19,,,1,384,153
,1,,30,,1335,7,186,525,673,1250,18,655,,,,,,,38,9,63,17,3,0,,1,0,3,,15,,,0,383,123
,1,,31,,1434,5,185,544,706,1350,15,692,,,,,,,48,13,78,17,4,0,,0,0,1,,11,,,0,380,140
,1,,32,,1581,3,254,623,821,1500,22,799,,,,,,,43,10,173,21,4,0,,1,1,1,,4,,,5,440,96
,1,,33,,1382,10,172,470,600,1250,13,587,,,,,,,44,9,82,18,4,0,,0,0,1,,18,,,1,288,122
,1,,35,,1291,27,215,566,689,1250,21,650,,,,,,,44,9,89,27,10,0,,2,0,0,,6,,,1,415,47
,1,,36,,307,4,68,163,190,300,2,188,,,,,,,15,3,23,3,1,0,,0,0,0,,0,,,0,124,19
