shape,common_id,common_name,Average age of registered voters,Numbers of voters over 99 years old,Number of voters between 85 and 99 years old,Total Voters,Number of potential voter duplications
Country,Georgia,Georgia,47.36,372,59909,3440123,3492
District,79,Batumi,44.95,18,1436,139595,218
District,80,Keda,45.2,2,260,15643,53
District,81,Kobuleti,45.25,3,700,67703,107
District,82,Shuakhevi,44.89,5,281,15009,29
District,83,Khelvachauri,44.25,2,458,44928,81
District,84,Khulo,44.06,11,393,23983,125
District,60,Ozurgeti,48.19,4,1225,62290,57
District,61,Lanchkhuti,48.35,2,613,29373,41
District,62,Chokhatauri,49.34,5,497,18308,27
District,48,Kharagauli,49.31,4,601,19726,33
District,49,Terjola,48.46,4,821,34018,35
District,50,Sachkhere,47.26,1,849,42654,46
District,51,Zestaponi,47.75,3,1065,55118,60
District,52,Bagdati,48.79,5,504,22074,20
District,53,Vani,49.5,5,757,25194,32
District,54,Samtredia,48.11,3,822,46217,46
District,55,Khoni,48.58,2,457,23100,16
District,56,Chiatura,48.72,2,1059,43210,64
District,57,Tkibuli,50.63,2,642,22036,25
District,58,Tskaltubo,48.71,1,955,51363,37
District,59,Kutaisi,46.74,5,1882,152561,145
District,11,Sagarejo,46.08,6,829,45917,21
District,12,Gurjaani,48.82,1,1123,52717,35
District,13,Signagi,49.13,3,763,30061,24
District,14,Dedoplistskaro,48.02,1,581,21939,25
District,15,Lagodekhi,46.05,0,634,38569,53
District,16,Kvareli,47.43,5,543,28508,16
District,17,Telavi,47.48,3,879,55580,34
District,18,Akhmeta,47.27,3,632,30069,11
District,20,Rustavi,45.71,8,1228,104241,119
District,21,Gardabani,45.87,12,984,70938,48
District,22,Marneuli,44.31,29,1152,98259,70
District,23,Bolnisi,45.4,14,931,56135,53
District,24,Dmanisi,47.51,4,488,22628,13
District,25,Tsalka,50.62,18,1082,20593,16
District,26,Tetritskaro,49.84,9,797,20244,11
District,19,Tianeti,50.01,3,327,10777,6
District,27,Mtskheta,46.72,3,706,44298,32
District,28,Dusheti,49.77,8,675,26026,23
District,29,Kazbegi,47.61,3,80,5317,7
District,43,Oni,57.67,2,285,6440,4
