shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),European Georgia,Democratic Movement - Free Georgia,United National Movement,Republican party,For United Georgia,Alliance of Patriots,Leftist Alliance,Labour,Georgia,Union of Georgian Traditionalists,National Forum,New Christian Democrats,Unity - New Georgia,Freedom Party,United Communist Party,Party of People,Georgian Dream,Initiative Group
Country,Georgia,Georgia,957295,46.49,148,620,961,830,,0,0.0,,,0,0.0,,,,,,1,1,0,2,2559,100.0,10.22,1.3,15.69,0.03,0.32,4.79,0.01,0.75,0.05,0.09,1.11,0.02,0.42,0.01,0.07,0.04,61.32,3.47
District,80,Keda,10080,64.44,3,18,8,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,31,100.0,7.7,1.48,18.43,,,7.81,,,,,,,,,,,64.4,
District,83,Khelvachauri,18938,42.15,0,14,19,13,,0,0.0,,,0,0.0,,,,,,0,0,0,0,46,100.0,10.18,4.35,25.59,,,8.17,,,,,,,,,,,51.34,
District,84,Khulo,13823,57.64,6,18,20,10,,0,0.0,,,0,0.0,,,,,,0,0,0,0,54,100.0,11.27,,25.94,,,3.17,,,,,,,,,,,59.53,
District,81,Kobuleti,32669,48.25,1,35,27,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,65,100.0,4.0,2.91,23.91,,,7.56,,,,0.19,,,0.35,,,,60.89,
District,82,Shuakhevi,9010,60.03,6,29,13,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,49,100.0,6.63,2.05,16.65,,,3.16,,,,,,,,,,,71.42,
District,62,Chokhatauri,11354,62.02,1,14,16,7,,0,0.0,,,0,0.0,,,,,,0,0,0,0,38,100.0,6.4,0.85,7.64,,,11.33,,0.72,,,18.66,,0.15,,,,54.2,
District,61,Lanchkhuti,16311,55.53,0,6,11,21,,0,0.0,,,0,0.0,,,,,,0,0,0,0,38,100.0,13.66,,12.78,,,4.03,,1.82,,,,,,,,,67.66,
District,60,Ozurgeti,34192,54.89,0,9,40,13,,0,0.0,,,0,0.0,,,,,,0,0,0,0,62,100.0,6.16,0.89,6.22,,,,,1.25,,,,,0.25,,,,43.29,41.81
District,52,Bagdati,11443,51.84,2,1,3,24,,0,0.0,,,0,0.0,,,,,,0,0,0,0,30,100.0,,,33.67,,,,,,,1.35,,,1.83,,,,62.97,
