shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Democratic Movement - Free Georgia,United National Movement,Alliance of Patriots,Georgian Dream,Initiative Group
Country,Georgia,Georgia,80179,45.63,35,133,21,4,,0,0.0,,,0,0.0,,,,,,0,0,0,0,193,100.0,1.09,1.07,7.7,60.44,29.63
District,60,Ozurgeti,34567,55.51,8,48,5,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,62,100.0,,,,49.84,50.07
District,29,Kazbegi,2795,52.61,7,3,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,10,100.0,31.34,,,68.62,
District,65,Martvili,12346,37.82,5,25,7,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,39,100.0,,6.96,,92.99,
District,36,Borjomi,13792,51.99,4,24,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,30,100.0,,,44.78,55.21,
District,35,Khashuri,16679,34.06,11,33,7,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,52,100.0,,,,61.3,38.69
Precinct,1,29-1,703,55.4,,,,,0.85,,,,0,,,,0,0.93,1.15,0.78,,,,,,,51.64,,,48.36,
Precinct,2,29-2,255,56.42,,,,,1.54,,,,0,,,,0,0.29,0.46,0.29,,,,,,,21.57,,,78.04,
Precinct,3,29-3,329,55.48,,,,,0.6,,,,0,,,,0,0.41,0.59,0.31,,,,,,,29.79,,,70.21,
Precinct,4,29-4,152,50.33,,,,,1.94,,,,0,,,,0,0.28,0.25,0.07,,,,,,,42.11,,,57.89,
