shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),European Georgia,Democratic Movement - Free Georgia,United National Movement,Republican party,For United Georgia,Alliance of Patriots,Leftist Alliance,Labour,Socialist Workers Party,Georgia,National Forum,Merab Kostava Society,Unity - New Georgia,Lord Our Righteousness,Freedom Party,Mamulishvili,United Communist Party,Party of People,Progressive Democratic Movement,Georgian Dream,Initiative Group
Country,Georgia,Georgia,1503099,43.69,178,859,1236,1361,,0,0.0,,,0,0.0,,,,,,1,1,1,3,3634,100.0,10.26,2.65,16.7,0.09,0.13,6.33,0.02,1.12,0.01,0.11,1.27,0.01,0.95,0.03,0.1,0.03,0.08,0.15,0.19,55.9,3.07
Majoritarian District,11.01,11.01,466,55.08,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,1.29,,3.22,,,26.18,,,,,,,,,,,,,,50.64,18.45
Majoritarian District,11.02,11.02,156,54.55,0,0,0,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,6.41,,31.41,,,7.05,,,,,,,,,,,,,,54.49,
Majoritarian District,11.03,11.03,295,70.24,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,6.78,,17.29,,,3.39,,,,,,,,,,,,,,16.95,55.59
Majoritarian District,11.04,11.04,513,40.3,0,0,0,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,7.8,4.09,23.2,,,6.43,,,,,,,,,,,,,,58.28,
Majoritarian District,11.05,11.05,957,41.85,0,0,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,15.99,9.82,10.55,,,13.48,,,,,,,,,,,,,,49.53,
Majoritarian District,11.06,11.06,1019,45.43,0,1,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,16.09,,10.4,,,27.38,,,,,,,,,,,,,,45.34,
Majoritarian District,11.07.01,11.07.01,2383,49.05,0,1,2,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,5,100.0,6.42,15.82,9.69,,,8.43,,,,,,,,,,,,,,59.09,
Majoritarian District,11.07.02,11.07.02,2154,42.47,0,0,1,4,,0,0.0,,,0,0.0,,,,,,0,0,0,0,5,100.0,11.28,5.66,11.88,,,6.87,,,,,,,,,,,,4.36,,59.15,
Majoritarian District,11.08,11.08,1272,61.57,0,0,3,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,7.08,0.86,12.34,,,2.52,,,,,,,,,,,,,,53.54,22.88
Majoritarian District,11.09,11.09,88,82.24,0,0,0,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,21.59,,1.14,,,3.41,,,,,,,,,,,,,,68.18,
Majoritarian District,11.10,11.10,380,45.08,0,0,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,10.26,,12.11,,,15.53,,,,,,,,,,,,,,62.11,
Majoritarian District,11.11,11.11,901,37.83,0,1,1,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,6.55,,16.76,,,6.55,,,,,,,,,,,,,,69.48,
Majoritarian District,11.12,11.12,836,54.82,0,0,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,4.19,,21.29,,,22.85,,,,,,,,,,,,,,51.32,
Majoritarian District,11.13,11.13,1302,45.16,0,2,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,3.53,6.22,3.61,,,13.21,,,,,,,,,,,,,,73.12,
Majoritarian District,11.14,11.14,900,42.33,0,1,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,11.33,7.33,6.67,,,13.89,,,,,,,,,,,,,,60.78,
Majoritarian District,11.15,11.15,327,66.06,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,18.35,,4.59,,,,,,,,,,,,,,,,,76.45,
Majoritarian District,11.16,11.16,276,68.66,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,0.72,20.65,7.61,,,6.88,,6.16,,,,,,,,,,,,56.88,
Majoritarian District,11.17,11.17,1241,28.97,0,1,0,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,4.51,,7.49,,,,,,,,,,,,,,,,,62.37,16.84
Majoritarian District,11.18,11.18,1063,21.47,0,0,4,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,18.91,,14.49,,,,,,,,,,,,,,,,,63.97,
Majoritarian District,11.19,11.19,1002,27.44,0,0,1,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,2.69,7.58,35.13,,,,,,,,,,,,,,,,,53.49,
Majoritarian District,11.20,11.20,635,27.15,0,1,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,,,3.15,,,,,,,,,,,,,,,,,95.12,
Majoritarian District,11.21,11.21,333,57.81,0,0,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,3.9,6.31,2.4,,,13.81,,,,,,,,,,,,,,68.47,
Majoritarian District,12.01,12.01,888,54.81,1,0,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,26.35,,4.39,,,,,,,,,,,,,,,,,69.26,
Majoritarian District,12.02,12.02,890,45.64,0,0,1,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,6.85,,41.91,,,,,,,,,,,,,,,,,51.01,
Majoritarian District,12.03,12.03,1166,52.31,0,2,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,22.81,,4.72,,,16.47,0.09,,,,,,,,,,,,,55.57,
Majoritarian District,12.04,12.04,1101,37.5,0,1,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,25.34,2.45,7.54,,,26.79,,,,,,,,,,,,,,37.69,
Majoritarian District,12.05,12.05,785,62.75,0,1,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,12.87,,4.84,,,3.44,,,,,,,,,,,,,,78.47,
Majoritarian District,12.06,12.06,2042,47.25,0,3,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,21.3,,4.02,,,5.19,,,,,,,,,,,0.34,,,51.47,17.53
Majoritarian District,12.07,12.07,1084,45.72,0,1,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,11.99,,21.96,,,8.12,,,,,,,,,,,,,,57.84,
Majoritarian District,12.08,12.08,1780,49.73,0,2,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,20.11,,12.75,,,4.61,,,,,,,,,,,,,,46.12,16.24
Majoritarian District,12.09.01,12.09.01,1433,41.21,0,0,3,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,27.36,1.26,11.93,,,4.12,0.28,1.81,,,,,,,,,,,,52.13,
Majoritarian District,12.09.02,12.09.02,1948,43.67,0,0,2,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,32.96,3.13,12.42,,,3.95,1.03,,,,,,,,,,,,,46.15,
Majoritarian District,12.10,12.10,1468,42.06,0,0,2,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,17.23,,13.49,,,5.31,,,,,,,,,,,,,,45.44,18.19
Majoritarian District,12.11,12.11,552,56.56,0,0,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,16.85,,,,,26.99,,,,,,,,,,,,,,56.16,
Majoritarian District,12.12,12.12,1501,51.88,1,0,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,22.05,2.33,26.85,,,1.33,0.67,,,,,,,,,,,,,45.9,
Majoritarian District,12.13,12.13,695,69.02,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,33.24,,6.76,,,2.73,0.14,,,,,,,,,,,,,57.12,
Majoritarian District,12.14,12.14,1317,54.53,0,0,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,10.93,,17.16,,,,1.75,,,,,,,,,,,,,69.78,
Majoritarian District,12.15,12.15,1541,40.03,0,1,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,20.18,,13.3,,,6.68,,,,,,,,,,,,,,59.64,
Majoritarian District,12.16,12.16,527,65.14,0,0,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,56.36,,4.93,,,7.78,,,,,,,,,,,,,,30.93,
Majoritarian District,12.17,12.17,659,62.88,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,51.9,,,,,5.61,,,,,,,,,,,,,,42.19,
