shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),State for the People,European Georgia,Democratic Movement - Free Georgia,United Democratic Movement,United National Movement,Republican party,For United Georgia,Alliance of Patriots,Leftist Alliance,Labour,National Democratic Party of Georgia,Georgian Unity and Development Party,Socialist Workers Party,Georgia,Union of Georgian Traditionalists,National Forum,New Christian Democrats,Unity - New Georgia,Lord Our Righteousness,New Rights,Freedom Party,Mamulishvili,United Communist Party,Party of People,Progressive Democratic Movement,Georgian Dream
Country,Georgia,Georgia,1504387,43.73,151,716,1394,1373,,0,0.0,,,0,0.0,,,,,,1,1,0,2,3634,100.0,0.04,10.39,2.59,0.06,17.05,0.74,0.13,6.55,0.09,3.27,0.01,0.04,0.06,0.12,0.02,0.76,0.02,1.22,0.07,0.01,0.58,0.02,0.06,0.13,0.11,55.71
District,79,Batumi,49062,35.15,0,31,59,12,,0,0.0,,,0,0.0,,,,,,0,0,0,0,102,100.0,,6.76,1.92,0.06,24.88,0.7,,6.72,0.1,3.18,,,,,,,,0.92,,,0.27,,0.2,0.17,0.14,53.84
District,80,Keda,10075,64.41,2,15,13,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,31,100.0,,7.76,1.96,0.15,20.45,0.77,,8.74,,2.98,,,,,,,,,,,,,,,,57.11
District,83,Khelvachauri,19126,42.57,0,22,21,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,46,100.0,,7.99,3.12,0.12,24.55,,,8.51,,2.65,,,,,,1.86,,,,,0.19,,0.31,,,50.58
District,84,Khulo,13852,57.76,6,21,20,7,,0,0.0,,,0,0.0,,,,,,0,0,0,0,54,100.0,,10.78,5.11,0.12,22.97,,,4.39,,1.36,,,,,,3.76,,,,,,,,,,51.42
District,81,Kobuleti,32731,48.35,5,32,28,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,65,100.0,,4.24,2.93,0.09,24.59,1.38,,7.33,,1.79,,,,,,,,,,,0.22,,,,,57.24
District,82,Shuakhevi,8981,59.84,9,20,17,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,49,100.0,,7.23,2.74,0.13,18.45,2.72,,5.49,,1.65,,,,1.19,,,,,,,,,,,,60.36
District,62,Chokhatauri,11253,61.46,0,11,14,13,,0,0.0,,,0,0.0,,,,,,0,0,0,0,38,100.0,,9.66,1.55,,9.59,,,11.21,,2.43,,,,,,7.99,,,,,,,,3.23,,54.3
District,61,Lanchkhuti,16312,55.53,0,5,13,20,,0,0.0,,,0,0.0,,,,,,0,0,0,0,38,100.0,,12.55,3.56,0.15,13.0,,,5.68,,3.67,,,,,,,,2.22,,,0.42,,,,0.5,58.19
District,60,Ozurgeti,33609,53.96,0,6,15,41,,0,0.0,,,0,0.0,,,,,,0,0,0,0,62,100.0,,9.73,2.14,0.18,13.2,0.91,,10.05,,4.55,,,,,,,,,,,0.79,,,,,58.24
District,52,Bagdati,11758,53.27,2,11,12,5,,0,0.0,,,0,0.0,,,,,,0,0,0,0,30,100.0,,13.52,3.33,0.15,19.59,,,4.91,,3.38,,,,,,2.13,,,,,0.27,,,,,52.53
District,56,Chiatura,18614,43.08,4,10,34,10,,0,0.0,,,0,0.0,,,,,,0,0,0,0,58,100.0,,8.97,2.56,0.1,15.76,1.93,,7.5,,2.43,,,,,,1.37,,1.74,,,0.28,,0.77,,,56.53
District,48,Kharagauli,12117,61.43,0,10,20,7,,0,0.0,,,0,0.0,,,,,,0,0,0,0,37,100.0,,10.59,2.32,0.07,16.65,,,5.6,,3.09,,,,,,4.66,,,,,0.35,,,,,56.62
District,55,Khoni,14092,61.0,0,8,15,6,,0,0.0,,,0,0.0,,,,,,0,0,0,0,29,100.0,,31.39,0.5,,8.16,,,2.69,,2.14,,,,,0.18,,,,,,0.28,,,,,54.56
District,59,Kutaisi,51796,33.95,0,19,68,36,,0,0.0,,,0,0.0,,,,,,0,0,0,0,123,100.0,,11.92,2.86,0.04,23.34,,,3.89,0.12,3.75,,,,,,0.9,,2.64,,,0.37,0.64,0.25,0.07,,49.11
District,50,Sachkhere,21240,49.8,2,28,23,4,,0,0.0,,,0,0.0,,,,,,0,0,0,0,57,100.0,,4.84,,,4.6,,,4.44,,,,,,,,,1.12,,,,2.74,,,,,82.24
District,54,Samtredia,21128,45.71,0,6,30,14,,0,0.0,,,0,0.0,,,,,,0,0,0,0,50,100.0,,11.37,2.7,0.07,22.69,0.54,,4.27,,2.23,,,,,,2.57,,1.46,,,0.35,,,,,51.68
District,49,Terjola,19179,56.38,0,6,20,7,,0,0.0,,,0,0.0,,,,,,0,0,0,0,33,100.0,,25.14,1.92,0.11,8.33,,,5.04,,2.11,,,,,,,,,,,0.42,,,,,56.89
District,57,Tkibuli,10808,49.05,1,10,15,11,,0,0.0,,,0,0.0,,,,,,0,0,0,0,37,100.0,,11.62,4.74,,23.63,,,6.41,,2.37,,,,,,,,0.73,,,0.31,,0.44,,,49.59
District,58,Tskaltubo,22774,44.34,4,7,38,18,,0,0.0,,,0,0.0,,,,,,0,0,0,0,67,100.0,,12.64,3.46,0.08,26.93,0.75,,3.9,,2.52,,,,,,,,,,,0.34,,,,,49.31
District,53,Vani,13845,54.95,3,5,18,5,,0,0.0,,,0,0.0,,,,,,0,0,0,0,31,100.0,,16.58,0.69,,12.75,,,3.24,,3.05,,,,,,,,,,,0.39,,,,,63.11
District,51,Zestaponi,23252,42.19,0,0,33,20,,0,0.0,,,0,0.0,,,,,,0,0,0,0,53,100.0,,14.74,2.46,0.09,16.39,0.53,,9.47,0.17,3.81,,,,0.33,,,,,,,0.44,,,,,51.45
District,18,Akhmeta,14388,47.85,0,5,15,9,,0,0.0,,,0,0.0,,,,,,0,0,0,0,29,100.0,,14.35,3.18,0.13,17.54,,,5.55,,4.88,,,,,,,,,,,0.39,,,,0.28,53.61
