shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),European Georgia,Democratic Movement - Free Georgia,United National Movement,Alliance of Patriots,Labour,National Democratic Party of Georgia,Georgian Unity and Development Party,Georgia,Union of Georgian Traditionalists,National Forum,New Christian Democrats,Unity - New Georgia,Lord Our Righteousness,Party of People,Progressive Democratic Movement,Georgian Dream,Initiative Group
Country,Georgia,Georgia,557414,40.36,9,527,431,108,,0,0.0,,,0,0.0,,,,,,0,0,1,1,1075,100.0,7.8,2.19,18.26,3.71,1.37,0.04,0.09,0.06,0.05,0.29,0.01,1.68,0.04,0.11,0.09,51.4,12.52
District,79,Batumi,49063,35.15,2,21,71,8,,0,0.0,,,0,0.0,,,,,,0,0,0,0,102,100.0,6.37,2.1,23.97,6.1,3.21,,0.98,,,,,0.72,,0.47,,55.8,
District,59,Kutaisi,52159,34.19,0,36,75,12,,0,0.0,,,0,0.0,,,,,,0,0,0,0,123,100.0,8.93,7.59,27.0,3.25,1.96,,,,,1.14,,1.38,,,,48.6,
District,20,Rustavi,37827,36.29,0,2,15,67,,0,0.0,,,0,0.0,,,,,,0,0,0,0,84,100.0,12.93,2.02,19.65,5.92,3.15,,,,0.16,,0.13,1.05,0.63,0.94,,52.63,
District,70,Poti,17778,43.12,0,0,17,15,,0,0.0,,,0,0.0,,,,,,0,0,0,0,32,100.0,13.35,8.23,12.79,9.3,,,,,,,,0.53,,,0.6,55.08,
District,999,Tbilisi,400587,42.46,7,468,253,6,,0,0.0,,,0,0.0,,,,,,0,0,1,1,734,100.0,7.09,1.25,16.54,3.01,0.96,0.05,,0.09,0.05,0.25,,1.95,,,0.1,50.94,17.43
Precinct,1,20-1,410,41.04,,,,,7.87,,,,0,,,,0,0.62,0.71,0.47,,,,,,,11.95,1.22,7.8,4.15,2.68,,,,0.73,,0.0,0.98,0.49,1.95,,68.05,
Precinct,2,20-2,473,48.81,,,,,3.86,,,,0,,,,0,0.84,0.76,0.34,,,,,,,6.98,1.06,9.09,4.65,2.54,,,,0.0,,0.0,0.42,0.0,0.42,,74.63,
Precinct,3,20-3,539,43.43,,,,,5.93,,,,0,,,,0,0.87,0.6,1.02,,,,,,,12.8,0.93,9.83,5.38,1.3,,,,0.0,,0.19,0.37,0.37,0.37,,61.6,
Precinct,4,20-4,625,41.86,,,,,6.44,,,,0,,,,0,1.04,0.72,1.13,,,,,,,10.88,0.96,13.92,4.48,2.72,,,,0.48,,0.48,1.92,0.16,0.16,,52.96,
