shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),United National Movement,Georgian Dream
Country,Georgia,Georgia,26574,17.42,2,37,63,21,,4,3.25,1.25,,0,0.0,,,,,,0,0,0,0,123,100.0,12.44,87.54
District,59,Kutaisi,26574,17.42,2,37,63,21,,4,3.25,1.25,,0,0.0,,,,,,0,0,0,0,123,100.0,12.44,87.54
Precinct,1,59-1,210,22.75,,,,,3.67,,,,0,,,,0,0.19,0.38,0.33,,,,,,,14.76,85.24
Precinct,2,59-2,294,22.19,,,,,4.23,,,,0,,,,0,0.46,0.44,0.36,,,,,,,11.22,88.78
Precinct,3,59-3,231,17.21,,,,,5.71,,,,0,,,,0,0.39,0.37,0.23,,,,,,,12.99,87.01
Precinct,4,59-4,201,17.45,,,,,4.74,,,,0,,,,0,0.22,0.28,0.41,,,,,,,11.44,88.56
Precinct,5,59-5,240,17.98,,,,,5.14,,,,1,,,,0,0.3,0.35,0.43,,,,,,,12.5,87.08
Precinct,6,59-6,242,22.14,,,,,3.59,,,,0,,,,0,0.35,0.24,0.52,,,,,,,9.5,90.5
Precinct,7,59-7,216,18.17,,,,,4.0,,,,0,,,,0,0.22,0.42,0.27,,,,,,,15.28,84.72
Precinct,8,59-8,201,15.27,,,,,4.74,,,,0,,,,0,0.25,0.28,0.38,,,,,,,11.44,88.56
Precinct,9,59-9,215,18.19,,,,,5.29,,,,0,,,,0,0.21,0.54,0.08,,,,,,,13.02,86.98
