region,district_name,district_id,precinct_id,num_possible_voters,num_special_voters,num_ballots,num_unused_ballots,num_spoiled_ballots,num_votes,num_valid_votes,num_invalid_votes,Free Georgia,United National Movement,Justice for Georgia,Christian Democratic Movement,New Rights,Labour Party,Georgian Dream
,,79,1,1379,12,1150,,,784,,24,5,192,2,19,1,11,520
,,79,2,1337,12,1200,,,784,,30,5,218,0,8,3,10,510
,,79,3,1478,10,1350,,,792,,15,5,233,4,14,4,14,493
,,79,4,1463,12,1300,,,776,,90,4,197,1,15,5,14,450
,,79,5,544,12,500,,,217,,5,1,69,0,7,0,5,130
,,79,6,1470,12,1350,,,975,,24,9,243,0,11,10,12,666
,,79,7,1218,10,1100,,,728,,16,4,141,1,9,3,6,548
,,79,8,1214,11,1100,,,781,,18,5,208,1,12,3,5,527
,,79,9,1326,13,1200,,,795,,18,6,168,0,14,8,11,569
,,79,10,1459,10,1300,,,893,,18,2,243,0,10,4,13,600
,,79,11,1497,11,1350,,,894,,19,5,204,3,14,5,9,633
,,79,12,1348,11,1200,,,796,,16,5,199,0,14,5,12,545
,,79,13,1475,11,1350,,,858,,26,11,164,0,7,4,9,637
,,79,14,1438,13,1300,,,892,,89,3,238,0,17,2,4,539
,,79,15,1468,1240,2600,,,1843,,28,10,1118,1,24,2,4,652
,,79,16,1479,11,1350,,,977,,20,10,272,1,16,4,14,638
,,79,17,1427,10,1300,,,877,,16,6,206,0,22,3,9,615
,,79,18,1501,10,1400,,,868,,16,16,232,1,17,4,11,571
,,79,19,1436,11,1250,,,820,,23,3,212,1,23,6,9,543
,,79,20,1513,10,1350,,,793,,20,8,232,0,13,3,13,472
,,79,21,1516,11,1350,,,825,,14,5,207,3,25,1,8,562
,,79,22,1279,13,1150,,,751,,17,5,234,2,22,2,3,464
,,79,23,1231,12,1100,,,689,,12,2,209,1,17,1,16,430
,,79,24,1417,5,1250,,,767,,22,5,227,1,15,1,9,484
,,79,25,1438,9,1300,,,801,,19,6,206,1,22,2,8,536
,,79,26,1457,8,1300,,,764,,19,0,242,3,24,0,6,470
,,79,27,1298,9,1150,,,735,,15,0,215,0,20,1,10,468
,,79,28,1229,12,1100,,,721,,15,5,217,1,18,4,11,450
,,79,29,1450,10,1350,,,882,,21,8,171,3,22,6,12,638
