"shape","common_id","common_name","Total Turnout (#)","Total Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts Reported (#)","Precincts Reported (%)","Free Georgia","United National Movement","Movement for Fair Georgia","Christian-Democratic Movement","New Rights","Labour","Georgian Dream"
"Country","Georgia","Georgia","177935","58.2502","15","135","151","46",\N,"347","340.1961","0.8408","37.5367","0.4108","3.3434","0.9419","1.2342","55.2522"
"Region","Adjara","Adjara","177935","58.2502","15","135","151","46",\N,"347","340.1961","0.8408","37.5367","0.4108","3.3434","0.9419","1.2342","55.2522"
"District","79","Batumi","77448","57.5873","0","33","60","11",\N,"104","101.9608","0.9516","30.7303","0.3396","2.6444","0.7553","1.5262","62.6201"
"District","80","Keda","10862","68.9607","2","9","17","3",\N,"31","100.0000","0.6076","47.5143","0.9022","5.3397","2.1083","0.8930","42.4231"
"District","83","Khelvachauri","27111","58.1819","4","19","14","7",\N,"44","100.0000","0.5754","31.0981","0.4869","3.2201","0.7857","0.0000","63.2474"
"District","84","Khulo","14372","59.3027","2","26","20","6",\N,"54","100.0000","1.1968","59.7203","0.2505","4.3696","1.7604","1.1550","30.6499"
"District","81","Kobuleti","38686","55.8731","2","28","26","9",\N,"65","101.5625","0.6385","39.3941","0.3179","2.8305","0.4653","1.5406","54.6192"
"District","82","Shuakhevi","9456","62.3870","5","20","14","10",\N,"49","100.0000","1.2479","58.9679","0.8354","7.6671","2.2843","1.6392","26.7026"
"Precinct","1","79-1","753","54.6048",\N,\N,\N,\N,"3.9541",\N,\N,"1.1952","27.6228","0.3984","2.5232","0.7968","0.7968","65.7371"
"Precinct","2","79-2","748","55.9461",\N,\N,\N,\N,"4.5918",\N,\N,"0.9358","30.6150","0.2674","1.3369","0.1337","1.6043","65.1070"
"Precinct","3","79-3","773","52.3004",\N,\N,\N,\N,"2.3990",\N,\N,"1.0349","30.6598","0.6468","1.8111","0.7762","2.3286","60.2846"
"Precinct","4","79-4","688","47.0267",\N,\N,\N,\N,"11.3402",\N,\N,"0.8721","30.3779","0.1453","2.7616","2.0349","2.3256","61.1919"
"Precinct","5","79-5","211","38.7868",\N,\N,\N,\N,"2.7650",\N,\N,"0.9479","36.0190","0.0000","3.3175","0.0000","1.8957","57.8199"
"Precinct","6","79-6","924","62.8571",\N,\N,\N,\N,"5.2308",\N,\N,"0.6494","29.6537","0.0000","1.6234","1.0823","1.2987","65.6926"
