shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Tamaz Bibiluri,Giorgi Liluashvili,Sergo Javakhidze,Koba Davitashvili,Davit Bakradze,Akaki Asatiani,Nino Chanishvili,Teimuraz Bobokhidze,Shalva Natelashvili,Giorgi Targamadze,Levan Chachua,Nestan Kirtadze,Giorgi Chikhladze,Nino Burjanadze,Zurab Kharatishvili,Mikheil Saluashvili,Kartlos Gharibashvili,Mamuka Chokhonelidze,Avtandil Margiani,Nugzar Avaliani,Mamuka Melikishvili,Teimuraz Mzhavia,Giorgi Margvelashvili
Country,Georgia,Georgia,364283,64.5176,36,331,129,43,\N,19,3.5782,7,\N,463,87.194,8.743,\N,\N,\N,\N,11,9,9,29,531,14.5122,0.3176,0.1244,34.6223,0.162,1.5299,0.0217,0.0439,0.1779,0.5902,0.0264,0.0618,0.0275,0.0346,0.9325,0.0818,0.0618,0.0275,0.0346,0.9325,0.0618,0.0275,0.0346,61.1404
Region,Adjara,Adjara,20291,59.1057,4,22,3,3,\N,0,0,\N,\N,31,96.875,6.8065,\N,\N,\N,\N,0,1,0,1,32,9.3023,0.2168,0.069,34.4093,0.2464,2.3163,0.0148,0.0049,0.0493,0.4485,0.0099,0.0542,0.0296,0.0148,1.03,0.0542,0.0542,0.0296,0.0148,1.03,0.0542,0.0296,0.0148,60.8447
Region,Imereti,Imereti,144787,65.2156,27,152,76,15,\N,4,1.5038,4,\N,236,88.7218,6.2966,\N,\N,\N,\N,0,0,3,3,266,44.2596,0.1568,0.1105,35.9715,0.2196,1.8227,0.0359,0.0318,0.0262,0.4206,0.0173,0.0186,0.0193,0.0221,0.9441,0.0663,0.0186,0.0193,0.0221,0.9441,0.0186,0.0193,0.0221,60.0675
Region,Kvemo Kartli,Kvemo Kartli,27157,41.8405,3,11,19,23,\N,10,17.8571,9.4,\N,24,42.8571,4.25,\N,\N,\N,\N,1,0,0,1,56,13.0233,0.1841,0.2393,81.5959,0.4456,1.4729,0.0331,0.0479,0.0221,0.8396,0.0221,0.0331,0.0921,0.0147,0.1399,0.0184,0.0331,0.0921,0.0147,0.1399,0.0331,0.0921,0.0147,14.4088
Region,Tbilisi,Tbilisi,172048,70.692,2,146,31,2,\N,5,2.8249,4.6,\N,172,97.1751,13.0756,\N,\N,\N,\N,10,8,6,24,177,24.4475,0.4859,0.1244,26.0974,0.0587,1.1997,0.0087,0.0581,0.3453,0.7103,0.0366,0.1035,0.0238,0.0506,1.0363,0.1081,0.1035,0.0238,0.0506,1.0363,0.1035,0.0238,0.0506,69.4545
District,79,Batumi,17249,58.0169,2,20,2,2,\N,0,0,\N,\N,25,96.1538,7.08,\N,\N,\N,\N,0,1,0,1,26,25.4902,0.2319,0.0696,32.7671,0.2145,2.0407,0.0116,0.0058,0.0522,0.3478,0.0058,0.0406,0.0348,0.0174,1.0609,0.058,0.0406,0.0348,0.0174,1.0609,0.0406,0.0348,0.0174,62.821
District,80,Keda,3042,66.1448,2,2,1,1,\N,0,0,\N,\N,6,100,5.6667,\N,\N,\N,\N,0,0,0,0,6,19.3548,0.1315,0.0657,43.7212,0.4274,3.879,0.0329,0,0.0329,1.0191,0.0329,0.1315,0,0,0.8547,0.0329,0.1315,0,0,0.8547,0.1315,0,0,49.6384
District,56,Chiatura,28993,64.1907,9,37,11,3,\N,3,5.1724,4,\N,47,81.0345,3.8936,\N,\N,\N,\N,0,0,0,0,58,100,0.1552,0.0759,22.4261,0.1449,1.2762,0.0241,0.0103,0.031,0.1069,0.0103,0.0138,0.0138,0.0172,0.5932,0.0759,0.0138,0.0138,0.0172,0.5932,0.0138,0.0138,0.0172,74.9319
District,55,Khoni,15940,65.3145,4,10,13,2,\N,0,0,\N,\N,27,93.1034,6.3704,\N,\N,\N,\N,0,0,1,1,29,100,0.1129,0.1882,48.3312,0.3011,1.6625,0.069,0.0753,0.0627,0.4203,0.0251,0.0251,0.0502,0.0125,0.941,0.0816,0.0251,0.0502,0.0125,0.941,0.0251,0.0502,0.0125,47.6035
District,50,Sachkhere,22010,75.8077,10,20,0,0,\N,0,0,\N,\N,21,70,2.0952,\N,\N,\N,\N,0,0,0,0,30,57.6923,0.0727,0.0409,5.1159,0.0363,0.4907,0.0091,0.0091,0,0.0591,0,0.0091,0.0136,0,0.1681,0.0545,0.0091,0.0136,0,0.1681,0.0091,0.0136,0,93.9073
District,54,Samtredia,23456,64.9787,2,27,11,0,\N,1,2.5,4,\N,37,92.5,6.7297,\N,\N,\N,\N,0,0,0,0,40,80,0.2089,0.0981,43.0039,0.2132,1.684,0.0171,0.0256,0.0256,0.3027,0.0213,0.0256,0.0213,0.0298,0.9422,0.0426,0.0256,0.0213,0.0298,0.9422,0.0256,0.0213,0.0298,53.287
District,49,Terjola,18492,69.0309,0,21,5,0,\N,0,0,\N,\N,26,100,8.2308,\N,\N,\N,\N,0,0,1,1,26,78.7879,0.2001,0.1027,48.2749,0.1947,2.5579,0.0433,0.0433,0.0216,0.6706,0.0108,0.0216,0.0216,0.0324,1.0275,0.0595,0.0216,0.0216,0.0324,1.0275,0.0216,0.0216,0.0324,46.6959
District,57,Tkibuli,14554,60.5357,1,18,14,4,\N,0,0,\N,\N,34,91.8919,5.1471,\N,\N,\N,\N,0,0,0,0,37,100,0.2061,0.1443,47.5333,0.3916,2.1575,0.0687,0.0206,0.0206,1.1818,0.0344,0.0206,0.0137,0.0137,1.1887,0.0756,0.0206,0.0137,0.0137,1.1887,0.0206,0.0137,0.0137,46.8462
District,58,Tskaltubo,21342,58.5049,1,19,22,6,\N,0,0,\N,\N,44,95.6522,10.2045,\N,\N,\N,\N,0,0,1,1,46,68.6567,0.1499,0.1687,50.6888,0.3608,3.3455,0.0469,0.0562,0.0281,0.6138,0.0281,0.0187,0.0094,0.0469,1.9867,0.0797,0.0187,0.0094,0.0469,1.9867,0.0187,0.0094,0.0469,42.339
District,22,Marneuli,27157,41.8405,3,11,19,23,\N,10,17.8571,9.4,\N,24,42.8571,4.25,\N,\N,\N,\N,1,0,0,1,56,65.1163,0.1841,0.2393,81.5959,0.4456,1.4729,0.0331,0.0479,0.0221,0.8396,0.0221,0.0331,0.0921,0.0147,0.1399,0.0184,0.0331,0.0921,0.0147,0.1399,0.0331,0.0921,0.0147,14.4088
District,999,Tbilisi,172048,70.692,2,146,31,2,\N,5,2.8249,4.6,\N,172,97.1751,13.0756,\N,\N,\N,\N,10,8,6,24,177,24.4475,0.4859,0.1244,26.0974,0.0587,1.1997,0.0087,0.0581,0.3453,0.7103,0.0366,0.1035,0.0238,0.0506,1.0363,0.1081,0.1035,0.0238,0.0506,1.0363,0.1035,0.0238,0.0506,69.4545
Precinct,28,22-28,128,30.5489,\N,\N,\N,\N,0,\N,\N,\N,0,\N,\N,\N,0,0.4667,0.0533,0,\N,\N,\N,\N,\N,\N,0,0,85.1563,0,0.7813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0625
Precinct,29,22-29,678,38.8316,\N,\N,\N,\N,7.6294,\N,\N,\N,5,\N,\N,\N,0,1.3208,1.01,0.6333,\N,\N,\N,\N,\N,\N,0.295,0,83.6283,0.4425,0.59,0,0,0,0.59,0,0.295,0,0,0,0,0.295,0,0,0,0.295,0,0,12.8319
Precinct,30,22-30,687,40.8442,\N,\N,\N,\N,4.9793,\N,\N,\N,0,\N,\N,\N,0,0.975,1.1533,0.7944,\N,\N,\N,\N,\N,\N,0,0.2911,93.8865,0.2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5313
Precinct,31,22-31,770,44.586,\N,\N,\N,\N,7.563,\N,\N,\N,0,\N,\N,\N,2,0.5625,1.85,0.7944,\N,\N,\N,\N,\N,\N,0.2597,0.1299,93.2468,0.2597,0.2597,0.1299,0,0,0,0.1299,0.1299,0,0,0,0,0.1299,0,0,0,0.1299,0,0,5.4545
Precinct,32,22-32,1053,65.1609,\N,\N,\N,\N,0.4726,\N,\N,\N,0,\N,\N,\N,1,2.075,1.1167,1.25,\N,\N,\N,\N,\N,\N,0,0,98.4805,0,0.095,0,0,0,0.095,0,0,0,0,0.095,0,0,0,0,0.095,0,0,0,1.2346
Precinct,33,22-33,230,47.4227,\N,\N,\N,\N,4.9587,\N,\N,\N,0,\N,\N,\N,3,0.5917,0.25,0.1389,\N,\N,\N,\N,\N,\N,0.4348,0,85.2174,0.8696,0,0,0.4348,0,0,0,0,0.4348,0,0.4348,0,0,0.4348,0,0.4348,0,0.4348,0,12.1739
Precinct,34,22-34,317,30.0474,\N,\N,\N,\N,8.908,\N,\N,\N,0,\N,\N,\N,0,0.8417,0.4,0.1444,\N,\N,\N,\N,\N,\N,0.3155,0.6309,79.4953,0.3155,0.6309,0.3155,0,0,0,0,0,0,0,0,0.6309,0,0,0,0,0,0,0,17.6656
Precinct,35,22-35,326,25.6895,\N,\N,\N,\N,5.7803,\N,\N,\N,0,\N,\N,\N,1,0.6583,0.3467,0.4667,\N,\N,\N,\N,\N,\N,0,0.3067,65.6442,1.227,0.6135,0,0,0,0,0,0,0,0,0.3067,0.3067,0,0,0,0.3067,0,0,0,31.5951
Precinct,36,22-36,330,25.6809,\N,\N,\N,\N,9.8361,\N,\N,\N,0,\N,\N,\N,2,0.6958,0.4433,0.3667,\N,\N,\N,\N,\N,\N,0.9091,0.6061,84.2424,0.303,0.6061,0,0,0,0.303,0.303,0,0,0.303,0,0,0,0,0.303,0,0,0,0.303,12.4242
Precinct,37,22-37,636,42.7132,\N,\N,\N,\N,4.2169,\N,\N,\N,0,\N,\N,\N,3,1.3875,0.9033,0.3333,\N,\N,\N,\N,\N,\N,0.3145,0.1572,89.9371,0.1572,0.6289,0,0.4717,0.1572,0,0,0,0.1572,0,0.1572,0,0,0.1572,0,0.1572,0,0.1572,0,7.8616
Precinct,38,22-38,498,45.3139,\N,\N,\N,\N,6.7416,\N,\N,\N,1,\N,\N,\N,0,1.05,0.6067,0.5556,\N,\N,\N,\N,\N,\N,0,0,86.9478,0,0.6024,0,0,0,0.2008,0.2008,0.2008,0,0,0,0,0.2008,0,0,0,0.2008,0,0,11.245
Precinct,39,22-39,423,48.7327,\N,\N,\N,\N,4.0816,\N,\N,\N,0,\N,\N,\N,3,1.0375,0.4767,0.2722,\N,\N,\N,\N,\N,\N,0.2364,0.4728,82.9787,0.9456,0.4728,0.2364,0.2364,0,0,0,0,0.2364,0,0.2364,0,0,0.2364,0,0.2364,0,0.2364,0,13.948
Precinct,40,22-40,679,51.9113,\N,\N,\N,\N,3,\N,\N,\N,0,\N,\N,\N,0,1.375,0.95,0.4722,\N,\N,\N,\N,\N,\N,0.1473,0.1473,90.2798,0.2946,0.2946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8365
Precinct,41,22-41,644,41.3085,\N,\N,\N,\N,5.7101,\N,\N,\N,0,\N,\N,\N,0,1.375,0.9733,0.3389,\N,\N,\N,\N,\N,\N,0,0.3106,81.2112,0.1553,0.6211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7019
Precinct,42,22-42,504,38.4733,\N,\N,\N,\N,4,\N,\N,\N,0,\N,\N,\N,2,1.3667,0.4533,0.3389,\N,\N,\N,\N,\N,\N,0,0.1984,73.6111,0.1984,0,0,0,0,0,0,0,0,0,0.3968,0,0,0,0,0.3968,0,0,0,25.5952
Precinct,43,22-43,455,36.0825,\N,\N,\N,\N,4.2105,\N,\N,\N,40,\N,\N,\N,0,0.7583,0.5867,0.65,\N,\N,\N,\N,\N,\N,0.6593,0.4396,76.7033,0.8791,0.4396,0.2198,0.4396,0.2198,0.2198,0,0,0.2198,0,0,0,0,0.2198,0,0,0,0.2198,0,10.3297
Precinct,44,22-44,542,39.562,\N,\N,\N,\N,3.9007,\N,\N,\N,0,\N,\N,\N,0,1.3333,0.51,0.5056,\N,\N,\N,\N,\N,\N,0,0,88.5609,0.369,0.5535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5166
Precinct,45,22-45,175,49.7159,\N,\N,\N,\N,6.4171,\N,\N,\N,0,\N,\N,\N,0,0.5833,0.1333,0.0389,\N,\N,\N,\N,\N,\N,0,0,90.8571,0,1.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4286
Precinct,46,22-46,468,49.3671,\N,\N,\N,\N,3.1056,\N,\N,\N,0,\N,\N,\N,7,0.9,0.6733,0.3611,\N,\N,\N,\N,\N,\N,0,0.2137,59.8291,0.4274,0.4274,0,0,0,0.2137,0,0.2137,0.2137,0,0.641,0,0.2137,0.2137,0,0.641,0.2137,0.2137,0,37.8205
Precinct,47,22-47,332,30.9701,\N,\N,\N,\N,7.7778,\N,\N,\N,0,\N,\N,\N,0,0.8167,0.36,0.3111,\N,\N,\N,\N,\N,\N,0.3012,0,88.5542,0.3012,0.6024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.241
Precinct,48,22-48,602,35.7058,\N,\N,\N,\N,11.9883,\N,\N,\N,0,\N,\N,\N,4,1.5833,0.7333,0.4667,\N,\N,\N,\N,\N,\N,0.1661,0.4983,71.9269,0.8306,0.6645,0,0.4983,0.1661,7.1429,0,0,0.3322,0,0,0.1661,0,0.3322,0,0,0,0.3322,0,17.608
Precinct,49,22-49,636,39.7997,\N,\N,\N,\N,8.3573,\N,\N,\N,0,\N,\N,\N,12,1.0917,1.0267,0.6889,\N,\N,\N,\N,\N,\N,0.4717,0,67.7673,0,0.3145,0,0,0,4.8742,0,0,0.9434,0,0,0,0,0.9434,0,0,0,0.9434,0,25.6289
Precinct,50,22-50,648,45.5696,\N,\N,\N,\N,6.2229,\N,\N,\N,0,\N,\N,\N,8,1.3458,0.9233,0.5056,\N,\N,\N,\N,\N,\N,0,0.6173,67.284,0.463,0.463,0,0,0,6.4815,0,0,0.463,0.1543,0,0,0,0.463,0.1543,0,0,0.463,0.1543,24.0741
Precinct,51,22-51,377,43.2339,\N,\N,\N,\N,3.0848,\N,\N,\N,0,\N,\N,\N,0,1.0083,0.25,0.4,\N,\N,\N,\N,\N,\N,0,0.2653,89.6552,0.2653,1.5915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2228
Precinct,52,22-52,621,49.4427,\N,\N,\N,\N,5.6231,\N,\N,\N,0,\N,\N,\N,0,1.9458,0.43,0.3444,\N,\N,\N,\N,\N,\N,0.4831,0.161,85.5072,0,0.4831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3655
Precinct,53,22-53,637,31.4723,\N,\N,\N,\N,4.7833,\N,\N,\N,0,\N,\N,\N,0,1.5292,0.8067,0.3333,\N,\N,\N,\N,\N,\N,0,0.314,81.0047,0.157,0.6279,0,0,0,0,0,0,0,0,0.157,0.157,0,0,0,0.157,0,0,0,17.4254
Precinct,54,22-54,586,66.2896,\N,\N,\N,\N,0.3401,\N,\N,\N,0,\N,\N,\N,0,1.2667,0.59,0.5944,\N,\N,\N,\N,\N,\N,0.5119,0.3413,85.8362,0.3413,5.1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8498
Precinct,55,22-55,672,42.3707,\N,\N,\N,\N,2.0408,\N,\N,\N,0,\N,\N,\N,5,1.4875,0.7133,0.6389,\N,\N,\N,\N,\N,\N,0.1488,0.1488,82.2917,0.744,3.4226,0.1488,0,0,0,0,0,0,0,0.744,0,0,0,0,0.744,0,0,0,12.3512
Precinct,56,22-56,445,33.2586,\N,\N,\N,\N,4.9145,\N,\N,\N,12,\N,\N,\N,0,0.9125,0.5367,0.4889,\N,\N,\N,\N,\N,\N,0.4494,0.2247,73.7079,0.4494,4.0449,0,0,0.4494,1.1236,0.2247,0,0,0,0,0,0,0,0,0,0,0,0,16.6292
Precinct,57,22-57,488,53.5675,\N,\N,\N,\N,1.6129,\N,\N,\N,0,\N,\N,\N,0,0.6667,0.7833,0.5611,\N,\N,\N,\N,\N,\N,0.4098,0,77.8689,0,8.6066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1148
Precinct,58,22-58,688,49.5677,\N,\N,\N,\N,2.4113,\N,\N,\N,0,\N,\N,\N,0,1.3333,1.2333,0.0833,\N,\N,\N,\N,\N,\N,0,0.1453,95.0581,0.436,0.7267,0,0,0,0.2907,0,0,0,0,0,0,0,0,0,0,0,0,0,3.343
Precinct,59,22-59,586,49.7876,\N,\N,\N,\N,3.1405,\N,\N,\N,0,\N,\N,\N,2,1.3,0.6967,0.4667,\N,\N,\N,\N,\N,\N,0.5119,0.1706,80.8874,0.6826,1.1945,0,0,0.1706,0,0,0,0,0,0.3413,0,0,0,0,0.3413,0,0,0,16.041
Precinct,60,22-60,227,53.7915,\N,\N,\N,\N,4.2194,\N,\N,\N,0,\N,\N,\N,4,0.6208,0.2567,0.0611,\N,\N,\N,\N,\N,\N,0,0.4405,62.1145,0,0.8811,0,0,0,0,0,0,0,0.4405,0.8811,0,0,0,0.4405,0.8811,0,0,0.4405,35.2423
