"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","Non-Parliamentary Opposition","Armed Veterans Patriots","United Opposition","United National Movement","Greens Party","Alliance of Patriots","Self-governance to People","Reformers","Future Georgia","Georgian Party","Christian Democrats","Unity Hall","Way of Georgia","Labour Party","Party of People","Merab Kostava Society","Georgian Dream"
"Country","Georgia","Georgia","886698","45.8995","128","547","779","962",\N,"574","23.5923","5.7091",\N,"17","0.6987","1.4706",\N,\N,\N,\N,"2","1","3","6","2433","66.4936","2.8128","0.5542","10.2837","20.5489","0.5340","4.1247","0.5241","0.0253","0.0195","0.8496","0.1110","0.1168","1.6132","0.4139","0.2924","0.3522","56.4570"
"Region","Adjara","Adjara","82074","48.4750","27","68","83","65",\N,"42","17.2131","4.2857",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","244","70.9302","0.5909","0.0000","10.2347","19.9174","0.0000","13.5524","0.0000","0.0000","0.0000","0.0000","0.0000","1.1465","0.6896","1.5730","0.0000","0.0000","52.0762"
"Region","Guria","Guria","53692","55.3994","2","29","33","61",\N,"22","17.6000","1.8636",\N,"1","0.8000","1.0000",\N,\N,\N,\N,"0","0","0","0","125","90.5797","4.7586","0.0000","3.1625","16.8293","0.0000","17.3117","0.0652","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","57.7982"
"Region","Imereti","Imereti","189713","48.0647","12","118","183","162",\N,"96","20.0418","3.7813",\N,"4","0.8351","1.2500",\N,\N,\N,\N,"0","0","1","1","479","79.7005","3.5427","0.9699","11.2133","22.0480","0.0000","1.2076","0.8376","0.0680","0.0000","0.0000","0.0000","0.0000","4.0008","0.1555","0.0000","0.0000","55.7679"
"Region","Kakheti","Kakheti","129883","44.9402","5","67","109","111",\N,"108","36.9863","3.6574",\N,"6","2.0548","1.8333",\N,\N,\N,\N,"1","0","0","1","292","95.4248","1.9063","0.4181","15.1098","20.3121","0.8831","2.0950","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.4150","0.0000","0.4866","0.6298","57.4486"
"Region","Kvemo Kartli","Kvemo Kartli","101351","35.2591","25","47","89","181",\N,"86","24.7839","5.1163",\N,"2","0.5764","1.0000",\N,\N,\N,\N,"0","0","1","1","347","80.6977","0.1618","2.4973","12.5623","24.7033","0.0000","0.2555","0.0000","0.0000","0.1707","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","59.2170"
"Region","Mtskheta-Mtianeti","Mtskheta-Mtianeti","35677","44.9010","6","22","31","62",\N,"30","24.3902","3.0333",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","1","1","123","97.6190","0.6951","0.0000","12.9523","8.4929","1.8976","12.1030","0.9362","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1464","4.0586","6.4607","51.0020"
"Region","Racha-Lechkhumi and Kvemo Svaneti","Racha-Lechkhumi and Kvemo Svaneti","19875","59.3443","11","41","38","32",\N,"5","4.0984","1.6000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","122","98.3871","1.5245","0.0000","6.4553","18.3396","0.1258","1.1321","0.0000","0.0000","0.0000","0.0000","4.9509","0.0000","0.0000","0.0000","0.0000","0.0000","67.4314"
"Region","Samegrelo-Zemo Svaneti","Samegrelo-Zemo Svaneti","130571","51.0849","15","73","105","104",\N,"70","23.4114","14.4571",\N,"2","0.6689","1.5000",\N,\N,\N,\N,"1","1","0","2","299","80.1609","3.5590","0.0000","9.4600","26.9034","0.6242","1.2989","0.5177","0.0728","0.0000","0.0000","0.0000","0.0728","0.7743","0.4580","0.3929","0.0000","55.0934"
"Region","Samtskhe-Javakheti","Samtskhe-Javakheti","64616","49.5514","22","43","58","75",\N,"48","24.1206","5.0000",\N,"2","1.0050","1.5000",\N,\N,\N,\N,"0","0","0","0","199","93.8679","9.9712","0.0000","6.0774","13.5168","0.0000","3.1974","3.1153","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.6668","0.0000","0.0000","62.0883"
"Region","Shida Kartli","Shida Kartli","79246","40.5373","3","39","50","109",\N,"67","33.0049","7.5672",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","203","86.7521","1.1344","0.0000","6.6552","16.4551","2.6134","3.2557","0.0000","0.0000","0.0000","9.5058","0.0000","0.0000","5.8022","0.0000","0.0000","0.0000","53.9384"
"District","80","Keda","9989","63.7094","3","14","12","2",\N,"5","16.1290","8.4000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","31","100.0000","1.6718","0.0000","22.5348","21.1232","0.0000","2.2725","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","51.9772"
"District","83","Khelvachauri","18610","39.8339","1","11","19","14",\N,"14","31.1111","5.3571",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","45","102.2727","1.7088","0.0000","14.7018","19.4895","0.0000","3.8581","0.0000","0.0000","0.0000","0.0000","0.0000","2.2891","0.0000","2.6867","0.0000","0.0000","54.8630"
"District","84","Khulo","13647","57.0646","9","14","22","9",\N,"3","5.5556","2.6667",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","54","100.0000","0.0000","0.0000","3.9349","10.8595","0.0000","31.6919","0.0000","0.0000","0.0000","0.0000","0.0000","3.7737","0.0000","0.0000","0.0000","0.0000","49.6812"
"District","81","Kobuleti","31229","45.9845","0","13","20","31",\N,"15","23.0769","2.6000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","65","101.5625","0.0000","0.0000","7.3489","23.6415","0.0000","18.7422","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.8124","2.5329","0.0000","0.0000","45.7972"
"District","82","Shuakhevi","8599","56.9961","14","16","10","9",\N,"5","10.2041","3.2000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","49","100.0000","0.0000","0.0000","6.7566","20.2931","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","72.7643"
"District","62","Chokhatauri","11545","61.9002","1","22","8","7",\N,"4","10.5263","1.7500",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","38","100.0000","0.0000","0.0000","5.4742","15.3919","0.0000","25.1451","0.3032","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","53.6249"
"District","61","Lanchkhuti","17271","57.7838","1","5","18","14",\N,"8","21.0526","2.1250",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","38","100.0000","0.0000","0.0000","6.1722","12.3560","0.0000","37.0100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","44.3634"
"District","60","Ozurgeti","24876","51.4201","0","2","7","40",\N,"10","20.4082","1.7000",\N,"1","2.0408","1.0000",\N,\N,\N,\N,"0","0","0","0","49","79.0323","10.2709","0.0000","0.0000","20.6022","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","69.0626"
"District","52","Bagdati","12117","52.8573","1","4","5","20",\N,"7","22.5806","19.5714",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","31","110.7143","0.0000","4.0439","12.1482","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","35.6359","2.4346","0.0000","0.0000","44.6068"
"District","56","Chiatura","18760","42.1176","2","18","21","17",\N,"6","10.3448","3.1667",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","58","100.0000","6.6684","0.0000","0.0000","22.9211","0.0000","3.6834","0.0000","0.6876","0.0000","0.0000","0.0000","0.0000","10.1812","0.0000","0.0000","0.0000","55.7569"
"District","48","Kharagauli","12102","59.9584","2","5","20","10",\N,"4","10.8108","1.5000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","37","100.0000","15.3941","0.0000","0.0000","20.1289","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","64.4274"
