"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","United Opposition","United National Movement","Greens Party","Alliance of Patriots","Georgian Party","Way of Georgia","Georgian Dream"
"Country","Georgia","Georgia","181588","41.5778","65","346","85","18",\N,"50","9.7276","1.9800",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","514","14.0476","6.8556","13.0868","0.0000","6.0626","4.8682","2.4269","66.6454"
"Region","Adjara","Adjara","29093","31.6665","23","70","21","5",\N,"5","4.2017","2.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","119","34.5930","0.0000","15.1033","0.0000","14.7046","0.0000","0.0000","70.1578"
"Region","Guria","Guria","15340","51.2735","2","32","4","0",\N,"1","2.6316","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","38","27.5362","0.0000","0.0000","0.0000","43.8787","0.0000","0.0000","56.1147"
"Region","Imereti","Imereti","52631","50.4859","17","97","11","4",\N,"12","9.3023","1.7500",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","129","21.4642","5.6070","25.0841","0.0000","0.0000","0.0000","8.3734","60.8957"
"Region","Kakheti","Kakheti","39400","40.6638","13","67","14","3",\N,"11","11.3402","2.1818",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","97","31.6993","15.1345","15.6548","0.0000","0.0000","0.0000","0.0000","69.1497"
"Region","Mtskheta-Mtianeti","Mtskheta-Mtianeti","6018","55.1806","4","14","2","0",\N,"1","5.0000","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","20","15.8730","35.4935","0.0000","0.0000","0.0000","0.0000","0.0000","64.4899"
"Region","Samegrelo-Zemo Svaneti","Samegrelo-Zemo Svaneti","12321","36.5695","2","24","10","3",\N,"5","12.8205","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","39","10.4558","11.3546","0.0000","0.0000","0.0000","0.0000","0.0000","88.6048"
"Region","Shida Kartli","Shida Kartli","26785","38.6994","4","42","23","3",\N,"15","20.8333","2.4667",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","72","30.7692","0.0000","0.0000","0.0000","0.0000","33.0035","0.0000","66.8583"
"District","84","Khulo","10546","44.1015","15","30","6","3",\N,"2","3.7037","1.5000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","54","100.0000","0.0000","0.0000","0.0000","40.5651","0.0000","0.0000","59.4064"
"District","81","Kobuleti","18547","27.2911","8","40","15","2",\N,"3","4.6154","2.3333",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","65","101.5625","0.0000","23.6912","0.0000","0.0000","0.0000","0.0000","76.2711"
"District","61","Lanchkhuti","15340","51.2735","2","32","4","0",\N,"1","2.6316","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","38","100.0000","0.0000","0.0000","0.0000","43.8787","0.0000","0.0000","56.1147"
"District","52","Bagdati","10125","44.1446","2","24","4","0",\N,"3","10.0000","2.3333",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","30","107.1429","0.0000","0.0000","0.0000","0.0000","0.0000","43.5259","56.4049"
"District","55","Khoni","14529","61.7021","6","22","1","0",\N,"4","13.7931","2.2500",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","29","100.0000","0.0000","41.7441","0.0000","0.0000","0.0000","0.0000","58.1940"
"District","49","Terjola","18512","53.5245","4","28","1","0",\N,"1","3.0303","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","33","100.0000","0.0000","38.5534","0.0000","0.0000","0.0000","0.0000","61.4412"
"District","57","Tkibuli","9465","40.8326","5","23","5","4",\N,"4","10.8108","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","37","100.0000","31.1780","0.0000","0.0000","0.0000","0.0000","0.0000","68.7797"
"District","18","Akhmeta","14621","47.9566","3","24","1","1",\N,"4","13.7931","2.2500",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","29","100.0000","40.7838","0.0000","0.0000","0.0000","0.0000","0.0000","59.1546"
"District","16","Kvareli","11443","39.1656","5","22","3","0",\N,"2","6.6667","4.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","30","100.0000","0.0000","20.0385","0.0000","0.0000","0.0000","0.0000","79.8916"
"District","17","Telavi","13336","35.8620","5","21","10","2",\N,"5","13.1579","1.4000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","38","70.3704","0.0000","29.0567","0.0000","0.0000","0.0000","0.0000","70.8908"
"District","19","Tianeti","6018","55.1806","4","14","2","0",\N,"1","5.0000","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","20","100.0000","35.4935","0.0000","0.0000","0.0000","0.0000","0.0000","64.4899"
"District","65","Martvili","12321","36.5695","2","24","10","3",\N,"5","12.8205","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","39","100.0000","11.3546","0.0000","0.0000","0.0000","0.0000","0.0000","88.6048"
"District","32","Gori","26785","38.6994","4","42","23","3",\N,"15","20.8333","2.4667",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","72","68.5714","0.0000","0.0000","0.0000","0.0000","33.0035","0.0000","66.8583"
"Precinct","1","16-1","561","42.3077",\N,\N,\N,\N,"2.6042",\N,\N,\N,"0",\N,\N,\N,"0","0.8583","0.6633","0.9500",\N,\N,\N,\N,\N,\N,"0.0000","17.6471","0.0000","0.0000","0.0000","0.0000","82.3529"
"Precinct","2","16-2","606","43.4097",\N,\N,\N,\N,"2.1002",\N,\N,\N,"0",\N,\N,\N,"0","1.1750","0.7133","0.6833",\N,\N,\N,\N,\N,\N,"0.0000","17.1617","0.0000","0.0000","0.0000","0.0000","82.8383"
"Precinct","3","16-3","564","44.4094",\N,\N,\N,\N,"3.0928",\N,\N,\N,"7",\N,\N,\N,"0","0.8167","0.8600","0.7111",\N,\N,\N,\N,\N,\N,"0.0000","20.7447","0.0000","0.0000","0.0000","0.0000","78.0142"
"Precinct","4","16-4","460","37.3680",\N,\N,\N,\N,"2.3355",\N,\N,\N,"0",\N,\N,\N,"0","0.7583","0.5933","0.6167",\N,\N,\N,\N,\N,\N,"0.0000","22.6087","0.0000","0.0000","0.0000","0.0000","77.3913"
"Precinct","5","16-5","499","36.0029",\N,\N,\N,\N,"3.4816",\N,\N,\N,"0",\N,\N,\N,"0","0.9292","0.5933","0.6444",\N,\N,\N,\N,\N,\N,"0.0000","27.4549","0.0000","0.0000","0.0000","0.0000","72.5451"
"Precinct","6","16-6","345","47.7178",\N,\N,\N,\N,"0.5764",\N,\N,\N,"0",\N,\N,\N,"0","0.4292","0.5733","0.4000",\N,\N,\N,\N,\N,\N,"0.0000","28.6957","0.0000","0.0000","0.0000","0.0000","71.3043"
"Precinct","7","16-7","283","42.8788",\N,\N,\N,\N,"1.0490",\N,\N,\N,"0",\N,\N,\N,"0","0.2708","0.4300","0.5111",\N,\N,\N,\N,\N,\N,"0.0000","12.0141","0.0000","0.0000","0.0000","0.0000","87.9859"
"Precinct","8","16-8","498","33.2665",\N,\N,\N,\N,"1.5810",\N,\N,\N,"0",\N,\N,\N,"0","0.6208","0.6433","0.9111",\N,\N,\N,\N,\N,\N,"0.0000","21.4859","0.0000","0.0000","0.0000","0.0000","78.5141"
"Precinct","9","16-9","402","25.8854",\N,\N,\N,\N,"2.1898",\N,\N,\N,"0",\N,\N,\N,"0","0.5208","0.3900","0.9389",\N,\N,\N,\N,\N,\N,"0.0000","15.4229","0.0000","0.0000","0.0000","0.0000","84.5771"
"Precinct","10","16-10","310","24.5447",\N,\N,\N,\N,"1.8987",\N,\N,\N,"0",\N,\N,\N,"0","0.4250","0.4600","0.4222",\N,\N,\N,\N,\N,\N,"0.0000","22.5806","0.0000","0.0000","0.0000","0.0000","77.4194"
"Precinct","11","16-11","222","83.7736",\N,\N,\N,\N,"0.8929",\N,\N,\N,"0",\N,\N,\N,"0","0.1958","0.4433","0.2444",\N,\N,\N,\N,\N,\N,"0.0000","6.3063","0.0000","0.0000","0.0000","0.0000","93.6937"
"Precinct","12","16-12","229","59.7911",\N,\N,\N,\N,"2.1368",\N,\N,\N,"0",\N,\N,\N,"0","0.3208","0.2500","0.4556",\N,\N,\N,\N,\N,\N,"0.0000","6.5502","0.0000","0.0000","0.0000","0.0000","93.4498"
"Precinct","13","16-13","99","35.1064",\N,\N,\N,\N,"0.0000",\N,\N,\N,"0",\N,\N,\N,"0","0.1792","0.1167","0.1167",\N,\N,\N,\N,\N,\N,"0.0000","24.2424","0.0000","0.0000","0.0000","0.0000","75.7576"
"Precinct","14","16-14","284","35.5000",\N,\N,\N,\N,"0.6993",\N,\N,\N,"0",\N,\N,\N,"0","0.4375","0.3400","0.4389",\N,\N,\N,\N,\N,\N,"0.0000","17.6056","0.0000","0.0000","0.0000","0.0000","82.3944"
"Precinct","15","16-15","147","36.4764",\N,\N,\N,\N,"2.0000",\N,\N,\N,"0",\N,\N,\N,"0","0.2000","0.2233","0.1944",\N,\N,\N,\N,\N,\N,"0.0000","21.7687","0.0000","0.0000","0.0000","0.0000","78.2313"
"Precinct","16","16-16","216","54.1353",\N,\N,\N,\N,"1.3699",\N,\N,\N,"0",\N,\N,\N,"0","0.4042","0.2233","0.3056",\N,\N,\N,\N,\N,\N,"0.0000","16.6667","0.0000","0.0000","0.0000","0.0000","83.3333"
"Precinct","17","16-17","249","52.5316",\N,\N,\N,\N,"2.3529",\N,\N,\N,"0",\N,\N,\N,"0","0.3208","0.3467","0.4111",\N,\N,\N,\N,\N,\N,"0.0000","26.9076","0.0000","0.0000","0.0000","0.0000","73.0924"
