"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","Non-Parliamentary Opposition","Armed Veterans Patriots","United Opposition","United National Movement","Greens Party","Name of the Lord","Alliance of Patriots","Self-governance to People","Peoples Party","Reformers","Our Georgia","Future Georgia","Georgian Party","Peoples Movement","Christian Democrats","Unity Hall","Way of Georgia","Freedom","Labour Party","Party of People","Merab Kostava Society","Labour Council","Georgian Dream"
"Country","Georgia","Georgia","1418452","41.3573","136","767","1558","1145",\N,"926","25.4605","3.1296",\N,"69","1.8972","2.5217",\N,\N,\N,\N,"1","1","7","9","3637","99.3987","2.2366","0.9440","10.2006","22.3762","0.6332","0.1541","4.7097","0.7348","0.0511","0.2228","0.2563","0.0263","0.7990","0.0028","0.1841","0.3063","1.2090","0.0613","3.4447","0.3355","0.1624","0.0376","50.7194"
"Region","Adjara","Adjara","128825","42.7154","24","121","151","47",\N,"70","20.1729","3.1429",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","347","100.8721","1.0860","0.3183","10.5026","20.1979","0.2732","0.0000","9.2125","0.5830","0.5628","0.4681","0.0000","0.0000","0.0000","0.0000","0.0000","2.8302","2.2798","0.0000","2.5500","0.5643","0.0644","0.1149","48.2212"
"Region","Guria","Guria","61267","54.6578","2","21","54","61",\N,"34","24.6377","2.5000",\N,"2","1.4493","1.5000",\N,\N,\N,\N,"0","0","0","0","138","100.0000","1.7987","1.2845","8.4009","15.1419","0.0000","0.0000","12.4292","0.5092","0.0000","0.2726","0.0000","0.0000","0.0000","0.0000","0.0000","0.0604","0.9418","0.0000","3.3427","0.6349","0.2775","0.0000","54.7717"
"Region","Imereti","Imereti","235748","43.0009","18","146","278","156",\N,"143","23.6755","2.1189",\N,"16","2.6490","4.1250",\N,\N,\N,\N,"0","0","2","2","604","100.4992","2.3092","0.5527","10.7208","23.6435","0.0348","0.0000","2.5943","1.0520","0.0000","0.0636","0.0000","0.0000","0.0000","0.0000","0.2308","0.0000","1.5483","0.0000","3.0490","0.2320","0.0000","0.0000","53.8685"
"Region","Kakheti","Kakheti","137917","44.8073","10","75","125","98",\N,"93","30.1948","2.3118",\N,"11","3.5714","2.0000",\N,\N,\N,\N,"0","0","0","0","308","100.6536","1.8439","0.5424","13.6147","20.1324","0.6431","0.0000","2.6777","0.8882","0.0000","0.0000","0.0000","0.0000","0.0000","0.0290","0.0442","0.0000","0.5844","0.0000","4.2692","0.2625","0.5467","0.0000","53.7816"
"Region","Kvemo Kartli","Kvemo Kartli","137971","35.2055","18","62","114","234",\N,"110","25.4042","3.8455",\N,"1","0.2309","1.0000",\N,\N,\N,\N,"0","0","1","1","433","100.6977","1.2872","2.1352","8.5453","22.9324","0.2493","0.2776","2.4012","1.2242","0.0000","0.1102","2.1838","0.0000","0.0000","0.0000","0.0978","0.0000","0.5385","0.0000","3.1927","0.0000","0.4559","0.0000","54.0628"
"Region","Mtskheta-Mtianeti","Mtskheta-Mtianeti","39448","45.6622","6","26","36","59",\N,"30","23.2558","2.9333",\N,"2","1.5504","1.0000",\N,\N,\N,\N,"0","0","0","0","129","102.3810","1.2219","1.7998","12.7003","9.4732","1.9317","0.0000","9.8053","0.6008","0.0000","0.0000","0.5678","0.0000","0.0000","0.0000","0.0000","0.0000","0.2155","0.0000","9.5341","2.6820","0.0000","0.0000","49.2496"
"Region","Racha-Lechkhumi and Kvemo Svaneti","Racha-Lechkhumi and Kvemo Svaneti","20995","59.0710","13","37","50","27",\N,"7","5.5118","1.7143",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","127","102.4194","3.2674","2.8578","11.9886","15.1989","0.1572","0.0000","1.2050","0.2239","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.0293","0.0000","0.3239","0.0000","3.3198","0.9431","0.0000","0.0000","57.4280"
"Region","Samegrelo-Zemo Svaneti","Samegrelo-Zemo Svaneti","162409","46.8936","18","70","151","131",\N,"87","23.3244","3.9310",\N,"2","0.5362","1.5000",\N,\N,\N,\N,"1","1","0","2","373","100.0000","2.7973","0.4784","9.5912","28.8469","0.5000","0.0000","2.2961","0.3935","0.0000","0.0548","0.0000","0.0000","0.0000","0.0000","0.4396","0.0105","1.0868","0.5357","2.3533","0.4476","0.0000","0.0000","49.9597"
"Region","Samtskhe-Javakheti","Samtskhe-Javakheti","70881","48.7960","16","48","64","83",\N,"41","19.3396","3.7805",\N,"2","0.9434","2.5000",\N,\N,\N,\N,"0","0","0","0","212","100.0000","8.2109","3.4311","6.6717","18.0105","0.0000","0.0000","3.3718","1.7226","0.0000","0.1115","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1100","0.0000","2.2531","0.0000","0.0000","0.0000","55.8951"
