"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","Non-Parliamentary Opposition","Armed Veterans Patriots","United Opposition","United National Movement","Greens Party","Name of the Lord","Alliance of Patriots","Self-governance to People","Peoples Party","Reformers","Our Georgia","Future Georgia","Georgian Party","Unity Hall","Way of Georgia","Labour Party","Party of People","Merab Kostava Society","Labour Council","Georgian Dream"
"Country","Georgia","Georgia","530508","35.4163","7","384","672","124",\N,"350","29.0698","7.5600",\N,"39","3.2392","1.3846",\N,\N,\N,\N,"0","0","2","2","1204","32.9052","2.2388","0.0277","11.3616","25.8989","0.9498","0.2550","5.6830","0.4168","0.2217","0.4128","0.8262","0.0662","0.7223","0.6347","1.4066","2.2480","0.0268","0.0677","0.0826","45.9642"
"Region","Adjara","Adjara","46307","35.0076","2","35","56","7",\N,"37","35.9223","5.0811",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","103","29.9419","1.3410","0.0000","5.9948","17.4639","0.0000","0.0000","7.5820","0.9804","2.5396","2.2049","0.0000","0.0000","0.0000","5.8803","8.1564","2.3992","0.0000","0.0000","0.0000","45.0515"
"Region","Guria","Guria","7132","47.0014","0","0","9","4",\N,"3","23.0769","3.6667",\N,"1","7.6923","1.0000",\N,\N,\N,\N,"0","0","0","0","13","9.4203","2.7902","0.0000","11.8901","9.2681","0.0000","0.0000","21.9574","0.2243","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.3864","2.5238","0.0000","0.0000","0.0000","33.8194"
"Region","Imereti","Imereti","45635","29.7225","0","37","70","16",\N,"26","20.8000","9.5385",\N,"7","5.6000","1.1429",\N,\N,\N,\N,"0","0","0","0","125","20.7987","1.8297","0.0000","13.4261","26.0042","0.0000","0.0000","3.6222","1.3170","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6471","0.0000","0.0000","0.0000","50.6278"
"Region","Kakheti","Kakheti","7649","40.7143","0","5","10","1",\N,"7","43.7500","13.5714",\N,"1","6.2500","2.0000",\N,\N,\N,\N,"0","0","0","0","16","5.2288","9.7006","0.0000","12.9429","21.9898","4.6542","0.0000","4.4842","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3532","0.0000","0.0000","0.0000","42.6592"
"Region","Kvemo Kartli","Kvemo Kartli","36390","34.8376","0","16","54","14",\N,"21","24.4186","4.3333",\N,"1","1.1628","2.0000",\N,\N,\N,\N,"0","0","0","0","86","20.0000","2.0720","0.0000","6.2792","29.1591","0.0000","0.7997","4.3116","0.0000","0.0000","0.0000","12.0445","0.0000","0.0000","0.0000","1.5251","3.1767","0.0000","0.0000","0.0000","40.3875"
"Region","Mtskheta-Mtianeti","Mtskheta-Mtianeti","3711","53.5189","0","3","3","0",\N,"3","50.0000","1.3333",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","6","4.7619","0.0000","3.9612","23.8480","1.9402","25.5726","0.0000","7.1409","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.8265","0.0000","0.0000","33.6028"
"Region","Racha-Lechkhumi and Kvemo Svaneti","Racha-Lechkhumi and Kvemo Svaneti","1100","53.6324","0","0","2","3",\N,"1","20.0000","2.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","5","4.0323","0.0000","0.0000","0.0000","17.1818","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","82.6364"
"Region","Samegrelo-Zemo Svaneti","Samegrelo-Zemo Svaneti","32418","35.7266","2","25","38","8",\N,"19","25.6757","15.6842",\N,"3","4.0541","1.0000",\N,\N,\N,\N,"0","0","0","0","74","19.8391","2.0267","0.0000","9.3066","25.5537","0.0000","0.0000","10.9754","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","51.2277"
"Region","Samtskhe-Javakheti","Samtskhe-Javakheti","6053","40.7390","0","5","6","2",\N,"7","53.8462","2.5714",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","13","6.1321","0.0000","0.0000","4.3615","30.9103","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","4.1302","0.0000","0.0000","0.0000","0.0000","60.3007"
"Region","Shida Kartli","Shida Kartli","13498","33.3770","0","1","12","19",\N,"11","32.3529","37.0909",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","1","1","34","14.5299","3.1634","0.0000","6.4750","14.4244","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","28.3894","4.7711","0.0000","0.0000","0.0000","0.0000","0.5927","39.1614"
"Region","Tbilisi","Tbilisi","330615","35.9886","3","257","412","50",\N,"215","29.4925","5.9674",\N,"26","3.5665","1.4615",\N,\N,\N,\N,"0","0","1","1","729","100.6906","2.3114","0.0000","12.7665","27.8647","1.1294","0.3212","5.3488","0.3448","0.0000","0.3536","0.0000","0.1062","0.0000","0.0000","0.4960","2.4473","0.0000","0.1086","0.1083","45.9165"
"District","79","Batumi","46307","35.0076","2","35","56","7",\N,"37","35.9223","5.0811",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","103","100.9804","1.3410","0.0000","5.9948","17.4639","0.0000","0.0000","7.5820","0.9804","2.5396","2.2049","0.0000","0.0000","0.0000","5.8803","8.1564","2.3992","0.0000","0.0000","0.0000","45.0515"
"District","60","Ozurgeti","7132","47.0014","0","0","9","4",\N,"3","23.0769","3.6667",\N,"1","7.6923","1.0000",\N,\N,\N,\N,"0","0","0","0","13","20.9677","2.7902","0.0000","11.8901","9.2681","0.0000","0.0000","21.9574","0.2243","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.3864","2.5238","0.0000","0.0000","0.0000","33.8194"
"District","59","Kutaisi","45635","29.7225","0","37","70","16",\N,"26","20.8000","9.5385",\N,"7","5.6000","1.1429",\N,\N,\N,\N,"0","0","0","0","125","99.2063","1.8297","0.0000","13.4261","26.0042","0.0000","0.0000","3.6222","1.3170","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6471","0.0000","0.0000","0.0000","50.6278"
"District","17","Telavi","7649","40.7143","0","5","10","1",\N,"7","43.7500","13.5714",\N,"1","6.2500","2.0000",\N,\N,\N,\N,"0","0","0","0","16","29.6296","9.7006","0.0000","12.9429","21.9898","4.6542","0.0000","4.4842","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3532","0.0000","0.0000","0.0000","42.6592"
"District","20","Rustavi","36390","34.8376","0","16","54","14",\N,"21","24.4186","4.3333",\N,"1","1.1628","2.0000",\N,\N,\N,\N,"0","0","0","0","86","102.3810","2.0720","0.0000","6.2792","29.1591","0.0000","0.7997","4.3116","0.0000","0.0000","0.0000","12.0445","0.0000","0.0000","0.0000","1.5251","3.1767","0.0000","0.0000","0.0000","40.3875"
"District","27","Mtskheta","3711","53.5189","0","3","3","0",\N,"3","50.0000","1.3333",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","6","13.9535","0.0000","3.9612","23.8480","1.9402","25.5726","0.0000","7.1409","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.8265","0.0000","0.0000","33.6028"
"District","44","Ambrolauri","1100","53.6324","0","0","2","3",\N,"1","20.0000","2.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","5","13.5135","0.0000","0.0000","0.0000","17.1818","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","82.6364"
"District","70","Poti","16863","41.4773","0","7","21","4",\N,"8","25.0000","4.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","32","100.0000","0.0000","0.0000","14.0722","19.0476","0.0000","0.0000","21.0994","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","45.5909"
"District","67","Zugdidi","15555","31.0584","2","18","17","4",\N,"11","26.1905","24.1818",\N,"3","7.1429","1.0000",\N,\N,\N,\N,"0","0","0","0","42","38.8889","4.2237","0.0000","4.1401","32.6069","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","57.3385"
