"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","United Opposition","United National Movement","Greens Party","Alliance of Patriots","Georgian Party","Way of Georgia","Georgian Dream"
"Country","Georgia","Georgia","420429","32.8776","12","436","489","70",\N,"89","8.8032","1.4157",\N,"3","0.2967","1.0000",\N,\N,\N,\N,"0","0","1","1","1011","27.6305","0.0000","25.1981","0.2854","1.5529","1.4081","0.0000","71.5262"
"Region","Adjara","Adjara","33488","25.2952","1","46","46","8",\N,"11","10.8911","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","101","29.3605","0.0000","22.0198","0.0000","0.0000","0.0000","0.0000","77.9473"
"Region","Guria","Guria","7495","49.3189","0","7","6","0",\N,"4","30.7692","2.5000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","13","9.4203","0.0000","0.0000","0.0000","41.0407","0.0000","0.0000","58.8259"
"Region","Kakheti","Kakheti","6968","37.0441","0","7","7","2",\N,"0","0.0000",\N,\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","16","5.2288","0.0000","29.3915","0.0000","0.0000","0.0000","0.0000","70.6085"
"Region","Kvemo Kartli","Kvemo Kartli","34552","33.1431","1","47","34","2",\N,"8","9.5238","1.5000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","84","19.5349","0.0000","35.2165","0.0000","0.0000","0.0000","0.0000","64.7488"
"Region","Mtskheta-Mtianeti","Mtskheta-Mtianeti","3242","46.7349","2","4","0","0",\N,"0","0.0000",\N,\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","6","4.7619","0.0000","0.0000","37.0142","0.0000","0.0000","0.0000","62.9858"
"Region","Samegrelo-Zemo Svaneti","Samegrelo-Zemo Svaneti","12505","30.7309","1","19","10","2",\N,"1","3.1250","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","32","8.5791","0.0000","0.0000","0.0000","27.6130","0.0000","0.0000","72.3790"
"Region","Shida Kartli","Shida Kartli","15691","38.7671","0","16","15","1",\N,"6","18.7500","2.8333",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","32","13.6752","0.0000","0.0000","0.0000","0.0000","37.7286","0.0000","62.1630"
"Region","Tbilisi","Tbilisi","306488","33.3132","7","290","371","55",\N,"59","8.1155","1.2712",\N,"3","0.4127","1.0000",\N,\N,\N,\N,"0","0","1","1","727","100.4144","0.0000","27.5215","0.0000","0.0000","0.0000","0.0000","72.4550"
"District","79","Batumi","33488","25.2952","1","46","46","8",\N,"11","10.8911","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","101","99.0196","0.0000","22.0198","0.0000","0.0000","0.0000","0.0000","77.9473"
"District","60","Ozurgeti","7495","49.3189","0","7","6","0",\N,"4","30.7692","2.5000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","13","20.9677","0.0000","0.0000","0.0000","41.0407","0.0000","0.0000","58.8259"
"District","17","Telavi","6968","37.0441","0","7","7","2",\N,"0","0.0000",\N,\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","16","29.6296","0.0000","29.3915","0.0000","0.0000","0.0000","0.0000","70.6085"
"District","20","Rustavi","34552","33.1431","1","47","34","2",\N,"8","9.5238","1.5000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","84","100.0000","0.0000","35.2165","0.0000","0.0000","0.0000","0.0000","64.7488"
"District","27","Mtskheta","3242","46.7349","2","4","0","0",\N,"0","0.0000",\N,\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","6","13.9535","0.0000","0.0000","37.0142","0.0000","0.0000","0.0000","62.9858"
"District","70","Poti","12505","30.7309","1","19","10","2",\N,"1","3.1250","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","32","100.0000","0.0000","0.0000","0.0000","27.6130","0.0000","0.0000","72.3790"
"District","32","Gori","15691","38.7671","0","16","15","1",\N,"6","18.7500","2.8333",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","32","30.4762","0.0000","0.0000","0.0000","0.0000","37.7286","0.0000","62.1630"
"District","999","Tbilisi","306488","33.3132","7","290","371","55",\N,"59","8.1155","1.2712",\N,"3","0.4127","1.0000",\N,\N,\N,\N,"0","0","1","1","727","100.4144","0.0000","27.5215","0.0000","0.0000","0.0000","0.0000","72.4550"
"Precinct","1","17-1","645","45.9075",\N,\N,\N,\N,"2.7149",\N,\N,\N,"0",\N,\N,\N,"0","1.0375","0.9167","0.7722",\N,\N,\N,\N,\N,\N,"0.0000","22.1705","0.0000","0.0000","0.0000","0.0000","77.8295"
"Precinct","2","17-2","510","39.5349",\N,\N,\N,\N,"2.8571",\N,\N,\N,"0",\N,\N,\N,"0","0.8000","0.7667","0.5722",\N,\N,\N,\N,\N,\N,"0.0000","22.7451","0.0000","0.0000","0.0000","0.0000","77.2549"
"Precinct","3","17-3","409","45.9035",\N,\N,\N,\N,"3.9906",\N,\N,\N,"0",\N,\N,\N,"0","0.5833","0.6400","0.5222",\N,\N,\N,\N,\N,\N,"0.0000","18.5819","0.0000","0.0000","0.0000","0.0000","81.4181"
"Precinct","4","17-4","531","38.1192",\N,\N,\N,\N,"2.3897",\N,\N,\N,"0",\N,\N,\N,"0","0.6542","0.8000","0.8167",\N,\N,\N,\N,\N,\N,"0.0000","31.4501","0.0000","0.0000","0.0000","0.0000","68.5499"
"Precinct","5","17-5","423","37.9032",\N,\N,\N,\N,"4.7297",\N,\N,\N,"0",\N,\N,\N,"0","0.4625","0.7067","0.6722",\N,\N,\N,\N,\N,\N,"0.0000","34.0426","0.0000","0.0000","0.0000","0.0000","65.9574"
"Precinct","6","17-6","461","40.2972",\N,\N,\N,\N,"2.7426",\N,\N,\N,"0",\N,\N,\N,"0","0.8000","0.5533","0.6444",\N,\N,\N,\N,\N,\N,"0.0000","29.9349","0.0000","0.0000","0.0000","0.0000","70.0651"
"Precinct","7","17-7","412","34.2762",\N,\N,\N,\N,"2.1378",\N,\N,\N,"0",\N,\N,\N,"0","0.5958","0.6033","0.5389",\N,\N,\N,\N,\N,\N,"0.0000","22.0874","0.0000","0.0000","0.0000","0.0000","77.9126"
"Precinct","8","17-8","463","31.0530",\N,\N,\N,\N,"2.5263",\N,\N,\N,"0",\N,\N,\N,"0","0.6375","0.5700","0.8389",\N,\N,\N,\N,\N,\N,"0.0000","33.9093","0.0000","0.0000","0.0000","0.0000","66.0907"
"Precinct","9","17-9","512","35.4325",\N,\N,\N,\N,"3.3962",\N,\N,\N,"0",\N,\N,\N,"0","0.7917","0.6567","0.7944",\N,\N,\N,\N,\N,\N,"0.0000","30.4688","0.0000","0.0000","0.0000","0.0000","69.5313"
"Precinct","10","17-10","368","38.2536",\N,\N,\N,\N,"3.1579",\N,\N,\N,"0",\N,\N,\N,"0","0.6167","0.5000","0.4556",\N,\N,\N,\N,\N,\N,"0.0000","29.0761","0.0000","0.0000","0.0000","0.0000","70.9239"
"Precinct","11","17-11","344","36.5569",\N,\N,\N,\N,"5.7534",\N,\N,\N,"0",\N,\N,\N,"0","0.4542","0.4300","0.7056",\N,\N,\N,\N,\N,\N,"0.0000","41.5698","0.0000","0.0000","0.0000","0.0000","58.4302"
"Precinct","12","17-12","594","36.7120",\N,\N,\N,\N,"3.4146",\N,\N,\N,"0",\N,\N,\N,"0","0.8500","0.6167","1.2556",\N,\N,\N,\N,\N,\N,"0.0000","38.0471","0.0000","0.0000","0.0000","0.0000","61.9529"
"Precinct","13","17-13","474","31.9407",\N,\N,\N,\N,"3.8540",\N,\N,\N,"0",\N,\N,\N,"0","0.6583","0.6467","0.7833",\N,\N,\N,\N,\N,\N,"0.0000","36.4979","0.0000","0.0000","0.0000","0.0000","63.5021"
"Precinct","44","17-44","253","47.1136",\N,\N,\N,\N,"4.8872",\N,\N,\N,"0",\N,\N,\N,"0","0.4125","0.3233","0.3889",\N,\N,\N,\N,\N,\N,"0.0000","22.1344","0.0000","0.0000","0.0000","0.0000","77.8656"
