shape,common_id,common_name,Total Turnout (#),Total Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Free Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,New Rights,Labour,Georgian Dream
Country,Georgia,Georgia,179230,58.6741,25,210,86,25,\N,0.4179,36.9397,0.255,2.8193,0.554,1.2755,57.5573
Region,Adjara,Adjara,179230,58.6741,25,210,86,25,\N,0.4179,36.9397,0.255,2.8193,0.554,1.2755,57.5573
District,79,Batumi,78296,58.2178,1,77,23,3,\N,0.5377,29.8227,0.2133,2.1444,0.4892,1.2747,65.306
District,80,Keda,10958,69.5702,4,15,9,3,\N,0.2738,47.8554,0.5019,4.1066,1.1407,1.0677,45.0538
District,83,Khelvachauri,27365,58.727,5,29,8,2,\N,0.3362,30.5317,0.285,2.9234,0.486,1.2352,63.943
District,84,Khulo,14257,58.8281,4,31,14,4,\N,0.5892,58.3082,0.2946,3.9209,1.1573,1.1784,34.4673
District,81,Kobuleti,38870,56.1389,1,40,17,7,\N,0.2264,38.8577,0.2084,2.3952,0.2753,1.3018,56.5629
District,82,Shuakhevi,9484,62.5717,10,18,15,6,\N,0.3585,61.5879,0.3585,6.6849,0.8435,1.6765,28.3952
Precinct,1,79-1,760,55.1124,\N,\N,\N,\N,3.0612,0.6579,25.2632,0.2632,2.5,0.1316,1.4474,68.4211
Precinct,2,79-2,754,56.3949,\N,\N,\N,\N,3.8265,0.6631,28.9125,0,1.061,0.3979,1.3263,67.6393
Precinct,3,79-3,777,52.571,\N,\N,\N,\N,1.8939,0.6435,29.9871,0.5148,1.8018,0.5148,1.8018,63.4492
Precinct,4,79-4,686,46.89,\N,\N,\N,\N,11.5979,0.5831,28.7172,0.1458,2.1866,0.7289,2.0408,65.5977
Precinct,5,79-5,212,38.9706,\N,\N,\N,\N,2.3041,0.4717,32.5472,0,3.3019,0,2.3585,61.3208
Precinct,6,79-6,951,64.6939,\N,\N,\N,\N,2.4615,0.9464,25.5521,0,1.1567,1.0515,1.2618,70.0315
Precinct,7,79-7,712,58.4565,\N,\N,\N,\N,2.1978,0.5618,19.8034,0.1404,1.264,0.4213,0.8427,76.9663
Precinct,8,79-8,763,62.8501,\N,\N,\N,\N,2.3047,0.6553,27.2608,0.1311,1.5727,0.3932,0.6553,69.0695
Precinct,9,79-9,777,58.5973,\N,\N,\N,\N,2.2642,0.7722,21.6216,0,1.8018,1.0296,1.4157,73.2304
Precinct,10,79-10,875,59.9726,\N,\N,\N,\N,2.0157,0.2286,27.7714,0,1.1429,0.4571,1.4857,68.5714
Precinct,11,79-11,875,58.4502,\N,\N,\N,\N,2.1253,0.5714,23.3143,0.3429,1.6,0.5714,1.0286,72.3429
Precinct,12,79-12,780,57.8635,\N,\N,\N,\N,2.0101,0.641,25.5128,0,1.7949,0.641,1.5385,69.8718
Precinct,13,79-13,832,56.4068,\N,\N,\N,\N,3.0303,1.3221,19.7115,0,0.8413,0.4808,1.0817,76.5625
Precinct,14,79-14,803,55.8414,\N,\N,\N,\N,9.9776,0.3736,29.6389,0,2.1171,0.2491,0.4981,67.1233
Precinct,15,79-15,1815,123.6376,\N,\N,\N,\N,1.5193,0.551,61.5978,0.0551,1.3223,0.1102,0.2204,35.9229
Precinct,16,79-16,957,64.7059,\N,\N,\N,\N,2.0471,1.0449,28.4222,0.1045,1.6719,0.418,1.4629,66.6667
Precinct,17,79-17,861,60.3364,\N,\N,\N,\N,1.8244,0.6969,23.9257,0,2.5552,0.3484,1.0453,71.4286
Precinct,18,79-18,852,56.7622,\N,\N,\N,\N,1.8433,1.8779,27.23,0.1174,1.9953,0.4695,1.2911,67.0188
Precinct,19,79-19,797,55.5014,\N,\N,\N,\N,2.8049,0.3764,26.5997,0.1255,2.8858,0.7528,1.1292,68.1305
Precinct,20,79-20,773,51.0905,\N,\N,\N,\N,2.5221,1.0349,30.0129,0,1.6818,0.3881,1.6818,61.0608
Precinct,21,79-21,811,53.496,\N,\N,\N,\N,1.697,0.6165,25.524,0.3699,3.0826,0.1233,0.9864,69.2972
Precinct,22,79-22,734,57.3886,\N,\N,\N,\N,2.2636,0.6812,31.8801,0.2725,2.9973,0.2725,0.4087,63.2153
Precinct,23,79-23,677,54.9959,\N,\N,\N,\N,1.7417,0.2954,30.8715,0.1477,2.5111,0.1477,2.3634,63.5155
Precinct,24,79-24,745,52.5759,\N,\N,\N,\N,2.8683,0.6711,30.4698,0.1342,2.0134,0.1342,1.2081,64.9664
Precinct,25,79-25,782,54.3811,\N,\N,\N,\N,2.372,0.7673,26.3427,0.1279,2.8133,0.2558,1.023,68.5422
Precinct,26,79-26,745,51.1325,\N,\N,\N,\N,2.4869,0,32.4832,0.4027,3.2215,0,0.8054,63.0872
Precinct,27,79-27,720,55.47,\N,\N,\N,\N,2.0408,0,29.8611,0,2.7778,0.1389,1.3889,65
Precinct,28,79-28,706,57.4451,\N,\N,\N,\N,2.0804,0.7082,30.7365,0.1416,2.5496,0.5666,1.5581,63.7394
Precinct,29,79-29,861,59.3793,\N,\N,\N,\N,2.381,0.9292,19.8606,0.3484,2.5552,0.6969,1.3937,74.0999
Precinct,30,79-30,833,56.7052,\N,\N,\N,\N,1.5366,1.3205,25.09,0,2.6411,0.2401,1.8007,68.9076
Precinct,31,79-31,832,56.8694,\N,\N,\N,\N,1.8868,0.3606,26.6827,0.2404,3.0048,0.1202,1.3221,68.0288
Precinct,32,79-32,721,55.4615,\N,\N,\N,\N,2.171,0.8322,27.8779,0.1387,2.2191,0.8322,0.8322,67.129
Precinct,33,79-33,827,56.3351,\N,\N,\N,\N,3.2749,0.9674,26.6022,0.2418,1.8138,0.3628,1.451,68.4401
Precinct,34,79-34,841,55.4018,\N,\N,\N,\N,3.4443,0.8323,28.0618,0.1189,1.308,0.5945,1.1891,67.7765
Precinct,35,79-35,817,55.806,\N,\N,\N,\N,1.3285,0.612,28.7638,0.3672,2.2032,0.3672,1.224,66.4627
Precinct,36,79-36,833,59.842,\N,\N,\N,\N,2.459,0.3601,31.5726,0.3601,2.0408,1.0804,1.8007,62.545
Precinct,37,79-37,777,59.9075,\N,\N,\N,\N,1.3959,0.5148,22.0077,0.1287,2.8314,0.1287,1.1583,73.2304
Precinct,38,79-38,853,63.3259,\N,\N,\N,\N,2.0666,0.3517,21.5709,0,1.1723,0.3517,1.993,74.5604
Precinct,39,79-39,830,57.8801,\N,\N,\N,\N,2.1226,0.6024,26.0241,0.3614,3.012,0.4819,1.6867,67.8313
Precinct,40,79-40,854,62.1996,\N,\N,\N,\N,2.0642,0.5855,25.7611,0.2342,2.1077,1.6393,3.5129,66.1593
Precinct,41,79-41,716,58.5446,\N,\N,\N,\N,2.8494,0.1397,29.7486,0.6983,2.3743,2.3743,2.2346,62.4302
Precinct,42,79-42,802,59.2757,\N,\N,\N,\N,2.1951,0.3741,31.5461,0.3741,2.8678,0.7481,1.4963,62.5935
Precinct,43,79-43,535,57.9632,\N,\N,\N,\N,1.8349,0.3738,32.7103,0,2.8037,1.8692,1.3084,60.5607
Precinct,44,79-44,771,52.2004,\N,\N,\N,\N,4.3424,1.1673,29.0532,0.3891,2.8534,0.1297,1.4267,64.9805
Precinct,45,79-45,791,56.5404,\N,\N,\N,\N,1.3716,0.7585,25.5373,0,2.5284,0.3793,0.5057,70.2908
Precinct,46,79-46,751,54.0677,\N,\N,\N,\N,3.0968,0.3995,23.968,0.2663,2.2636,0.9321,1.3316,70.5726
Precinct,47,79-47,615,56.5777,\N,\N,\N,\N,2.5357,0.3252,23.4146,0.6504,2.1138,0.4878,1.1382,71.8699
Precinct,48,79-48,700,51.395,\N,\N,\N,\N,3.0471,0.4286,22,0.4286,1.5714,0.8571,1,73.7143
Precinct,49,79-49,750,57.3833,\N,\N,\N,\N,4.5802,1.4667,24.4,0.1333,1.3333,0.4,1.6,70.4
Precinct,50,79-50,869,58.3613,\N,\N,\N,\N,2.2497,0.5754,33.0265,0.2301,2.1864,0.1151,2.0713,61.565
Precinct,51,79-51,742,55.5805,\N,\N,\N,\N,1.5915,0.6739,26.1456,0,1.752,0.5391,1.8868,68.7332
Precinct,52,79-52,857,60.5654,\N,\N,\N,\N,3.1638,0.2334,21.4702,0,1.9837,0.3501,1.5169,74.3291
Precinct,53,79-53,1380,81.1765,\N,\N,\N,\N,2.2663,0.4348,50.7971,0.1449,1.3768,0.2899,1.2319,45.5797
Precinct,54,79-54,850,62.6382,\N,\N,\N,\N,1.2776,0.7059,22.3529,0.1176,2.5882,0.3529,0.8235,72.8235
Precinct,55,79-55,516,54.3158,\N,\N,\N,\N,8.3481,0,39.5349,0.3876,1.1628,0.3876,0.969,57.1705
Precinct,56,79-56,888,59.6774,\N,\N,\N,\N,2.3102,0.9009,24.6622,0.1126,2.2523,0.1126,1.6892,70.045
Precinct,57,79-57,830,58.1232,\N,\N,\N,\N,1.8913,0.3614,21.6867,0.1205,2.5301,0.241,2.4096,72.6506
