"shape","common_id","common_name","Average age of voters","Numbers of voters over 99 years old","Number of voters between 85 and 99 years old","Total Voters","Number of potential voter duplications"
"Country","Georgia","Georgia","46.8227094853016178","612","58319","3536921","3717"
"Region","Adjara","Adjara","44.1693776432867435","85","3572","304868","685"
"Region","Guria","Guria","48.2219311321218978","24","2351","113017","133"
"Region","Imereti","Imereti","47.8418758927647841","64","10321","558298","598"
"Region","Kakheti","Kakheti","47.1472766657575163","44","6147","313401","233"
"Region","Kvemo Kartli","Kvemo Kartli","45.6376080796714286","112","5843","407035","390"
"Region","Mtskheta-Mtianeti","Mtskheta-Mtianeti","48.0106967100015873","20","1631","87948","81"
"Region","Racha-Lechkhumi and Kvemo Svaneti","Racha-Lechkhumi and Kvemo Svaneti","53.8780961311112903","9","1332","36519","42"
"Region","Samegrelo-Zemo Svaneti","Samegrelo-Zemo Svaneti","47.5779995256485255","95","6959","361645","285"
"Region","Samtskhe-Javakheti","Samtskhe-Javakheti","45.6737660625985849","20","2671","151381","124"
"Region","Shida Kartli","Shida Kartli","46.3458493701800000","26","3676","238472","246"
"Region","Tbilisi","Tbilisi","46.2632576508416778","113","13816","964337","900"
"District","79","Batumi","44.5098709108903846","32","1539","133276","224"
"District","80","Keda","44.2976195986870968","9","235","15710","49"
"District","81","Kobuleti","44.3588186316553846","16","739","69185","129"
"District","82","Shuakhevi","44.5275473074326531","8","286","15164","34"
"District","83","Khelvachauri","43.1768258697363636","5","411","47304","95"
"District","84","Khulo","43.6957017136740741","15","362","24229","154"
"District","60","Ozurgeti","47.6319352189491803","11","1176","64116","63"
"District","61","Lanchkhuti","48.1716051104526316","8","702","30076","43"
"District","62","Chokhatauri","49.2193558565157895","5","473","18825","27"
"District","48","Kharagauli","49.4345093912432432","0","592","20325","28"
"District","49","Terjola","48.3210198684848485","9","848","34806","36"
"District","50","Sachkhere","46.7850293284307692","6","781","44401","51"
"District","51","Zestaponi","47.5154719709320755","5","1062","56510","64"
"District","52","Bagdati","48.4813514585392857","8","540","23321","27"
"District","53","Vani","49.3116021436032258","7","768","26802","39"
"District","54","Samtredia","47.9688946940500000","8","928","48081","47"
"District","55","Khoni","48.6929010756620690","5","524","24188","14"
"District","56","Chiatura","48.2609452396568966","6","1046","45081","66"
"District","57","Tkibuli","50.4823244695054054","1","621","23629","25"
"District","58","Tskaltubo","48.1597797977000000","3","897","52652","37"
"District","59","Kutaisi","45.9498802824047244","6","1714","158502","164"
"District","11","Sagarejo","45.6056506834510204","15","846","46089","16"
"District","12","Gurjaani","48.3350337289529412","4","1124","55265","40"
"District","13","Signagi","49.0958653502542857","2","821","31661","24"
"District","14","Dedoplistskaro","47.7344248814347826","5","632","23064","27"
"District","15","Lagodekhi","45.8926163633914286","6","605","39718","53"
"District","16","Kvareli","46.8868240371600000","2","541","29611","23"
"District","17","Telavi","46.9507250421796296","6","956","57109","36"
"District","18","Akhmeta","46.9955362211379310","4","622","30884","14"
"District","20","Rustavi","44.8170845463931034","8","1129","108325","124"
"District","21","Gardabani","44.5399493038396825","16","859","74718","60"
"District","22","Marneuli","43.5410503999558140","34","1065","98158","94"
"District","23","Bolnisi","44.4366208986548387","20","807","57959","67"
"District","24","Dmanisi","47.1915909978780000","8","404","22809","16"
"District","25","Tsalka","49.1042645181200000","19","823","23495","16"
"District","26","Tetritskaro","49.5791819896878049","7","756","21571","13"
"District","19","Tianeti","49.1631013259400000","3","320","11123","9"
"District","27","Mtskheta","45.9972568501883721","5","604","44623","29"
"District","28","Dusheti","49.4018499995622642","12","627","26426","34"
"District","29","Kazbegi","46.9905664406500000","0","80","5776","9"
"District","43","Oni","58.3677803054652174","1","297","6695","9"
"District","44","Ambrolauri","55.9079040931378378","3","453","11952","7"
"District","45","Tsageri","52.2637476088780488","1","426","11894","23"
"District","46","Lentekhi","49.0008204270434783","4","156","5978","3"
"District","47","Mestia","47.7672897247525000","9","293","8508","7"
"District","63","Abasha","48.3860548097625000","4","518","21954","18"
"District","64","Senaki","47.7747407774860465","8","747","42644","30"
"District","65","Martvili","48.2199200062846154","11","826","34498","25"
"District","66","Khobi","47.3323989017625000","9","502","29398","24"
"District","67","Zugdidi","47.4917327182462963","32","2386","128114","93"
"District","68","Tsalenjikha","47.7474817813000000","9","713","31914","43"
"District","69","Chkhorotsku","47.8329342280370370","11","464","23061","17"
"District","70","Poti","45.8619866407843750","2","510","41554","28"
"District","36","Borjomi","47.0286085594466667","1","515","27532","47"
"District","37","Akhaltsikhe","47.0410108232571429","6","707","35098","38"
"District","38","Adigeni","45.4557063012055556","2","262","15650","14"
"District","39","Aspindza","46.2693035528086957","1","192","9883","15"
"District","40","Akhalkalaki","45.1945762447614286","5","663","40485","8"
"District","41","Ninotsminda","43.8757704834416667","5","332","22733","2"
"District","30","Kaspi","47.6170821871052632","5","779","40224","24"
"District","32","Gori","45.7584712653528302","7","1536","110340","86"
"District","33","Kareli","46.4230538513948718","7","591","37610","34"
"District","35","Khashuri","46.5563158567403846","7","770","50298","102"
"District","999","Tbilisi","46.2632576508416778","113","13816","964337","900"
"Precinct","1","11-1","47.4695290859000000","1","13","722","2"
"Precinct","2","11-2","47.9359933500000000","0","34","1203","0"
"Precinct","3","11-3","48.3605980651000000","0","29","1137","0"
"Precinct","4","11-4","47.6603098927000000","0","17","839","0"
"Precinct","5","11-5","46.6431654676000000","0","19","695","0"
"Precinct","6","11-6","46.6540247678000000","0","22","1292","0"
"Precinct","7","11-7","43.8215384615000000","0","5","975","0"
"Precinct","8","11-8","45.2652210175000000","0","14","1199","0"
"Precinct","9","11-9","46.2940603700000000","0","17","1027","0"
